addr_full,brand,brand_wikidata,city,country,email,extras,facebook,housenumber,image,lat,located_in,located_in_wikidata,lon,name,nsi_id,opening_hours,phone,postcode,ref,state,street,street_address,twitter,website
,Hermes,Q843887,Moscow,RU,magasin.stoleshnikov@hermes.com,"{'@spider': 'hermes', 'shop': 'clothes'}",,,,55.762757,,,37.614557,Hermès,hermes-3937bd,,+7 495 933-28-33,107 031,0DOS20DS,,,,,https://www.hermes.com/uk/en/find-store/russia/moscow/hermes-moscow-stoleshnikov-0DOS20DS/
,Hermes,Q843887,Seoul,KR,hyundai@hermes.com,"{'@spider': 'hermes', 'shop': 'clothes'}",,,,37.527278,,,127.027463,Hermès,hermes-3937bd,,+82 2-514-8822,06001,0DRRJ2SE,,,,,https://www.hermes.com/uk/en/find-store/south-korea/seoul/hermes-hyundai-apgujeong-main-0DRRJ2SE/
,Hermes,Q843887,Nice,FR,hermes-nice@wanadoo.fr,"{'@spider': 'hermes', 'shop': 'clothes'}",,,,43.696773,,,7.268562,Hermès,hermes-3937bd,,+33 4 93 87 75 03,06000,0HF9T05X,,,,,https://www.hermes.com/uk/en/find-store/france/nice/hermes-nice-0HF9T05X/
,Hermes,Q843887,SHANGHAI,CN,service.china@hermes.com,"{'@spider': 'hermes', 'shop': 'clothes'}",,,,31.237133,,,121.501279,Hermès,hermes-3937bd,,+86 21 5012 1788,"200120,",0MP6BNMB,,,,,https://www.hermes.com/uk/en/find-store/china/shanghai/shanghai-ifc-store-0MP6BNMB/
,Hermes,Q843887,Roissy-en-France,FR,,"{'@spider': 'hermes', 'shop': 'clothes'}",,,,49.004003,,,2.570665,Hermès,hermes-3937bd,,+33 1 74 25 42 17,95700,0U7T2UK4,,,,,https://www.hermes.com/uk/en/find-store/france/roissy-en-france/hermes-paris-roissy-cdg-airport-terminal-2-ac-0U7T2UK4/
,Hermes,Q843887,GUANGZHOU,CN,service.china@hermes.com,"{'@spider': 'hermes', 'shop': 'clothes'}",,,,23.133978,,,113.33237,Hermès,hermes-3937bd,,+86 20 3868 2511,"510620,",0WN6562Z,,,,,https://www.hermes.com/uk/en/find-store/china/guangzhou/guangzhou-taikoo-hui-store-0WN6562Z/
,Hermes,Q843887,CHANGSHA,CN,,"{'@spider': 'hermes', 'shop': 'clothes'}",,,,28.192524,,,112.980165,Hermès,hermes-3937bd,,+86 731 8211 5688,"410005, ",1ADWOIG4,,,,,https://www.hermes.com/uk/en/find-store/china/changsha/changsha-ifs-store-1ADWOIG4/
,Hermes,Q843887,Roma,IT,rome@hermes.it,"{'@spider': 'hermes', 'shop': 'clothes'}",,,,41.90548,,,12.480181,Hermès,hermes-3937bd,,+39 06 679 1882,00187,1C0WQFOC,,,,,https://www.hermes.com/uk/en/find-store/italy/roma/hermes-rome-1C0WQFOC/
,Hermes,Q843887,Osaka,JP,,"{'@spider': 'hermes', 'shop': 'clothes'}",,,,34.70321,,,135.49849,Hermès,hermes-3937bd,,+81 6-6361-1381,530-8350,1EDYEHJ6,,,,,https://www.hermes.com/uk/en/find-store/japan/osaka/hermes-shoe-store-at-hankyu-umeda-department-store-1EDYEHJ6/
,Hermes,Q843887,Fukuoka,JP,,"{'@spider': 'hermes', 'shop': 'clothes'}",,,,33.589343,,,130.420368,Hermès,hermes-3937bd,,+81 92-461-1381,812-0012,1HGOLL0F,,,,,https://www.hermes.com/uk/en/find-store/japan/fukuoka/hermes-hakata-hankyu-1HGOLL0F/
