id,longitude,latitude
29628,60.4142893,31.6121354
29629,60.1972109,32.9193886
29681,61.1315357,29.6828641
29683,60.7301481,32.2894080
29684,60.5009078,33.6071115
29735,61.4520521,30.3517437
29736,61.2551881,31.6577343
29737,61.0411812,32.9726667
29738,60.7873657,34.3029827
29789,61.9611857,29.7183370
29790,61.7729546,31.0242190
29791,61.5712496,32.3373751
29792,61.3422356,33.6626274
29793,61.0407745,35.0064887
29843,62.4641774,29.0828229
29844,62.2838962,30.3887927
29845,62.0927081,31.7008051
29846,61.8813895,33.0225569
29847,61.6248322,34.3595922
29848,61.2317967,35.7135377
29897,62.7883739,29.7514268
29898,62.6064816,31.0627184
29899,62.4090537,32.3820202
29900,62.1804905,33.7137438
29901,61.8747234,35.0627245
29951,63.2866992,29.1121147
29952,63.1131913,30.4229812
29953,62.9273317,31.7405480
29954,62.7186504,33.0683250
29955,62.4605282,34.4109704
29956,62.0674355,35.7683936
30006,63.6133038,29.7815182
30007,63.4374456,31.0978517
30008,63.2441424,32.4226969
30009,63.0165149,33.7600017
30010,62.7087200,35.1132671
30059,64.1071983,29.1382889
30060,63.9401989,30.4537524
30061,63.7594838,31.7764024
30062,63.5536024,33.1095038
30063,63.2951335,34.4569192
30064,62.9043736,35.8174731
30114,64.4361745,29.8081382
30115,64.2661638,31.1291335
30116,64.0769957,32.4589651
30117,63.8509190,33.8011221
30118,63.5430394,35.1580804
30168,64.9258288,29.1609394
30169,64.7651603,30.4806850
30170,64.5895280,31.8079668
30171,64.3867402,33.1457853
30172,64.1290969,34.4973232
30173,63.7425225,35.8607558
30222,65.2571722,29.8309192
30223,65.0929147,31.1562030
30224,64.9080030,32.4905171
30225,64.6841449,33.8369274
30226,64.3778292,35.1971398
30227,64.2868759,36.5782780
30277,65.5882910,30.5034561
30278,65.4177693,31.8349485
30279,65.2184446,33.1769600
30280,64.9627156,34.5321105
30281,64.5817923,35.8982224
30282,64.8003095,37.2883036
30331,66.0764659,29.8495724
30332,65.9179378,31.1787877
30333,65.7374773,32.5171335
30334,65.5165128,33.8672997
30335,65.2131602,35.2304264
30336,65.1368953,36.6119145
30385,66.4097802,30.5218153
30386,66.2444603,31.8571302
30387,66.0490072,33.2028817
30388,65.7961850,34.5612329
30389,65.4220919,35.9298547
30390,65.6632860,37.3187352
30440,66.7414362,31.1966794
30441,66.5656677,32.5386540
30442,66.3482529,33.8921581
30443,66.0490554,35.2579242
30444,65.9875222,36.6395511
30495,67.0698083,31.8743481
30496,66.8786495,33.2234451
30497,66.6296294,34.5846564
30498,66.2633291,35.9556359
30499,66.5263166,37.3428987
30548,67.5635798,31.2097166
30549,67.3927707,32.5549597
30550,67.1795288,33.9114446
30551,66.8855055,35.2796190
30552,66.8387371,36.6611896
30603,67.8939812,31.8864769
30604,67.7075381,33.2385732
30605,67.4631231,34.6023556
30606,67.1054106,35.9755503
30607,67.3894513,37.3608325
30658,68.2189398,32.5659606
30659,68.0104538,33.9251168
30660,67.7224799,35.2954978
30661,67.6904989,36.6768277
30711,68.7171136,31.8934196
30712,68.5357961,33.2482081
30713,68.2967040,34.6143108
30714,67.9482424,35.9895836
30715,68.2527053,37.3725619
30766,69.0442930,32.5715878
30767,68.8411030,33.9331427
30768,68.5599331,35.3055491
30769,68.5427519,36.6864612
30820,69.5393122,31.8951001
30821,69.3635120,33.2523058
30822,69.1303832,34.6205060
30823,68.7917296,35.9977227
30824,69.1160682,37.3781040
30875,69.6715216,33.9354975
30876,69.3978085,35.3097621
30877,69.3954295,36.6900846
30929,70.1907467,33.2508322
30930,69.9641518,34.6209284
30931,69.6357771,35.9999558
30932,69.9795103,37.3774704
30984,70.5017319,33.9321618
30985,70.2360417,35.3081273
30986,70.2484576,36.6876924
30987,70.5538423,38.0596226
31038,70.7979855,34.6155671
31039,70.4802890,35.9962724
31040,70.8429869,37.3706689
31041,71.1247776,38.7366139
31092,71.3317382,33.9231202
31093,71.0745626,35.3006363
31094,71.1017561,36.6792791
31095,71.4284141,38.0485666
31147,71.6318485,34.6044131
31148,71.3251694,35.9866633
31149,71.7064420,37.3577052
31201,71.9132969,35.2872817
31202,71.9552408,36.6648396
31257,72.5698108,37.3385835
31311,72.8088241,36.6443699
31365,73.4330219,37.3133073
31419,73.6624165,36.6178664
31474,74.2959982,37.2818800
31527,74.5159266,36.5853269
31582,75.1586591,37.2443049
