id,longitude,latitude
4710,112.3389040,-28.0589986
4711,112.4465825,-25.0339052
4712,112.5347286,-22.0087993
4732,114.3093574,-36.0899599
4733,114.9918890,-33.1014451
4734,114.9740335,-30.0221719
4735,115.0448346,-26.9819662
4736,115.0837508,-23.9801563
4737,115.1080888,-20.9853915
4757,117.8930326,-35.0512451
4758,117.7039545,-31.9408743
4759,117.6808622,-28.8764232
4760,117.7176962,-25.8457497
4761,117.6982810,-22.8625220
4762,117.6703419,-19.8908856
4782,120.5546705,-33.8124538
4783,120.3984030,-30.7228365
4784,120.3581084,-27.6740233
4785,120.3551903,-24.6538646
4786,120.2863174,-21.6845326
4787,120.2155360,-18.7289379
4807,123.2145979,-32.5185938
4808,123.0703910,-29.4509831
4809,123.0027316,-26.4188025
4810,122.9555567,-23.4101138
4811,122.8445267,-20.4501609
4812,122.7381851,-17.5038879
4831,126.1556490,-34.2605398
4832,125.8657936,-31.1737886
4833,125.7155722,-28.1296189
4834,125.6122363,-25.1149940
4835,125.5175433,-22.1185418
4836,125.3700983,-19.1637657
4837,125.2333176,-16.2206859
4838,125.1057026,-13.2867492
4856,128.7590065,-32.8394098
4857,128.5015410,-29.7831615
4858,128.3301196,-26.7636411
4859,128.1846502,-23.7671774
4860,128.0403673,-20.7833885
4861,127.8607289,-17.8300301
4862,127.6965060,-14.8848061
4881,131.3690145,-31.3760164
4882,131.1155225,-28.3527607
4883,130.9107284,-25.3584633
4884,130.7184908,-22.3802175
4885,130.5236711,-19.4090431
4886,130.3145970,-16.4538964
4887,130.1238764,-13.5021487
4888,129.9466655,-10.5483034
4904,134.9732614,-35.9833029
4905,134.3281549,-32.9046630
4906,133.9744683,-29.8786953
4907,133.7018922,-26.8894483
4908,133.4546039,-23.9199289
4909,133.2127235,-20.9592016
4910,132.9674744,-18.0000000
4911,132.7303281,-15.0405000
4912,132.5121019,-12.0789333
4928,137.5737889,-37.4647180
4929,137.3964088,-34.3658686
4930,136.9125956,-31.3374146
4931,136.5643820,-28.3571717
4932,136.2553264,-25.4007570
4933,135.9594357,-22.4542147
4934,135.6667151,-19.5093761
4935,135.3721251,-16.5608160
4936,135.1069542,-13.5951029
4937,134.8583819,-10.6215887
4952,140.4961051,-38.8395014
4953,140.6415994,-35.7552203
4954,139.9350398,-32.7245126
4955,139.5051899,-29.7592513
4956,139.1282379,-26.8222730
4957,138.7710521,-23.8947214
4958,138.4233620,-20.9677297
4959,138.0801828,-18.0360830
4960,137.7382501,-15.0960701
4961,137.4438683,-12.1230285
4975,143.9705959,-42.9766000
4976,143.6821221,-40.0503175
4977,143.4418225,-37.0861039
4978,143.0462865,-34.0352137
4979,142.5343942,-31.0965377
4980,142.0833408,-28.1885937
4981,141.6562038,-25.2855659
4982,141.2448559,-22.3796914
4983,140.8449275,-19.4670108
4984,140.4531436,-16.5446989
4985,140.0667083,-13.6103261
4999,147.4945070,-43.9429303
5000,147.0433760,-41.0484878
5001,146.6308148,-38.1561729
5002,146.2500000,-35.2643897
5003,145.6753665,-32.3959731
5004,145.1358223,-29.5232587
5005,144.6254642,-26.6447701
5006,144.1393083,-23.7589448
5007,143.6730771,-20.8641375
5008,143.2230361,-17.9586197
5009,142.7858636,-15.0405761
5010,142.3585455,-12.1080980
5011,141.9976600,-9.1200803
5025,149.8580299,-38.8412581
5026,149.6294919,-36.2307504
5027,149.0749965,-33.5257189
5028,148.2752769,-30.9977913
5029,147.6832811,-28.0448794
5030,147.1119067,-25.1468279
5031,146.5695702,-22.2542020
5032,146.0525875,-19.3564565
5033,145.5569029,-16.4490435
5034,145.0788098,-13.5289881
5044,157.8935768,-53.9387945
5051,152.4972786,-34.4011153
5052,151.7884285,-31.7242988
5053,150.9904964,-29.1365150
5054,150.1291135,-26.6953741
5055,149.5256656,-23.7123754
5056,148.9400832,-20.7826156
5077,154.4001440,-29.8651889
5078,153.5747942,-27.2726757
5079,152.7231942,-24.7624379
5080,151.8528609,-22.3566097
5101,157.7676452,-30.5770897
