id,longitude,latitude
16100,-70.2040287,-17.7862810
16154,-70.5920789,-18.3734343
16155,-69.3250946,-17.7313910
16209,-69.7100093,-18.3189131
16262,-70.0980531,-18.9062853
16263,-68.8201745,-18.2504280
16316,-70.4893583,-19.4934968
16317,-69.2052072,-18.8385087
16371,-69.5933993,-19.4264795
16372,-68.4887682,-19.0377986
16424,-69.9848840,-20.0143288
16425,-68.8756031,-19.6268685
16478,-70.3797982,-20.6020438
16479,-69.2656765,-20.2158377
16533,-69.6591257,-20.8046952
16534,-68.5373360,-20.4034871
16586,-70.0560916,-21.3934290
16587,-68.9294148,-20.9938234
16640,-70.4567192,-21.9820261
16641,-69.3249475,-21.5840427
16642,-68.1918892,-21.1704287
16695,-69.7240798,-22.1741345
16696,-68.5860237,-21.7623954
16748,-70.1269614,-22.7640874
16749,-68.9836901,-22.3542320
16750,-67.8403512,-21.9293487
16802,-70.5337464,-23.3538884
16803,-69.3850391,-22.9459304
16804,-68.2365445,-22.5231342
16857,-69.7902254,-23.5374808
16858,-68.6363505,-23.1167738
16859,-67.4835191,-22.6815880
16910,-70.1994085,-24.1288719
16911,-69.0399247,-23.7102617
16912,-67.8817449,-23.2773272
16913,-66.7253860,-22.8302779
16964,-70.6127524,-24.7200908
16965,-69.4474270,-24.3035898
16966,-68.2836682,-23.8729053
16967,-67.1219735,-23.4282423
17019,-69.8590221,-24.8967486
17020,-68.6894491,-24.4683180
17021,-67.5221871,-24.0260326
17072,-70.2748795,-25.4897265
17073,-69.0992527,-25.0635591
17074,-67.9261873,-24.6236482
17126,-70.6951742,-26.0825104
17127,-69.5132488,-25.6586205
17128,-68.3341391,-25.2210866
17180,-71.1200865,-26.6750851
17181,-69.9316128,-26.2534921
17182,-68.7462123,-25.8183430
17234,-70.3545253,-26.8481619
17235,-69.1625824,-26.4154106
17288,-70.7821729,-27.4426157
17289,-69.5834301,-27.0122805
17290,-68.3886782,-26.5687429
17342,-71.2147484,-28.0368374
17343,-70.0089421,-27.6089416
17344,-68.8073843,-27.1678970
17395,-71.6524511,-28.6308091
17396,-70.4393114,-28.2053807
17397,-69.2306825,-27.7668474
17398,-68.0269139,-27.3154360
17450,-70.8747373,-28.8015826
17451,-69.6587656,-28.3655840
49386,-109.6303019,-27.2060697
49441,-108.8319327,-27.1921140
