id,longitude,latitude
31313,73.4906079,39.3631573
31366,73.7808013,38.6714428
31367,74.0892068,40.0217948
31421,74.3863305,39.3304426
31422,74.6941058,40.6756505
31474,74.2959982,37.2818800
31475,74.6648501,38.6367832
31476,74.9959946,39.9845376
31528,74.9230022,37.9412227
31529,75.2811333,39.2911164
31530,75.6119970,40.6337815
31582,75.1586591,37.2443049
31583,75.5481536,38.5956918
31584,75.9016415,39.9405085
31636,75.3692623,36.5467500
31637,75.7954080,37.8986701
31638,76.1749525,39.2452075
31639,76.5285382,40.5849815
31689,75.5517404,35.8495019
31690,76.0209208,37.2005859
31691,76.4306427,38.5481874
31692,76.8060792,39.8897439
31693,77.1635761,41.2245513
31744,76.2223305,36.5021355
31745,76.6671704,37.8498527
31746,77.0677187,39.1927421
31747,77.4436545,40.5292936
31798,76.3968208,35.8042187
31799,76.8826972,37.1507275
31800,77.3122437,38.4942874
31801,77.7092350,39.8322771
31802,78.0894094,41.1638480
31852,77.0750383,36.4514845
31853,77.5382091,37.7947808
31854,77.9593580,39.1337448
31855,78.3572669,40.4667576
31856,78.7447998,41.7933873
31906,77.2416033,35.7529819
31907,77.7439010,37.0947347
31908,78.1928792,38.4340086
31909,78.6110319,39.7681393
31910,79.0135211,41.0961516
31913,80.2218110,45.0433970
31958,78.0818163,32.2692147
31960,77.7836717,35.0292408
31961,77.9272929,36.3947990
31962,78.4084416,37.7334648
31963,78.8497933,39.0682390
31964,79.2692938,40.3974107
31965,79.6794404,41.7204202
31966,80.0893830,43.0372592
31967,80.5061878,44.3481654
32011,78.5343655,31.5552743
32012,78.4383432,32.9258639
32013,78.2972820,34.3060393
32014,78.0859953,35.6957927
32015,78.6044437,37.0326137
32016,79.0724693,38.3673676
32017,79.5113905,39.6973602
32018,79.9358229,41.0215053
32019,80.3562775,42.3395111
32020,80.7807085,43.6514638
32021,81.2154676,44.9576124
32065,78.9756040,30.8419585
32066,78.8996386,32.2082083
32067,78.7880344,33.5836534
32068,78.6211939,34.9688501
32069,78.7790017,36.3320825
32070,79.2777836,37.6659158
32071,79.7389446,38.9962472
32072,80.1796512,40.3212886
32073,80.6120463,41.6403655
32074,81.0451465,42.9533557
32075,81.4860023,44.2603962
32076,81.9404320,45.5617270
32077,82.4135053,46.8576076
32120,79.3477484,31.4913266
32121,79.2601165,32.8621748
32122,79.1288083,34.2425753
32123,78.9299054,35.6326535
32124,79.4642367,36.9643713
32125,79.9509319,38.2943808
32126,80.4102288,39.6199682
32127,80.8562251,40.9399501
32128,81.2992072,42.2539229
32129,81.7470601,43.5618683
32130,82.2061519,44.8639434
32131,82.6819081,46.1603661
32173,79.7846727,30.7751242
32174,79.7167203,32.1415925
32175,79.6141377,33.5172041
32176,79.4581908,34.9025813
32177,79.6300732,36.2633394
32178,80.1461497,37.5921453
32179,80.6267301,38.9177915
32180,81.0882535,40.2384255
32181,81.5425211,41.5532693
32182,81.9984135,42.8620954
32183,82.4629563,44.1649446
32184,82.9420063,45.4619732
32185,83.4407075,46.7533670
32228,80.1603231,31.4218393
32229,80.0811835,32.7928085
32230,79.9597351,34.1733015
32231,79.7732432,35.5635681
32232,80.3231911,36.8900155
32233,80.8281838,38.2150648
32234,81.3074634,39.5359912
32235,81.7746373,40.8515258
32236,82.2397704,42.1611625
32237,82.7106728,43.4647849
32238,83.1937191,44.7624622
32239,83.6943879,46.0543344
32282,80.5928801,30.7028195
32283,80.5330216,32.0693683
32284,80.4395607,33.4450126
32285,80.2945804,34.8304386
32286,80.4804165,36.1885756
32287,81.0134543,37.5121654
32288,81.5130668,38.8328940
32289,81.9950141,40.1488547
32290,82.4707685,41.4591766
32291,82.9490721,42.7635340
32292,83.4369186,44.0618768
32293,83.9401924,45.3542800
32335,81.0159588,29.9844246
32336,80.9720568,31.3468124
32337,80.9014943,32.7177681
32338,80.7899913,34.0982223
32339,80.6159198,35.4885412
32340,81.1812188,36.8095552
32341,81.7041411,38.1294367
32342,82.2030099,39.4454565
32343,82.6909684,40.7562708
32344,83.1778642,42.0612795
32345,83.6714270,43.3602741
32346,84.1780290,44.6532390
32347,84.7031917,45.9402387
32390,81.4001991,30.6250434
32391,81.3485009,31.9915382
32392,81.2642429,33.3670836
32393,81.1302818,34.7524272
32394,81.3299422,36.1077981
32395,81.8796116,37.4259890
32396,82.3978712,38.7415766
32397,82.8998461,40.0526089
32398,83.3966924,41.3581309
32399,83.8970127,42.6577260
32400,84.4077613,43.9512576
32401,84.9348411,45.2387218
32444,81.8189883,29.9039522
32445,81.7829147,31.2662476
32446,81.7209979,32.6370577
32447,81.6195061,34.0173435
32448,81.4578477,35.4075789
32449,82.0382320,36.7230004
32450,82.5787195,38.0375137
32451,83.0967838,39.3483913
32452,83.6051280,40.6542230
32453,84.1133869,41.9543226
32454,84.6292056,43.2483947
32455,85.1589458,44.5363429
32498,82.2066005,30.5417966
32499,82.1631154,31.9081058
32500,82.0881235,33.2834225
32501,81.9652150,34.6685536
32502,82.1785621,36.0210148
32503,82.7445361,37.3336299
32504,83.2810595,38.6438616
