id,longitude,latitude
11884,-75.5341418,10.8429677
11885,-74.3120221,11.4462119
11887,-71.8270998,12.6280392
11938,-75.9448845,10.2422801
11939,-74.7295725,10.8482399
11940,-73.5032378,11.4485446
11941,-72.2630304,12.0403756
11993,-75.1432658,10.2484547
11994,-73.9243814,10.8520755
11995,-72.6932665,11.4489138
11996,-71.4467126,12.0356013
12045,-76.7572965,9.0376127
12046,-75.5534890,9.6472139
12047,-74.3412732,10.2534291
12048,-73.1183285,10.8542929
12049,-71.8817762,11.4470155
12099,-77.1596256,8.4341496
12100,-75.9606058,9.0448308
12101,-74.7543313,9.6530182
12102,-73.5387024,10.2570664
12103,-72.3111333,10.8546621
12153,-77.5597803,7.8302277
12154,-76.3649593,8.4415802
12155,-75.1639479,9.0512025
12156,-73.9548426,9.6577140
12157,-72.7353167,10.2591937
12206,-77.9580479,7.2260353
12207,-76.7668729,7.8377036
12208,-75.5704915,8.4482963
12209,-74.3671742,9.0566522
12210,-73.1548231,9.6611729
12261,-77.1666523,7.2334131
12262,-75.9743088,7.8445743
12263,-74.7760951,8.4542427
12264,-73.5701157,9.0610854
12315,-77.5645870,6.6288954
12316,-76.3757263,7.2402767
12317,-75.1819786,7.8508001
12318,-73.9816268,8.4593507
12319,-72.7725777,9.0643826
12369,-76.7750523,6.6356138
12370,-75.5851753,7.2465980
12371,-74.3897605,7.8563317
12372,-73.1869233,8.4635338
12423,-77.1725782,6.0307702
12424,-75.9860148,6.6418752
12425,-74.7948949,7.2523426
12426,-73.5975170,7.8611075
12427,-72.3917956,8.4666820
12477,-77.5685801,5.4259076
12478,-76.3848079,6.0368396
12479,-75.1973846,6.6476556
12480,-74.0047692,7.2574670
12481,-72.8050909,7.8650493
12531,-76.7818482,5.4316731
12532,-75.5975625,6.0425071
12533,-74.4090631,6.6529254
12534,-73.2146668,7.2619167
12535,-72.0123004,7.8680571
12585,-77.1774133,4.8265342
12586,-75.9957421,5.4371022
12587,-74.8107575,6.0477527
12588,-73.6209404,6.6576471
12589,-72.4244380,7.2656221
12639,-77.5717666,4.2215621
12640,-76.3922187,4.8316194
12641,-75.2101885,5.4421823
12642,-74.0242999,6.0525516
12643,-72.8328922,6.6617734
12644,-71.6339087,7.2684938
12693,-76.7872717,4.2262138
12694,-75.6076721,4.8364157
12695,-74.4251084,5.4468971
12696,-73.2380867,6.0568721
12697,-72.0447767,6.6652434
12698,-70.8428737,7.2704154
12746,-78.3578269,3.0125902
12747,-77.1811656,3.6210209
12748,-76.0035058,4.2306276
12749,-74.8237053,4.8409133
12750,-73.6404152,5.4512265
12751,-72.4520012,6.0606741
12752,-71.2564286,6.6679785
12753,-70.0510876,7.2712330
12800,-78.7500000,2.4087910
12801,-77.5741517,3.0161586
12802,-76.3979704,3.6249690
12803,-75.2204091,4.2347975
12804,-74.0402448,4.8450996
12805,-72.8560127,5.4551445
12806,-71.6659103,6.0639055
12807,-70.4676528,6.6698755
12854,-77.9664690,2.4117301
12855,-76.7913316,3.0195711
12856,-75.6155193,3.6287197
12857,-74.4379184,4.2387163
12858,-73.2572105,4.8489586
12859,-72.0717929,5.4586178
12860,-70.8796587,6.0664987
12861,-69.6782145,6.6707968
12908,-78.3583457,1.8078255
12909,-77.1838414,2.4145479
12910,-76.0093181,3.0228263
12911,-74.8337568,3.6322690
12912,-73.6559658,4.2423747
12913,-72.4745139,4.8524699
12914,-71.2876318,5.4616032
12915,-70.0930624,6.0683639
12962,-78.7500000,1.2045240
12963,-77.5757396,1.8099982
12964,-76.4020722,2.4172439
12965,-75.2280615,3.0259223
12966,-74.0526247,3.6356119
12967,-72.8744782,4.2457606
12968,-71.6920556,4.8556068
12969,-70.5033853,5.4640439
