id,longitude,latitude
17601,6.7434936,53.8293560
17602,7.7988543,54.7858647
17654,5.8101718,52.1517305
17655,6.8103768,53.1204917
17656,7.8519444,54.0754799
17657,8.9373305,55.0159232
17708,5.8860576,51.4453126
17709,6.8744896,52.4127814
17710,7.9027766,53.3663393
17711,8.9731895,54.3052253
17761,5.9589355,50.7399163
17762,6.9359937,51.7061912
17763,7.9514862,52.6584087
17764,9.0075123,53.5958169
17765,10.1062598,54.5176341
17815,6.0289737,50.0355075
17816,6.9950382,51.0006871
17817,7.9981976,51.9516538
17818,9.0403913,52.8876636
17819,10.1236320,53.8079461
17820,11.2500000,54.7117027
17869,6.0963278,49.3320516
17870,7.0517610,50.2962349
17871,8.0430257,51.2460409
17872,9.0719117,52.1807313
17873,10.1402688,53.0995454
17874,11.2500000,54.0016987
17923,7.1062900,49.5928005
17924,8.0860764,50.5415360
17925,9.1021519,51.4749861
17926,10.1562138,52.3923982
17927,11.2500000,53.2929994
17928,12.3937402,54.5176341
17977,7.1587437,48.8903497
17978,8.1274481,49.8381055
17979,9.1311843,50.7703946
17980,10.1715070,51.6864706
17981,11.2500000,52.5855707
17982,12.3763680,53.8079461
17983,13.5626695,55.0159232
18031,7.2092325,48.1888478
18032,8.1672318,49.1357157
18033,9.1590760,50.0669237
18034,10.1861857,50.9817296
18035,11.2500000,51.8793790
18036,12.3597312,53.0995455
18037,13.5268105,54.3052253
18084,7.2578588,47.4882602
18085,8.2055119,48.4343331
18086,9.1858890,49.3645403
18087,10.2002839,50.2781423
18088,11.2500000,51.1743912
18089,12.3437862,52.3923982
18090,13.4924877,53.5958169
18139,8.2423672,47.7339241
18140,9.2116807,48.6632118
18141,10.2138334,49.5756764
18142,11.2500000,50.4705745
18143,12.3284930,51.6864706
18144,13.4596087,52.8876636
18145,14.6480556,54.0754799
18194,9.2365048,47.9629057
18195,10.2268636,48.8742998
18196,11.2500000,49.7678967
18197,12.3138143,50.9817296
18198,13.4280883,52.1807313
18199,14.5972234,53.3663393
18247,9.2604110,47.2635897
18248,10.2394017,48.1739808
18249,11.2500000,49.0663260
18250,12.2997161,50.2781424
18251,13.3978481,51.4749861
18252,14.5485138,52.6584087
18302,10.2514731,47.4746881
18303,11.2500000,48.3658311
18304,12.2861666,49.5756764
18305,13.3688157,50.7703947
18306,14.5018024,51.9516538
18357,11.2500000,47.6663808
18358,12.2731364,48.8742998
18360,14.4569743,51.2460409
18411,12.2605983,48.1739808
18412,13.3141110,49.3645403
18413,14.4139236,50.5415360
18465,12.2485269,47.4746881
18466,13.2883193,48.6632118
18468,15.5049618,51.0006871
18520,13.2634952,47.9629057
18573,13.2395890,47.2635897
