id,longitude,latitude
1,11.2500000,58.2825256
2,-168.7500000,58.2825256
3,-168.7500000,63.3700063
4,-168.7500000,68.5626218
5,-168.7500000,73.8425647
6,-168.7500000,79.1899781
7,-168.7500000,84.5833492
8,-179.1061390,90.0000000
9,11.2500000,84.5833492
10,11.2500000,79.1899781
11,11.2500000,73.8425647
12,11.2500000,68.5626218
13,11.2500000,63.3700063
14,-163.6557403,54.0552294
15,-159.1824375,59.5086796
16,-155.1584529,65.4373508
17,-152.2320333,70.4031606
18,-146.9310581,75.4139071
19,-135.6882829,80.2463943
20,-106.1586836,84.0626417
21,-51.3413164,84.0626417
22,-21.8117171,80.2463943
23,-10.5689419,75.4139071
24,-5.2679667,70.4031606
25,-2.3415471,65.4373508
26,-159.4434665,49.5605292
27,-153.0444730,54.2742458
28,-148.9091922,59.9957188
29,-142.9173213,65.3953114
30,-133.8940629,70.5004973
31,-123.9681722,74.6859913
32,-106.2344017,78.0859059
33,-78.7500000,79.5038467
34,-51.2655983,78.0859059
35,-33.5318278,74.6859913
36,-23.6059371,70.5004973
37,-14.5826787,65.3953114
38,-155.8975649,44.8603872
39,-150.1099335,49.5216627
40,-144.3163308,54.4730780
41,-138.4137162,59.6612226
42,-130.7498878,64.4207773
43,-120.2089196,68.6290525
44,-105.2287572,71.9293964
45,-88.7400054,73.9976344
46,-68.7599946,73.9976344
47,-52.2712428,71.9293964
48,-37.2910804,68.6290525
49,-26.7501122,64.4207773
50,-152.8571032,40.0054818
51,-147.5217505,44.5838615
52,-140.8338474,48.7529233
53,-135.3935768,53.9387945
54,-128.2450921,58.4975318
55,-119.4767474,62.5493325
56,-108.3314512,65.8676621
57,-94.5491136,68.1551310
58,-78.7500000,69.0948426
59,-62.9508864,68.1551310
60,-49.1685488,65.8676621
61,-38.0232525,62.5493325
62,-150.2026138,35.0391884
63,-145.1945461,39.5088524
64,-139.3356585,43.7407861
65,-133.1614124,48.1762812
66,-126.6794247,52.6540236
67,-118.8488744,56.5715957
68,-109.5790758,59.9177091
69,-98.5192292,62.4446785
70,-85.7529144,63.9796378
71,-71.7470856,63.9796378
72,-58.9807708,62.4446785
73,-47.9209242,59.9177091
74,-147.8448426,30.0000000
75,-143.0652541,34.3480041
76,-137.7520462,38.5284891
77,-131.3480686,42.3009803
78,-125.4928579,46.8410406
79,-118.5197029,50.6671568
80,-110.4674744,54.0000000
81,-101.1593936,56.7072852
82,-90.5575696,58.6186010
83,-78.7500000,59.9054704
84,-66.9424304,58.6186010
85,-56.3406064,56.7072852
86,-145.7162745,24.9228805
87,-141.0863025,29.1548266
88,-136.1070096,33.2249155
89,-130.5914617,37.1003175
90,-124.5433760,41.0484878
91,-118.2218648,44.7806934
92,-111.1339592,48.0773765
93,-103.1498664,50.9170380
94,-94.0842108,53.0975514
95,-84.0825699,54.6251745
96,-73.4174301,54.6251745
97,-63.4157892,53.0975514
98,-143.7650297,19.8399309
99,-139.2211245,23.9831124
100,-134.4198690,27.9528134
101,-129.2884285,31.7242988
102,-123.7500000,35.2643897
103,-117.9961051,38.8395014
104,-111.6444949,42.1114673
105,-104.6069262,45.0106235
106,-96.8207994,47.4513518
107,-88.1331518,49.2440016
108,-78.7500000,50.6563283
109,-69.3668482,49.2440016
110,-141.9505311,14.7806370
111,-137.4411630,18.8847841
112,-132.7064068,22.8348023
113,-127.6291135,26.6953741
114,-122.6358223,29.5232587
115,-117.4350398,32.7245126
116,-112.4732614,35.9833029
117,-105.9167914,39.0015592
118,-98.9224439,41.5976947
119,-91.3500567,43.7147778
120,-83.0848147,45.2730341
121,-74.4151853,45.2730341
122,-140.2404271,9.7718851
123,-135.7238470,13.9077824
124,-130.9798221,17.9793298
125,-126.4400832,20.7826156
