id,longitude,latitude
865,-0.2434894,60.9113954
919,-0.4526734,60.0927650
973,-1.5030917,60.5750120
1081,-2.7439840,60.2303749
8798,-1.6842866,59.7585569
8851,-2.9116802,59.4159421
8959,-5.2875955,58.7000663
8960,-3.0873443,58.5998080
9012,-6.4367467,58.3275940
9013,-4.2554999,58.2455231
9014,-2.0977084,58.1261268
9063,-14.1225023,57.9077971
9066,-7.5605290,57.9459374
9067,-5.3988777,57.8816600
9068,-3.2585137,57.7800996
9120,-8.6593713,57.5554590
9121,-6.5178075,57.5085862
9122,-4.3954871,57.4244848
9123,-2.2970664,57.3040596
9174,-7.6126602,57.1266574
9175,-5.5089055,57.0596415
9176,-3.4271169,56.9563129
9229,-6.5990868,56.6859184
9230,-4.5344757,56.5993263
9231,-2.4943641,56.4773866
9284,-5.6194132,56.2334410
9285,-3.5952296,56.1278617
9286,-1.5978943,55.9879470
9337,-6.6822357,55.8589879
9338,-4.6744643,55.7694230
9339,-2.6919498,55.6454680
9392,-5.7323312,55.4023947
9393,-3.7651410,55.2940617
9394,-1.8255043,55.1523657
9446,-6.7691252,55.0270918
9447,-4.8176916,54.9340449
9448,-2.8924346,54.8075546
9449,-0.4795141,54.8085949
9499,-7.7851689,54.6438194
9500,-5.8498575,54.5657262
9501,-3.9394338,54.4541107
9502,-1.5493795,54.4742041
9554,-6.8619222,54.1894051
9556,-2.5999269,54.1310110
9557,-0.2425745,54.1238648
9608,-7.8541939,53.8053723
9609,-5.9745490,53.7225210
9610,-3.6313312,53.7793126
9611,-1.2959638,53.7906285
9663,-4.6437969,53.4193985
9664,-2.3307963,53.4487183
9665,-0.0252193,53.4347536
9718,-3.3472354,53.0984190
9719,-1.0628000,53.1023995
9720,1.2143853,53.0648720
9772,-4.3454720,52.7400084
9773,-2.0825465,52.7614908
9774,0.1747187,52.7418821
9775,2.4247169,52.6822285
9825,-5.3257219,52.3737571
9826,-3.0846123,52.4123006
9827,-0.8476810,52.4101820
9828,1.3836015,52.3684390
9880,-4.0691771,52.0550952
9881,-1.8529324,52.0700395
9882,0.3591824,52.0457945
9934,-5.0364440,51.6901340
9935,-2.8411811,51.7217165
9936,-0.6486263,51.7145576
9937,1.5396724,51.6694203
9988,-3.8125970,51.3654684
9989,-1.6399381,51.3749853
9990,0.5299124,51.3469673
10042,-4.7673723,51.0015438
10043,-2.6148917,51.0273287
10044,-0.4638600,51.0160352
10045,1.6841218,50.9682072
10096,-5.7057188,50.6301843
10097,-3.5736491,50.6718326
10098,-1.4417543,50.6768705
10099,0.6884675,50.6458185
10149,-6.6278663,50.2516247
10150,-4.5163928,50.3087354
10151,-2.4039033,50.3297141
10204,-5.4433246,49.9382688
10205,-3.3504621,49.9748009
10258,-6.3546630,49.5606575
