id,longitude,latitude
19761,19.2099663,39.7491658
19816,20.1325610,40.1195792
19817,21.1617281,41.1822355
19869,20.0474264,39.4199480
19870,21.0633020,40.4818750
19924,20.9677210,39.7815210
19925,22.0023775,40.8363502
19977,19.8841787,38.0205500
19978,20.8748333,39.0811180
19979,21.8960371,40.1354683
19980,22.9499692,41.1832187
20031,20.7844915,38.3806082
20032,21.7927147,39.4345149
20033,22.8325609,40.4820032
20034,23.9062502,41.5226288
20085,20.6965518,37.6799305
20086,21.6922470,38.7334353
20087,22.7185107,39.7806939
20088,23.7774686,40.8212733
20089,24.8713834,41.8546761
20140,21.5944756,38.0321722
20141,22.6076393,39.0792396
20142,23.6524007,40.1198005
20143,24.7309259,41.1533732
20193,21.4992452,37.3306654
20194,22.4997730,38.3775866
20195,23.5308506,39.4181632
20196,24.5945529,40.4519278
20197,25.6930875,41.4783552
20247,21.4064032,36.6288515
20248,22.3947427,37.6756788
20249,23.4126291,38.7163115
20251,25.5451240,40.7771266
20302,22.2923827,36.9734573
20303,23.2975526,38.0141934
20304,24.3332159,39.0484334
20305,25.4013997,40.0756880
20355,22.1925296,36.2708607
20356,23.1854422,37.3117546
20357,24.2078484,38.3462910
20358,25.2616932,39.3739982
20410,23.0761221,36.6089382
20411,24.0857562,37.6438193
20412,25.1257908,38.6720136
20413,26.1982084,39.6930189
20464,22.9694192,35.9056848
20465,23.9667509,36.9409659
20466,24.9934857,37.9696886
20467,26.0515278,38.9913711
20519,24.8645769,37.2669756
20520,25.9087792,38.2893688
20521,26.9851955,39.3043477
20572,23.7372643,35.5338949
20573,24.7388675,36.5638252
20574,25.7697481,37.5869692
20626,23.6264188,34.8295620
20628,25.6342256,36.8841273
20629,26.6824006,37.9009249
20680,24.4962765,35.1560040
20681,25.5020073,36.1807967
20682,26.5368571,37.1985575
20735,25.3728922,35.4769289
20736,26.3949266,36.4956976
20789,25.2466813,34.7724742
20791,27.2950453,36.8048414
20843,26.1210623,35.0883253
20844,27.1469144,36.1020720
20898,27.0022755,35.3987236
20899,28.0445531,36.4061756
20953,27.8904301,35.7036025
26283,26.5042585,41.0954138
26337,26.6582830,41.8059292
