id,longitude,latitude
45408,-88.8186147,15.4356357
45409,-87.5793937,16.0670945
45410,-86.3372611,16.6887436
45461,-89.1925142,14.8474904
45462,-87.9588905,15.4790387
45463,-86.7227273,16.1008795
45464,-85.4823964,16.7146665
45465,-84.2365774,17.3214441
45515,-89.5639523,14.2591561
45516,-88.3357473,14.8907071
45517,-87.1053674,15.5126582
45518,-85.8711462,16.1267193
45570,-88.7100895,14.3020975
45571,-87.4853128,14.9240773
45572,-86.2570112,15.5383377
45573,-85.0238302,16.1459707
45624,-87.8626939,14.3351321
45625,-86.6401272,14.9495179
45626,-85.4129691,15.5574758
45678,-88.2376400,13.7458155
45679,-87.0206291,14.3602539
45680,-85.7993033,14.9684707
45681,-84.5725320,15.5711480
45733,-87.3986511,13.7705371
45734,-86.1829717,14.3789487
45735,-84.9621083,14.9820352
45736,-83.7351046,15.5801910
45786,-87.7743272,13.1803560
45787,-86.5641128,13.7889008
45788,-85.3489641,14.3923401
45789,-84.1279307,14.9910613
45841,-86.9428648,13.1983153
45842,-85.7332415,13.8020540
45843,-84.5179781,14.4012901
45844,-83.2962556,14.9962135
45895,-87.3193669,12.6071778
