id,longitude,latitude
27139,39.0303751,32.0464175
27140,38.6001028,33.2058749
27194,39.2559482,32.7422072
27248,39.9063869,32.2749199
27249,39.4864033,33.4383900
27301,40.5517586,31.8042219
27302,40.1388593,32.9695432
27303,39.7222512,34.1349032
27355,41.1924209,31.3303473
27356,40.7860361,32.4971643
27357,40.3766456,33.6645500
27409,41.8287514,30.8535607
27410,41.4283015,32.0214758
27411,41.0255337,33.1905435
27412,40.6203099,34.3598625
27462,42.4611504,30.3741659
27463,42.0660448,31.5427301
27464,41.6692936,32.7130936
27465,41.2708062,33.8842944
27466,40.8704877,35.0553709
27516,43.0900432,29.8925145
27517,42.6996792,31.0612179
27518,42.3083260,32.2324387
27519,41.9159409,33.4051495
27520,41.5224799,34.5783205
27521,41.1278972,35.7509246
27570,43.7158837,29.4090182
27571,43.3296454,30.5772770
27572,42.9430571,31.7488542
27573,42.5561257,32.9226508
27574,42.1688587,34.0975626
27575,41.7812645,35.2724858
27576,41.3933528,36.4463222
27623,44.3391574,28.9241634
27624,43.9564146,30.0913057
27625,43.5739427,31.2626621
27626,43.1917997,32.4370562
27627,42.8100462,33.6133028
27628,42.4287462,34.7902136
27629,42.0479675,35.9666038
27678,44.5804931,29.6037775
27679,44.2014720,30.7742438
27680,43.8234336,31.9486690
27681,43.4464937,33.1257795
27682,43.0707740,34.3042946
27683,42.6964018,35.4829337
27684,42.3235114,36.6604232
27732,45.2024268,29.1152615
27733,44.8261725,30.2840567
27734,44.4515344,31.4578506
27735,44.0786866,32.6352742
27736,43.7078104,33.8149455
27737,43.3390957,34.9954782
27738,42.9727409,36.1754900
27739,42.6089543,37.3536103
27786,45.4486150,29.7926547
27787,45.0766511,30.9650382
27788,44.7071493,32.1421251
27789,44.3403544,33.3224234
27790,43.9765217,34.5044305
27791,43.6159170,35.6866430
27792,43.2588180,36.8675667
27840,46.0694206,29.3007156
27841,45.6993805,30.4707660
27842,45.3324520,31.6467444
27843,44.9689472,32.8270392
27844,44.6091908,34.0100202
27845,44.2535202,35.1940500
27846,43.9022862,36.3774957
27847,43.5558531,37.5587405
27894,46.6892665,28.8090753
27895,46.3203752,29.9756944
27896,45.9552180,31.1496413
27897,45.5941797,32.3291754
27898,45.2376596,33.5125270
27899,44.8860716,34.6979107
27900,44.5398445,35.8835386
27901,44.1994221,37.0676348
27948,46.9403515,29.4806475
27949,46.5761327,30.6514523
27950,46.2167016,31.8293099
27951,45.8625388,33.0122988
27952,45.5141409,34.1984699
27953,45.1720213,35.3858632
27954,44.8367091,36.5725230
28003,47.1959532,30.1529822
28004,46.8372315,31.3280480
28005,46.4845032,32.5097751
28006,46.1383563,33.6960353
28007,45.7993962,34.8846758
28008,45.4682456,36.0735395
28009,45.1455429,37.2604842
28058,47.4565691,30.8261658
28059,47.1043048,32.0055216
28060,46.7594163,33.1910012
28062,46.0946170,35.5708498
28111,48.0756094,30.3246695
28112,47.7227868,31.5002749
28113,47.3781047,32.6838835
28165,48.6953585,29.8248766
28166,48.3409014,30.9950075
28167,47.9953080,32.1753672
