id,longitude,latitude
1400,-14.0700557,66.4515445
1454,-15.5843261,66.8022881
1455,-13.9284557,65.6271917
1509,-15.3958308,65.9798132
1510,-13.8049010,64.8073340
1562,-16.9021981,66.3174824
1563,-15.2291403,65.1617303
1616,-18.4474541,66.6396316
1617,-16.6901079,65.5016282
1618,-15.0794155,64.3473895
1671,-18.1877378,65.8264951
1672,-16.4983984,64.6893968
1724,-19.7217852,66.1357934
1725,-17.9520142,65.0168233
1726,-16.3229153,63.8802469
1778,-21.2918106,66.4289831
1779,-19.4400696,65.3291632
1780,-17.7356416,64.2101000
1832,-22.8971639,66.7055258
1833,-20.9622007,65.6259083
1834,-19.1809891,64.5253120
1835,-17.5350158,63.4058740
1886,-22.5178596,65.9065509
1887,-20.6586557,64.8254039
1888,-18.9405318,63.7238130
1940,-24.1063026,66.1705873
1941,-22.1681777,65.1098965
1942,-20.3767394,64.0270724
1995,-23.7089189,65.3783136
1996,-21.8432443,64.3151993
1997,-20.1129469,63.2305621
2048,-25.2800615,65.6301849
2049,-23.3395000,64.5877430
2050,-21.5391999,63.5221352
2103,-24.8647992,64.8442580
2104,-22.9938244,63.7985836
