id,longitude,latitude
113018,51.5982063,23.7771331
113019,51.4631109,24.4502851
113127,51.7258146,24.0985889
113234,51.9892205,23.7528078
113235,51.8540367,24.4198415
113342,52.2528144,23.4118800
113343,52.1179767,24.0741459
113450,52.5162184,23.0749528
113451,52.3821252,23.7334150
113452,52.2473658,24.3952919
113557,52.7791535,22.7413354
113558,52.6460857,23.3967581
113559,52.5120751,24.0547714
113666,52.9095681,23.0634573
113667,52.7765981,23.7183997
113668,52.6426787,24.3759531
113774,53.1723594,22.7329290
113775,53.0406326,23.3854307
113776,52.9077702,24.0398831
113882,53.3039586,23.0552607
113883,53.1723618,23.7072619
113884,53.0396173,24.3612137
113990,53.5664164,22.7273973
113991,53.4362263,23.3774654
113992,53.3047710,24.0289580
114099,53.6991998,23.0499867
114100,53.5691776,23.6995511
114101,53.4378758,24.3505262
114206,53.9611653,22.7244107
114207,53.8326693,23.3724714
114208,53.7028280,24.0215263
114315,54.0951272,23.0472937
114316,53.9668400,23.6948609
114317,53.8371933,24.3434002
114423,54.3564680,22.7236691
114424,54.2297912,23.3700947
114425,54.1017275,24.0171653
114531,54.4915982,23.0468720
114532,54.3651726,23.6928245
114533,54.2373476,24.3393958
114639,54.7522044,22.7248993
114640,54.6274451,23.3700152
114641,54.5012867,24.0154948
114642,54.3737165,24.6615641
114748,54.8884894,23.0484398
114749,54.7640238,23.6931108
114750,54.6381494,24.3381181
114855,55.1482703,22.7278525
114856,55.0255042,23.3719424
114857,54.9013495,24.0161719
114858,54.7757763,24.6607082
114964,55.2856942,23.0517413
114965,55.1632635,23.6954202
114966,55.0394374,24.3392125
114967,54.9141835,24.9832799
115073,55.4238595,23.3756129
115074,55.3017822,24.0188876
115075,55.1783031,24.6622480
115076,55.0533870,25.3058494
115181,55.5627805,23.6994816
115182,55.4410750,24.3423600
115183,55.3179618,24.9852947
115290,55.7024712,24.0233628
115291,55.5811565,24.6658540
115292,55.4584289,25.3083708
115399,55.8429459,24.3472732
115400,55.7220416,24.9893876
115401,55.5997198,25.6314957
115506,56.1033197,24.0293455
115507,55.9842183,24.6712304
115508,55.8637444,25.3129803
115616,56.1263022,24.9952538
115617,56.0062793,25.6366533
115725,56.2692109,25.3193642
115726,56.1496600,25.9604297
115832,56.5306428,25.0026204
115833,56.4129571,25.6435840
