id,longitude,latitude
7416,60.6173887,30.3125804
7417,60.1972109,32.9193886
7443,61.6394768,29.0509295
7444,61.2551881,31.6577343
7445,60.7873657,34.3029827
7471,62.2838962,30.3887927
7472,61.8813895,33.0225569
7473,61.2317967,35.7135377
7497,63.2866992,29.1121147
7498,62.9273317,31.7405480
7499,62.4605282,34.4109704
7525,63.9401989,30.4537524
7526,63.5536024,33.1095038
7527,62.9043736,35.8174731
7552,64.9258288,29.1609394
7553,64.5895280,31.8079668
7554,64.1290969,34.4973232
7555,63.9372899,37.2515466
7579,65.5882910,30.5034561
7580,65.2184446,33.1769600
7581,64.5817923,35.8982224
7606,66.5580537,29.1944430
7607,66.2444603,31.8571302
7608,65.7961850,34.5612329
7609,65.6632860,37.3187352
7634,67.2297912,30.5355664
7635,66.8786495,33.2234451
7636,66.2633291,35.9556359
7661,67.8939812,31.8864769
7662,67.4631231,34.6023556
7663,67.3894513,37.3608325
7689,68.5357961,33.2482081
7690,67.9482424,35.9895836
7716,69.5393122,31.8951001
7717,69.1303832,34.6205060
7718,69.1160682,37.3781040
7743,70.1907467,33.2508322
7744,69.6357771,35.9999558
7745,70.2382989,38.7453122
7771,70.7979855,34.6155671
7772,70.8429869,37.3706689
7799,71.3251694,35.9866633
7800,72.0107135,38.7213829
7826,72.5698108,37.3385835
7881,74.2959982,37.2818800
