id,longitude,latitude
78079,19.5333530,42.5452004
78187,19.4907173,42.1955218
78294,19.4487470,41.8459058
78295,19.9698491,42.3833327
78402,19.4074250,41.4963463
78403,19.9250588,42.0335055
78510,19.3667346,41.1468368
78511,19.8809615,41.6837304
78512,20.4036490,42.2188896
78617,19.3266595,40.7973708
78618,19.8375394,41.3340010
78619,20.3567294,41.8689220
78725,19.2871835,40.4479416
78726,19.7947749,40.9843109
78727,20.3105297,41.5189961
78728,20.8347508,42.0519666
78833,19.2482910,40.0985423
78834,19.7526509,40.6346535
78835,20.2650312,41.1691054
78836,20.7857280,41.7018678
78941,19.7111506,40.2850221
78942,20.2202154,40.8192435
78943,20.7374510,41.3518002
79049,19.6702573,39.9354096
79050,20.1760646,40.4694037
79051,20.6899002,41.0017577
79158,20.1325610,40.1195792
79159,20.6430565,40.6517335
79265,20.0896873,39.7697630
79266,20.5969013,40.3017211
79267,21.1121497,40.8320511
79374,20.5514161,39.9517136
79375,21.0633020,40.4818750
