id,longitude,latitude
7479,11.8603299,-5.8475458
7480,12.4666133,-4.6821990
7533,12.4749416,-7.0128578
7534,13.0806885,-5.8495123
7586,12.4848300,-9.3380488
7587,13.0942548,-8.1781978
7588,13.6991554,-7.0167857
7589,14.3001449,-5.8534445
7640,13.1101158,-10.5024824
7641,13.7185541,-9.3446403
7642,14.3222747,-8.1850232
7643,14.9219159,-7.0233299
7644,15.5181002,-5.8593409
7690,11.2500000,-16.2840403
7691,11.8835225,-15.1298895
7692,12.5093595,-13.9771686
7693,13.1282043,-12.8240967
7694,13.7408003,-11.6697824
7695,14.3478627,-10.5137255
7696,14.9500713,-9.3556182
7697,15.5480757,-8.1952546
7698,16.1425023,-7.0324865
7699,16.7339595,-5.8671991
7744,11.8913591,-17.4437827
7745,12.5237190,-16.2951141
7746,13.1480780,-15.1459493
7747,13.7653450,-13.9952588
7748,14.3763076,-12.8426008
7749,14.9816797,-11.6877490
7750,15.5821287,-10.5305693
7751,16.1782913,-9.3709708
7752,16.7707823,-8.2088842
7753,17.3602006,-7.0442505
7799,13.1668491,-17.4760636
7800,13.7895125,-16.3282062
7801,14.4052151,-15.1779578
7802,15.0146288,-14.0253201
7803,15.6184040,-12.8702880
7804,16.2171726,-11.7128501
7805,16.8115503,-10.5529889
7806,17.4021394,-9.3906819
7807,17.9895307,-8.2259014
7854,14.4210535,-17.5399146
7855,15.0397005,-16.3829343
7856,15.6501508,-15.2256953
7857,16.2539742,-14.0672203
7858,16.8521741,-12.9070763
7859,17.4455465,-11.7450337
7860,18.0347922,-10.5809514
7861,18.6205611,-9.4147304
7862,19.2034721,-8.2462931
7863,19.7841248,-7.0755730
7909,15.6410605,-17.6339691
7910,16.2670760,-16.4586787
7911,16.8783382,-15.2888393
7912,17.4802773,-14.1207774
7913,18.0753800,-12.9528578
7914,18.6651218,-11.7842341
7915,19.2505549,-10.6144160
7916,19.8325269,-9.4430911
7917,20.4117760,-8.2700438
7918,20.9889770,-7.0951141
7964,16.8157091,-17.7563059
7965,17.4651000,-16.5546079
7966,18.0855459,-15.3669728
7967,18.6906049,-14.1857628
7968,19.2858846,-13.0075000
7969,19.8742828,-11.8303720
7970,20.4575815,-10.6533343
7971,21.0370372,-9.4757342
7972,21.6136326,-8.2971353
7973,22.1881975,-7.1172278
8019,18.2353015,-17.7253596
8020,18.6280509,-16.6697105
8021,19.2679236,-15.4595936
8022,19.8822270,-14.2619047
8023,20.4816701,-13.0708473
8024,21.0714883,-11.8833550
8025,21.6546642,-10.6976505
8026,22.2331254,-9.5126259
8074,19.6301028,-17.6956580
8075,20.0439408,-16.6225836
8076,20.4220523,-15.5661268
8077,21.0526434,-14.3488923
8078,21.6608525,-13.1427227
8079,22.2552808,-11.9430788
8080,22.8406499,-10.7473020
8129,21.0130849,-17.6601249
8130,21.4380152,-16.5760984
8131,21.8333706,-15.5039812
8132,22.1996042,-14.4463807
8133,22.8216945,-13.2229295
8134,23.4242939,-12.0094276
8135,24.0144453,-10.8022192
8184,22.3897272,-17.6162571
8185,22.8201250,-16.5245368
8188,23.9626148,-13.3112533
8189,24.5772592,-12.0822749
8239,23.7627329,-17.5629902
