id,longitude,latitude
1269,-58.9807708,-62.4446785
1270,-43.0689617,-58.3344951
1277,-67.5868496,-66.0869708
1278,-48.4697219,-62.8840342
1284,-78.7500000,-69.0948426
1285,-55.7405603,-67.1611624
1292,-91.0362516,-70.9888950
1293,-66.4637484,-70.9888950
1300,-105.2287572,-71.9293964
1301,-78.7500000,-74.2939740
1307,-120.0624491,-71.7614187
1308,-96.2130942,-76.1926285
1309,-61.2869058,-76.1926285
1316,-116.3425727,-76.5459511
1317,-78.7500000,-79.5038467
1318,-41.1574273,-76.5459511
1324,-135.1717387,-75.3390825
1325,-106.2371280,-81.0847524
1326,-51.2628719,-81.0847524
1327,-22.3282613,-75.3390825
1328,-11.8430604,-68.3183969
1332,-135.6882829,-80.2463943
1333,-78.7500000,-84.7354033
1334,-21.8117171,-80.2463943
1335,-7.4907142,-72.9117231
1340,-156.2902518,-77.5210462
1341,-135.8163997,-85.1380438
1342,-21.6836003,-85.1380438
1343,-1.2097482,-77.5210462
1344,3.3532745,-69.6842349
1386,19.1467255,-69.6842349
1394,11.2500000,-73.8425647
1395,34.3430604,-68.3183969
1402,29.9907142,-72.9117231
1403,43.2323590,-65.0253116
1410,23.7097482,-77.5210462
1411,46.1059371,-70.5004973
1418,11.2500000,-81.8823154
1419,44.8282613,-75.3390825
1420,54.0788914,-66.6105315
1426,44.3117171,-80.2463943
1427,59.9375509,-71.7614187
1434,44.1836003,-85.1380438
1435,63.6574273,-76.5459511
1436,65.9873890,-67.3469483
1442,0.0000000,-90.0000000
1443,73.7628720,-81.0847524
1444,74.7712428,-71.9293964
1450,101.2500000,-84.7354033
1451,83.7869058,-76.1926285
1452,78.2405603,-67.1611624
1458,158.3163997,-85.1380438
1459,101.2500000,-79.5038467
1460,88.9637484,-70.9888950
1466,-168.7500000,-81.8823154
1467,128.7371281,-81.0847524
1468,101.2500000,-74.2939740
1469,90.0868496,-66.0869708
1474,158.1882829,-80.2463943
1475,118.7130942,-76.1926285
1476,101.2500000,-69.0948426
1482,178.7902518,-77.5210462
1483,138.8425727,-76.5459511
1484,113.5362516,-70.9888950
1485,101.2500000,-64.5038514
1491,157.6717387,-75.3390825
1492,127.7287572,-71.9293964
1493,112.4131504,-66.0869708
1498,172.5092858,-72.9117231
1499,142.5624491,-71.7614187
1500,124.2594397,-67.1611624
1507,156.3940629,-70.5004973
1508,136.5126110,-67.3469483
1515,168.1569396,-68.3183969
1516,148.4211086,-66.6105315
1523,159.2676410,-65.0253116
