id,longitude,latitude
1477,-64.8919112,-20.9853915
1493,-66.2030702,-23.0107397
1494,-62.3146872,-21.3755113
1508,-67.5534175,-25.0339052
1509,-63.6059012,-23.4291152
1524,-68.9491758,-27.0549552
1525,-64.9336963,-25.4798025
1526,-60.9809155,-23.7668694
4612,-70.3972393,-29.0736641
4613,-66.3041624,-27.5280876
4614,-62.2823038,-25.8457497
4615,-58.3398958,-24.0382247
4627,-71.8511601,-31.0813728
4628,-67.7188554,-29.5787081
4629,-63.6464538,-27.9350491
4630,-59.6451574,-26.1610682
4644,-69.1336645,-31.6273254
4645,-65.0259665,-30.0221719
4646,-60.9766139,-28.2820754
4647,-56.9972684,-26.4188025
4660,-70.5190950,-33.6775458
4661,-66.3994336,-32.1099062
4662,-62.3197820,-30.4036497
4663,-58.2953889,-28.5690898
4664,-54.3388532,-26.6193922
4676,-67.7324925,-34.2015960
4677,-63.6501974,-32.5285444
4678,-59.6015970,-30.7228365
4679,-55.6034161,-28.7961968
4692,-70.3706018,-36.0331525
4693,-64.9276190,-34.6597076
4694,-60.8879148,-32.8827589
4695,-56.8726939,-30.9795541
4709,-67.5027151,-36.5649095
4710,-62.1069674,-35.0512451
4711,-58.1147073,-33.1721738
4724,-70.1146833,-38.4075754
4725,-64.6118272,-37.0278855
4726,-59.2733602,-35.3756893
4740,-72.8237836,-40.1817919
4741,-67.1466420,-38.9446503
4742,-61.7006682,-37.4212372
4743,-56.4299054,-35.6326535
4757,-69.7744968,-40.7908839
4758,-64.1492564,-39.4091762
4759,-58.7722593,-37.7442290
4772,-72.5738656,-42.5528177
4773,-66.6899678,-41.3300818
4774,-61.1254529,-39.7999104
4775,-55.8298062,-37.9962341
4789,-69.3912939,-43.1611587
4790,-63.5690368,-41.7919575
4805,-72.2976804,-44.9138304
4806,-66.1499433,-43.7147778
4821,-68.9675802,-45.5221292
4837,-71.9911257,-47.2663939
4838,-65.5733357,-46.0706662
4854,-68.4970233,-47.8754339
4869,-71.6492067,-49.6121899
4870,-64.9327859,-48.4186714
4885,-75.0562788,-51.2964199
4886,-67.9719346,-50.2228452
4902,-71.2658067,-51.9531014
4918,-67.3829410,-52.5663487
4934,-70.8334122,-54.2913427
4951,-66.7186077,-54.9082606
4967,-62.5112043,-55.4320950
