id,longitude,latitude
112072,44.8505252,39.3742953
112180,45.1709722,39.1273069
112181,45.0268350,39.7147887
112287,45.4895094,38.8792775
112288,45.3471410,39.4677429
112291,44.9399215,41.2186818
112396,45.6654722,39.2196600
112397,45.5281785,39.8069039
112398,45.3944278,40.3916474
112399,45.2643301,40.9736014
112400,45.1379954,41.5524850
112504,45.9818886,38.9705443
112505,45.8462970,39.5587946
112506,45.7144462,40.1445525
112507,45.5864522,40.7275103
112508,45.4624308,41.3073695
112612,46.1624318,39.3096591
112613,46.0323527,39.8964395
112614,45.9063388,40.4804131
112615,45.7845117,41.0612616
112720,46.4766441,39.0595000
112721,46.3482042,39.6473111
112722,46.2240426,40.2323131
112723,46.1042874,40.8141664
112724,45.9890649,41.3925422
112829,46.6620598,39.3971694
112830,46.5396183,39.9832131
112831,46.4218085,40.5660877
112832,46.3087628,41.1454420
112833,46.2006113,41.7209369
112936,46.9739813,39.1460156
112937,46.8531225,39.7331145
112938,46.7371270,40.3170284
112939,46.6261339,40.8973810
112940,46.5202789,41.4738095
112941,46.4196945,42.0459656
113045,47.1646146,39.4820183
113046,47.0502973,40.0669903
113047,46.9412280,40.6483630
113048,46.8375487,41.2257472
113049,46.7393970,41.7987694
113154,47.3613755,39.8159743
113155,47.2540963,40.3983904
113156,47.1524677,40.9767547
113157,47.0566328,41.5506658
113260,47.7818150,38.9768304
113261,47.6704205,39.5639797
113262,47.5647918,40.1474648
113263,47.4650840,40.7268359
113264,47.3714461,41.3016614
113368,48.0876587,38.7227353
113369,47.9774944,39.3110050
113370,47.8733697,39.8955862
113371,47.7754473,40.4759936
113372,47.6838823,41.0517619
113476,48.3917628,38.4676358
113477,48.2826628,39.0570473
113478,48.1798879,39.6427533
113479,48.0836089,40.2242291
113480,47.9939875,40.8009717
113481,47.9111759,41.3725015
113583,48.6942075,38.2115280
113584,48.5859956,38.8021023
113585,48.4844073,39.3889633
113586,48.3896221,39.9715423
113587,48.3018089,40.5492943
113588,48.2211256,41.1216999
113589,48.1477180,41.6882671
113692,48.8875679,38.5461646
113693,48.7869925,39.1342119
113694,48.6935427,39.7179316
113695,48.6073955,40.2967316
113696,48.5287144,40.8700480
113697,48.4576491,41.4373471
113801,49.0877127,38.8784931
113802,48.9954297,39.4633938
113803,48.9107976,40.0432843
113804,48.8339866,40.6175506
113805,48.7651501,41.1856124
113806,48.7044252,41.7469248
113909,49.2953454,39.2079235
113910,49.2120682,39.7889511
113911,49.1369876,40.3642113
113912,49.0702618,40.9330708
113913,49.0120288,41.4949362
114018,49.5112625,39.5337292
114019,49.4377643,40.1100322
114020,49.3730248,40.6797294
114021,49.3171837,41.2421725
114128,49.6734808,40.4255943
114129,49.6199276,40.9886436
114235,49.9716717,40.1706703
114236,49.9202980,40.7343596
114344,50.2183326,40.4793293
114452,50.5140689,40.2235615
