id,longitude,latitude
19006,16.0484653,45.1293408
19059,15.9963527,44.4315509
19060,17.0443620,45.5514322
19114,16.9802341,44.8524819
19168,16.9182802,44.1541501
19169,17.9754767,45.2615285
19221,16.8583933,43.4563954
19222,17.9014104,44.5621137
19276,17.8298207,43.8632350
19277,18.8954745,44.9590671
19330,17.7605847,43.1648491
19331,18.8117001,44.2592092
19383,17.6935860,42.4669112
19384,18.7306874,43.5598035
19385,19.8041511,44.6449237
19438,18.6522985,42.8608054
19439,19.7109062,43.9446629
19493,19.6206910,43.2447703
