id,longitude,latitude
133032,87.9111570,24.7361880
133034,87.9329859,26.0716317
133140,88.0997066,24.3708606
133141,88.1107017,25.0385092
133142,88.1225368,25.7065236
133143,88.1352502,26.3749707
133249,88.2988468,24.6726260
133250,88.3111808,25.3407797
133251,88.3243906,26.0093020
133252,88.3385163,26.6782603
133355,88.4740612,23.6378399
133356,88.4860734,24.3059809
133357,88.4989097,24.9743412
133358,88.5126151,25.6430001
133359,88.5272333,26.3120307
133463,88.6598280,23.2699986
133464,88.6723650,23.9385038
133465,88.6857111,24.6071442
133466,88.6999157,25.2760067
133467,88.7150259,25.9451710
133570,88.8322690,22.2321374
133571,88.8446199,22.9011595
133572,88.8577001,23.5701180
133573,88.8715687,24.2391191
133574,88.8862802,24.9082584
133575,88.9018860,25.5776231
133576,88.9184347,26.2472928
133677,89.0154501,21.8615419
133678,89.0284033,22.5312298
133679,89.0420515,23.2007399
133680,89.0564609,23.8701902
133681,89.0716922,24.5396863
133682,89.0878015,25.2093242
133683,89.1048417,25.8791907
133684,89.1228633,26.5493659
133785,89.1975405,21.4896325
133786,89.2111374,22.1601077
133787,89.2253860,22.8302779
133788,89.2403611,23.5002746
133789,89.2561304,24.1702155
133790,89.2727560,24.8402060
133791,89.2902958,25.5103418
133792,89.3088044,26.1807099
133894,89.3927733,21.7876810
133895,89.4076633,22.4586313
133896,89.4232363,23.1292819
133897,89.4395684,23.7997639
133898,89.4567287,24.4701943
133899,89.4747809,25.1406783
133900,89.4937845,25.8113114
134002,89.5888349,22.0856897
134003,89.6050465,22.7571129
134004,89.6219735,23.4282423
134005,89.6396932,24.0992081
134006,89.6582762,24.7701268
134007,89.6777878,25.4411034
134008,89.6982893,26.1122331
134110,89.7688429,21.7113313
134111,89.7857439,22.3836586
134112,89.8033061,23.0555528
134113,89.8216171,23.7271592
134114,89.8407556,24.3986073
134115,89.8607936,25.0700131
134116,89.8817981,25.7414812
134219,89.9652714,22.0087993
134220,89.9835191,22.6815880
134221,90.0024615,23.3539510
134222,90.0221871,24.0260326
134223,90.0427761,24.6979615
134224,90.0643020,25.3698531
134326,90.1435618,21.6324028
134327,90.1625562,22.3062299
134328,90.1821797,22.9794776
134329,90.2025323,23.6523073
134330,90.2237037,24.3248624
134331,90.2457755,24.9972705
134435,90.3403512,21.9293487
134436,90.3607162,22.6036229
134437,90.3817449,23.2773272
134438,90.4035384,23.9506217
134439,90.4261873,24.6236482
134440,90.4497749,25.2965339
134544,90.5380058,22.2262593
134545,90.5597705,22.9009780
134546,90.5822345,23.5751366
134547,90.6054999,24.2488936
134548,90.6296588,24.9223898
134651,90.7139717,21.8472461
134652,90.7365445,22.5231342
134653,90.7597382,23.1982948
134654,90.7836682,23.8729053
134655,90.8084373,24.5471227
134656,90.8341391,25.2210866
134760,90.9119916,22.1436574
134761,90.9359863,22.8199725
134762,90.9606392,23.4955725
134763,90.9860662,24.1706327
134764,91.0123715,24.8453083
134869,91.1109045,22.4400343
134870,91.1363505,23.1167738
134871,91.1624932,23.7928106
134872,91.1894491,24.4683180
134873,91.2173234,25.1434497
134976,91.2844061,22.0583304
134977,91.3107292,22.7363759
134978,91.3376567,23.4135372
134979,91.3653203,24.0900083
134980,91.3938375,24.7659605
135085,91.4836901,22.3542320
135086,91.5114851,23.0326813
135088,91.5691411,24.3871645
135089,91.5992527,25.0635591
135193,91.6551345,21.9701805
135194,91.6838947,22.6500991
135195,91.7131916,23.3289495
135196,91.7431747,24.0069463
135197,91.7739763,24.6842783
135198,91.8057158,25.3611129
135300,91.8249475,21.5840427
135301,91.8547887,22.2656320
135302,91.8850391,22.9459304
135303,91.9158687,23.6251792
135304,91.9474270,24.3035898
135305,91.9798470,24.9813485
135408,91.9929960,21.1956207
135409,92.0240544,21.8791052
135410,92.0553718,22.5610492
135411,92.0871427,23.2417248
135412,92.1195364,23.9213694
135413,92.1527024,24.6001910
135414,92.1867745,25.2783737
135516,92.1591257,20.8046952
135517,92.1915618,21.4903254
135518,92.2240798,22.1741345
135519,92.2569032,22.8564306
135520,92.2902254,23.5374808
135522,92.3590221,24.8967486
135624,92.3571601,21.0990784
135625,92.3910354,21.7849975
135626,92.4250424,22.4691291
135627,92.4594023,23.1517749
135733,92.5560916,21.3934290
135734,92.5914354,22.0796355
135735,92.6269614,22.7640874
135842,92.7559385,21.6877455
