id,longitude,latitude
97823,28.9104330,-2.6104955
97931,28.9150602,-3.0136927
97932,29.2009960,-2.4112871
98039,29.2053675,-2.8146669
98147,29.2096622,-3.2186007
98148,29.4956195,-2.6153668
98255,29.2138180,-3.6231437
98256,29.4996556,-3.0194773
98257,29.7858276,-2.4157933
98363,29.5035593,-3.4241950
98364,29.7895962,-2.8200764
98365,30.0760029,-2.2159474
98471,29.5072624,-3.8295787
98472,29.7932393,-3.2249642
98473,30.0794953,-2.6203988
98579,29.5106887,-4.2356924
98580,29.7966890,-3.6305152
98581,30.0828692,-3.0254526
98582,30.3693641,-2.4204458
98687,29.7998697,-4.0367926
98688,30.0860571,-3.4311664
98689,30.3724601,-2.8256612
98690,30.6592137,-2.2202185
98795,29.8026972,-4.4438645
98796,30.0889841,-3.8376029
98797,30.3753778,-3.2315336
98798,30.6620231,-2.6255915
98904,30.0915668,-4.2448294
98905,30.3780430,-3.6381248
98906,30.6646622,-3.0316182
99013,30.6670573,-3.4383596
99122,30.9560381,-3.2383088
