id,longitude,latitude
15183,-69.8790402,-10.8412715
15238,-69.0632165,-10.8302607
15240,-66.6950261,-9.6089841
15291,-69.4338170,-11.4231730
15292,-68.2437236,-10.8146572
15293,-67.0565759,-10.2013558
15294,-65.8709136,-9.5821312
15346,-68.6113717,-11.4068700
15347,-67.4196366,-10.7932156
15348,-66.2295804,-10.1733541
15349,-65.0391858,-9.5451962
15400,-68.9808201,-11.9985416
15401,-67.7843475,-11.3845964
15402,-66.5897687,-10.7641812
15403,-65.3951109,-10.1352373
15454,-68.1508438,-11.9755256
15455,-66.9516073,-11.3546407
15456,-65.7525717,-10.7250217
15508,-68.5192579,-12.5660263
15509,-67.3152221,-11.9447557
15510,-66.1116845,-11.3145685
15562,-68.8897202,-13.1561177
15563,-67.6807372,-12.5345453
15564,-66.4725646,-11.9038926
15565,-65.2626581,-11.2608299
15615,-69.2623600,-13.7458155
15616,-68.0482754,-13.1240245
15617,-66.8353264,-12.4930059
15618,-65.6210716,-11.8495768
15670,-68.4179590,-13.7132056
15671,-67.2000841,-13.0819170
15672,-65.9813361,-12.4382257
15673,-64.7583806,-11.7768583
15724,-68.7899105,-14.3020975
15725,-67.5669527,-13.6706324
15726,-66.3435577,-13.0267774
15727,-65.1165762,-12.3655912
15777,-69.1642527,-14.8907071
15778,-67.9360477,-14.2591561
15779,-66.7078441,-13.6152312
15780,-65.4766596,-12.9542954
15781,-64.4112944,-12.5535271
15831,-69.5411095,-15.4790387
15832,-68.3074858,-14.8474904
15833,-67.0743046,-14.2035854
15834,-65.8387344,-13.5429663
15835,-64.7706703,-13.1432640
15836,-63.6944288,-12.7206537
15886,-68.6813853,-15.4356357
15887,-67.4430502,-14.7918373
15888,-66.2029062,-14.1315991
15889,-65.1319713,-13.7329552
15890,-64.0533948,-13.3122140
15891,-62.9686572,-12.8696491
15939,-69.0578661,-16.0235908
15940,-67.8141941,-15.3799829
15941,-66.5692827,-14.7201882
15942,-65.4953051,-14.3226012
15943,-64.4141959,-13.9036561
15944,-63.3273250,-13.4636052
15945,-62.2361050,-13.0027962
15993,-69.4370504,-16.6113530
15994,-68.1878515,-15.9680174
15995,-66.9379738,-15.3087277
15996,-65.8607814,-14.9122008
15997,-64.7769439,-14.4949920
15998,-63.6877344,-14.0573348
15999,-62.5944607,-13.5995496
16000,-61.4984582,-13.1220441
16047,-69.8190623,-17.1989183
16048,-68.5641401,-16.5559350
16049,-67.3090920,-15.8972110
16050,-66.2285117,-15.5017521
16051,-65.1417521,-15.0862307
16052,-64.0500004,-14.6508647
16053,-62.9544722,-14.1959504
16054,-61.8564053,-13.7218637
16055,-60.7570526,-13.2290593
16101,-68.9431801,-17.1437287
16102,-67.6827522,-16.4856309
16103,-66.5986097,-16.0912518
16104,-65.5087352,-15.6773790
16105,-64.4142392,-15.2442166
16106,-63.3162558,-14.7920403
16107,-62.2159362,-14.3211985
16108,-61.1144434,-13.8321114
16155,-69.3250946,-17.7313910
16156,-68.0590719,-17.0739794
16157,-66.9711914,-16.6806958
16158,-65.8780095,-16.2684414
16159,-64.7805683,-15.8374084
16160,-63.6799289,-15.3878547
16161,-62.5771660,-14.9201048
16162,-61.4733621,-14.4345488
16163,-60.3696027,-13.9316424
16210,-68.4381716,-17.6622482
16211,-67.3463755,-17.2700791
16212,-66.2496934,-16.8594205
16213,-65.1491064,-16.4304545
16214,-64.0456103,-15.9834234
16215,-62.9402111,-15.5186307
16216,-61.8339200,-15.0364406
16217,-60.7277485,-14.5372774
16263,-68.8201745,-18.2504280
16264,-67.7242831,-17.8593955
16265,-66.6239077,-17.4503172
16266,-65.5199742,-17.0233661
16267,-64.4134202,-16.5787712
16268,-63.3051899,-16.1168177
16269,-62.1962306,-15.6378469
16270,-61.0874878,-15.1422554
16271,-59.9799015,-14.6304942
16317,-69.2052072,-18.8385087
16318,-68.1050384,-18.4486380
16319,-67.0007753,-18.0411306
16320,-65.8932944,-17.6161520
16321,-64.7834805,-17.1739191
16322,-63.6722226,-16.7147012
16323,-62.5604101,-16.2388195
16324,-61.4489295,-15.7466465
16325,-60.3386599,-15.2386051
16372,-68.4887682,-19.0377986
16373,-67.3804219,-18.6318587
16374,-66.2691918,-18.2088183
16375,-65.1559151,-17.7688841
16376,-64.0414310,-17.3123113
16377,-62.9265769,-16.8394036
16378,-61.8121858,-16.3505122
16379,-60.6990821,-15.8460350
16425,-68.8756031,-19.6268685
16426,-67.7629760,-19.2224977
16427,-66.6477936,-18.8013690
16428,-65.5308501,-18.3636801
16429,-64.4129392,-17.9096740
16430,-63.2948517,-17.4396386
16431,-62.1773719,-16.9539063
16432,-61.0612748,-16.4528532
16433,-59.9473236,-15.9368978
16480,-68.1485691,-19.8130426
16481,-67.0292299,-19.3938062
16482,-65.9084138,-18.9583182
16483,-64.7868736,-18.5068108
16484,-63.6653575,-18.0395582
16485,-62.5446059,-17.5568761
16486,-61.4253491,-17.0591212
16487,-60.3083044,-16.5466897
16488,-59.1941742,-16.0200162
16534,-68.5373360,-20.4034871
16535,-67.4136334,-19.9861299
16536,-66.2887372,-19.5528066
16537,-65.1633629,-19.1037398
16538,-64.0382200,-18.6391916
16539,-62.9140090,-18.1594630
16540,-61.7914193,-17.6648932
16541,-60.6711269,-17.1558588
16542,-59.5537923,-16.6327724
16543,-58.4400585,-16.0960811
16587,-68.9294148,-20.9938234
16588,-67.8011401,-20.5783385
16589,-66.6719541,-20.1471513
16590,-65.5425385,-19.7004760
16591,-64.4135674,-19.2385639
