id,longitude,latitude
129,-71.7384518,-0.0000000
130,-64.6955513,3.6522458
131,-57.5930767,7.7552864
138,-71.6339087,-7.2684938
139,-64.6955513,-3.6522458
140,-57.8448426,-0.0000000
141,-51.2424467,4.0853151
147,-71.3170283,-14.3789487
148,-64.0472482,-10.5993222
149,-57.5930767,-7.7552864
150,-51.2424467,-4.0853151
151,-45.5820828,-0.0000000
158,-57.3305495,-15.5462647
159,-50.7944007,-12.0022333
160,-44.5418640,-8.1344939
161,-38.6526938,-4.0871379
162,-33.1760057,-0.0000000
491,-57.0444433,-23.4101138
492,-50.2996997,-19.8712371
493,-43.8349240,-16.0751815
494,-37.6414545,-12.1080980
495,-31.6995414,-8.0549168
500,-56.8477484,-31.4913266
501,-49.8208261,-27.8298865
502,-43.0067349,-23.9200971
503,-36.4785641,-19.8969094
510,-48.8251694,-35.9866633
513,-28.7094568,-23.8070077
