id,longitude,latitude
24328,20.5582498,-18.7532203
24381,20.6975339,-19.4748180
24382,21.1719931,-18.3757991
24433,19.7605816,-22.4059515
24435,20.8258001,-20.1985554
24436,21.3176338,-19.0956287
24437,21.7824055,-17.9968056
24487,19.8526885,-23.1302712
24488,20.4119353,-22.0281766
24489,20.9451954,-20.9232140
24490,21.4524926,-19.8179333
24491,21.9339389,-18.7148169
24540,19.9404633,-23.8531190
24541,20.5114287,-22.7526018
24542,21.0574560,-21.6479460
24543,21.5785910,-20.5415048
24544,22.0749532,-19.4355834
24545,22.5467298,-18.3324204
24594,20.0248837,-24.5743398
24595,20.6064555,-23.4758473
24596,21.1639973,-22.3721695
24597,21.6975840,-21.2654792
24598,22.2073520,-20.1579163
24599,22.6934941,-19.0515713
24600,23.1562542,-17.9484696
24648,20.1067501,-25.2938693
24649,20.6979899,-24.1977042
24650,21.2659824,-23.0954931
24651,21.8108362,-21.9892447
24652,22.3327111,-20.8809458
24653,22.8318136,-19.7725468
24654,23.3083921,-18.6659487
24702,20.7868379,-24.9180597
24703,21.3643751,-23.8176631
24704,21.9194810,-22.7123745
24705,22.4523432,-21.6040400
24706,22.9631878,-20.4944792
24707,23.4522749,-19.3854742
24708,23.9198950,-18.2787581
24755,20.2653596,-26.7278823
24756,20.8736730,-25.6368680
24757,21.4599809,-24.5385247
24758,22.0244668,-23.4345779
24759,22.5673491,-22.3267449
24760,23.0888776,-21.2167244
24761,23.5893293,-20.1061862
24762,24.0690050,-18.9967617
24763,24.5282262,-17.8900350
24810,20.9590630,-26.3541301
24811,21.5534789,-25.2579941
24812,22.1265937,-24.1556640
24813,22.6786586,-23.0487398
24814,23.2099500,-21.9388083
24815,23.7207655,-20.8274344
24816,24.2114210,-19.7161532
24817,24.6822477,-18.6064612
24818,25.1335893,-17.4998100
24863,21.0434919,-27.0698789
24864,21.6454467,-25.9760388
24865,22.2265417,-24.8755160
24866,22.7870622,-23.7698036
24867,23.3273132,-22.6603860
24868,23.8476155,-21.5487306
24869,24.3483037,-20.4362814
24870,24.8297225,-19.3244515
24871,25.2922251,-18.2146169
24918,21.7363803,-26.6926624
24919,22.3248939,-25.5940707
24920,22.8932375,-24.4897903
24921,23.4417457,-23.3812113
24922,23.9707650,-22.2697111
24923,24.4806505,-21.1566485
24924,24.9717640,-20.0433574
24925,25.4444714,-18.9311410
24973,22.4221546,-26.3113052
24974,22.9977695,-25.2086101
24975,23.5539197,-24.1011132
24976,24.0909783,-22.9901090
24977,24.6093233,-21.8768767
24978,25.1093354,-20.7626757
24979,25.5913963,-19.6487397
24980,26.0558868,-18.5362727
25027,23.1011673,-25.9262151
25028,23.6644191,-24.8199781
25029,24.2089195,-23.7097319
25030,24.7350707,-22.5966821
25031,25.2432743,-21.4820180
25032,25.7339295,-20.3669077
25033,26.2074316,-19.2524941
25082,23.7737555,-25.5377362
25083,24.3251697,-24.4284455
25084,24.8585476,-23.3158545
25085,25.3743130,-22.2010870
25086,25.8728843,-21.0852492
25087,26.3546732,-19.9694258
25137,24.4402406,-25.1461602
25138,24.9803300,-24.0342414
25139,25.5030955,-22.9196575
25140,26.0089759,-21.8034563
25141,26.4984010,-20.6866676
25190,24.5545865,-25.8628210
25191,25.1009280,-24.7517358
25192,25.6301913,-23.6375614
25193,26.1428366,-22.5212914
25194,26.6393127,-21.4039034
25195,27.1200562,-20.2863570
25245,25.2207967,-25.4682662
25246,25.7561076,-24.3546765
25247,26.2750287,-23.2385733
25248,26.7780285,-22.1208857
25249,27.2655614,-21.0025264
25300,25.8812990,-25.0709164
25301,26.4060551,-23.9551663
25302,26.9151022,-22.8374220
25303,27.4089136,-21.7185524
25304,27.8879458,-20.5994105
25354,26.5363683,-24.6709709
25355,27.0510316,-23.5533650
25356,27.5506578,-22.4342334
25357,28.0357209,-21.3143894
25409,27.1862666,-24.2686035
25410,27.6912858,-23.1494118
25411,28.1819285,-22.0291176
25465,28.3270538,-22.7434290
25466,28.8091355,-21.6221713
25519,28.9585605,-22.3355242
25574,29.5860204,-21.9257930
