id,longitude,latitude
106475,23.6463362,51.5457975
106476,23.2462611,52.0627622
106584,23.7474623,51.8938770
106585,23.3476810,52.4101820
106692,24.2444754,51.7229271
106693,23.8524417,52.2411495
106694,23.4531137,52.7567511
106800,24.3529324,52.0700395
106801,23.9615045,52.5875471
106802,23.5628000,53.1023995
106908,24.8491720,51.8968845
106909,24.4655411,52.4162523
106910,24.0748936,52.9329973
106911,23.6769939,53.4470521
106912,23.2715978,53.9583490
107017,24.9652428,52.2429001
107018,24.5825465,52.7614908
107019,24.1928652,53.2774224
107020,23.7959638,53.7906285
107124,25.4606310,52.0675233
107125,25.0857788,52.5879141
107126,24.7042073,53.1056747
107127,24.3156901,53.6207397
107232,25.9517280,51.8901541
107233,25.5846123,52.4123006
107234,25.2110407,52.9318435
107235,24.8307963,53.4487183
107236,24.4436539,53.9628602
107340,26.4385581,51.7108247
107341,26.0790702,52.2346834
107342,25.7133880,52.7559630
107343,25.3413038,53.2745997
107344,24.9626017,53.7905298
107447,26.9211464,51.5295664
107448,26.5691771,52.0550952
107449,26.2112730,52.5780670
107450,25.8472354,53.0984190
107451,25.4768581,53.6160880
107452,25.0999269,54.1310110
107556,27.0549593,51.8735681
107557,26.7047212,52.3981889
107558,26.3486161,52.9202105
107559,25.9864471,53.4395705
107560,25.6180098,53.9562067
107561,25.2430921,54.4700568
107664,27.5364440,51.6901340
107665,27.1937595,52.2163616
107666,26.8454720,52.7400084
107667,26.4913941,53.2610126
107668,26.1313312,53.7793126
107669,25.7650813,54.2948471
107771,28.0136598,51.5048242
107772,27.6784161,52.0326175
107773,27.3378309,52.5578462
107774,26.9917263,53.0804489
107775,26.6399175,53.6003647
107776,26.2822127,54.1175328
107777,25.9184125,54.6318927
107879,28.4866366,51.3176694
107880,28.1587204,51.8469886
107881,27.8257219,52.3737571
107882,27.4874724,52.8979139
107883,27.1437969,53.4193985
107884,26.7945137,53.9381506
107885,26.4394338,54.4541107
107886,25.8241448,55.0521890
107988,28.6347031,51.6595063
107989,28.3091753,52.1877737
107990,27.9786624,52.7134412
107991,27.6429990,53.2364488
107992,27.3020134,53.7567368
107993,26.9555270,54.2742458
107994,26.3515642,54.8749104
108095,29.1063959,51.4702018
108096,28.7882228,51.9999281
108097,28.4653277,52.5270643
108098,28.1375549,53.0515504
108099,27.8047425,53.5733269
108100,27.4667224,54.0923350
108101,26.8739410,54.6955150
108102,26.2651410,55.2940617
108203,29.5738318,51.2791055
108204,29.2628970,51.8102521
108205,28.9475010,52.3388160
108206,28.6274970,52.8647371
108207,28.3027333,53.3879562
108208,27.9730519,53.9084148
108209,27.3913058,54.5140407
108210,26.7939811,55.1151101
108312,29.7332319,51.6187769
108313,29.4252159,52.1487286
108314,29.1128592,52.6760425
108315,28.7960194,53.2006594
108316,28.4745489,53.7225210
108317,27.9036910,54.3305247
108318,27.3176916,54.9340449
108319,26.7152898,55.5331479
108419,30.1992622,51.4255332
108420,29.8985075,51.9568340
108421,29.5936763,52.4854996
108422,29.2846359,53.0114707
108423,28.9712485,53.5346889
108424,28.4111307,54.1450040
108425,27.8363055,54.7509043
108426,27.2455216,55.3524686
108527,30.6610235,51.2305512
108528,30.3674115,51.7631635
108529,30.0699843,52.2931409
108530,29.7686187,52.8204237
108531,29.4631868,53.3449534
108532,28.9136605,53.9575146
108533,28.3498575,54.5657262
108534,27.7705360,55.1696787
108535,27.1744643,55.7694230
108636,30.8319649,51.5677481
108637,30.5418204,52.0989983
108638,30.2480053,52.6275515
108639,29.9504014,53.1533488
108640,29.4113174,53.7680925
108641,28.8583837,54.3785475
108642,28.2903682,54.9848168
108643,27.7060510,55.5869627
108744,31.0092226,51.9031035
108745,30.7228340,52.4328868
108746,30.4329309,52.9599088
108747,29.9041397,53.5767727
108748,29.3619222,54.1894051
108749,28.8050552,54.7979212
108750,28.2323312,55.4023947
108751,27.6425438,56.0028622
108853,31.1931441,52.2364617
108854,30.9108150,52.7646666
108855,30.3921671,53.3835898
108856,29.8605120,53.9983348
108857,29.3146358,54.6090293
108858,28.7533428,55.2157583
108859,28.1754408,55.8185692
108961,31.6589758,52.0383077
108962,31.3840946,52.5676550
108963,30.8754403,53.1885779
108964,30.3541939,53.8053723
108965,29.8191501,54.4181780
108966,29.2691252,55.0270918
108967,28.7029412,55.6321716
108968,28.1194132,56.2334410
109069,31.8528112,52.3689060
109070,31.3540010,52.9917706
109071,30.8430095,53.6105523
109072,30.3186398,54.2254038
109073,29.7797197,54.8364331
109074,29.2250854,55.4437089
109075,28.6535684,56.0472651
109178,31.8278920,52.7932007
109179,31.3270017,53.4139093
109180,30.8131477,54.0307424
109181,30.2851689,54.6438194
109182,29.7419156,55.2532200
109183,29.1822357,55.8589879
109287,31.8062146,53.2154770
109288,31.3027179,53.8342289
109289,30.7855168,54.4492874
109290,30.2534756,55.0607429
109291,29.7054582,55.6686491
109394,32.2806930,53.0152885
109395,31.7873956,53.6358979
109396,31.2808088,54.2528731
109397,30.7598106,54.8663152
109398,30.2232811,55.4762879
109503,32.2672270,53.4357834
109504,31.7710914,54.0546119
109505,31.2609672,54.6699737
109506,30.7357506,55.2819427
109507,30.1943295,55.8905591
109611,32.7422592,53.2339187
109612,32.2564121,53.8545385
109614,31.2429147,55.0856512
109615,30.7130823,55.6962776
109719,32.7368195,53.6526871
109722,31.2263980,55.5000163
