id,longitude,latitude
355,-88.6086551,82.8814920
356,-78.7500000,82.9884518
357,-68.8913449,82.8814920
358,-59.6035163,82.5700859
408,-99.1862858,81.2610545
409,-91.3723701,81.6178127
410,-83.0224360,81.8022794
411,-74.4775640,81.8022794
412,-66.1276299,81.6178127
449,-141.4454437,68.4635483
450,-139.4063316,69.6311038
457,-124.2736825,76.4095972
458,-120.6503555,77.2656926
459,-116.4783584,78.0638379
460,-111.6935902,78.7886686
461,-106.2501426,79.4223780
462,-100.1401957,79.9453397
463,-93.4175837,80.3376024
464,-86.2162534,80.5813782
465,-78.7500000,80.6641491
466,-71.2837466,80.5813782
502,-142.1041692,65.9798132
503,-140.3599035,67.1375836
504,-138.4349799,68.2787494
505,-136.2947284,69.4008332
506,-133.8940629,70.5004973
510,-125.3788609,74.2436025
511,-122.4616307,75.1193711
512,-119.1356692,75.9539275
513,-115.3506307,76.7357693
514,-111.0609171,77.4514961
515,-106.2344017,78.0859059
516,-100.8646561,78.6224629
517,-94.9851831,79.0443074
518,-88.6814232,79.3358861
519,-82.0938463,79.4850381
520,-75.4061537,79.4850381
521,-68.8185768,79.3358861
556,-141.0016016,64.6893968
557,-139.3122622,65.8264951
558,-137.4687096,66.9456880
559,-135.4463126,68.0446952
560,-133.2147367,69.1206438
561,-130.7358484,70.1698346
562,-127.9603290,71.1873390
563,-125.8697154,72.0850025
564,-123.5008234,72.9630882
565,-120.8168614,73.8139015
566,-117.7790090,74.6284047
567,-114.3486909,75.3960845
568,-110.4914679,76.1048985
569,-106.1829724,76.7413789
570,-101.4169402,77.2909942
571,-96.2145034,77.7388759
572,-90.6325085,78.0709654
573,-84.7672616,78.2755056
574,-78.7500000,78.3446135
575,-72.7327384,78.2755056
609,-141.4915325,62.2693673
610,-139.9649842,63.4058740
611,-138.3190109,64.5253120
612,-136.5377993,65.6259083
613,-134.6028361,66.7055258
614,-132.4922763,67.7615741
615,-130.1800656,68.7908844
616,-127.6346371,69.7895242
617,-124.8168163,70.7524944
618,-121.6761264,71.6731784
619,-119.2373801,72.4969209
620,-116.4870330,73.2905662
621,-113.3939129,74.0442908
622,-109.9302219,74.7469406
623,-106.0757761,75.3861284
624,-101.8236375,75.9485251
625,-97.1866563,76.4204162
626,-92.2036500,76.7885682
627,-86.9431012,77.0413737
628,-81.5019564,77.1701213
629,-75.9980436,77.1701213
662,-141.9024149,59.8661435
663,-140.4978942,61.0044621
664,-138.9965130,62.1264154
665,-137.3870531,63.2305621
666,-135.6567557,64.3151993
667,-133.7910811,65.3783136
668,-131.7734210,66.4175214
669,-129.5847421,67.4299934
670,-127.2031151,68.4123550
671,-124.6030302,69.3605495
672,-121.7542777,70.2696268
673,-118.6198718,71.1333772
674,-115.1517443,71.9435854
675,-112.3962825,72.6806091
676,-109.3106734,73.3756329
677,-105.8764161,74.0168427
678,-102.0850165,74.5914634
679,-97.9429771,75.0862135
680,-93.4767719,75.4880139
681,-88.7364431,75.7849418
682,-83.7961085,75.9673367
683,-78.7500000,76.0288705
717,-139.5734615,59.7398953
718,-138.0951470,60.8490161
719,-136.5180183,61.9397846
720,-134.8315021,63.0105733
721,-133.0237939,64.0594846
722,-131.0817327,65.0843065
723,-128.9906727,66.0824626
724,-126.7343467,67.0509506
725,-124.2947081,67.9862703
726,-121.6517023,68.8843296
727,-118.7828444,69.7403134
728,-115.6622828,70.5484671
729,-112.2585329,71.3016640
730,-108.5286777,71.9903554
731,-105.5136311,72.6300146
732,-102.1661918,73.2148362
733,-98.4868104,73.7312921
734,-94.4922366,74.1657005
735,-90.2192377,74.5051050
736,-85.7262628,74.7383433
737,-81.0917255,74.8571623
772,-137.2581230,59.5722333
773,-135.7106709,60.6512061
774,-134.0632762,61.7098756
775,-132.3061150,62.7464546
776,-130.4284315,63.7588839
777,-128.4185093,64.7447953
778,-126.2636691,65.7014703
779,-123.9502993,66.6257954
780,-121.4639223,67.5142130
781,-118.7892795,68.3626664
782,-115.9103706,69.1665314
783,-112.8102663,69.9205145
784,-109.4702080,70.6184489
785,-105.8666626,71.2527773
786,-101.9623331,71.8129569
787,-98.7620872,72.3477834
788,-95.2397519,72.8138829
789,-91.4204123,73.1961702
790,-87.3505882,73.4808027
791,-83.0984314,73.6565266
792,-78.7500000,73.7159597
827,-134.9622788,59.3635249
828,-133.3507951,60.4115223
829,-131.6390541,61.4373215
830,-129.8180626,62.4390032
831,-127.8781768,63.4143808
832,-125.8091492,64.3609709
833,-123.6002211,65.2759617
834,-121.2402694,66.1561837
835,-118.7180214,66.9980804
836,-116.0223311,67.7976846
837,-113.1424935,68.5505963
838,-110.0684982,69.2519599
839,-106.7909647,69.8964116
840,-103.3000499,70.4779075
841,-99.5812065,70.9890923
842,-95.6001579,71.4186977
843,-92.2924807,71.8444122
844,-88.6772525,72.1846127
845,-84.8144521,72.4223880
846,-80.7902068,72.5447971
847,-76.7097932,72.5447971
848,-72.6855479,72.4223880
881,-134.3275901,58.0816573
882,-132.6914775,59.1143250
883,-131.0214115,60.1306567
884,-129.2515521,61.1229709
885,-127.3737930,62.0892445
886,-125.3796327,63.0271978
887,-123.2602779,63.9342720
888,-121.0067993,64.8076078
889,-118.6103526,65.6440286
890,-116.0624740,66.4400287
891,-113.3554553,67.1917715
892,-110.4827863,67.8950996
893,-107.4396193,68.5455586
894,-104.2231360,69.1384298
895,-100.8325042,69.6687464
896,-97.2675366,70.1311887
897,-93.5229058,70.5193777
898,-89.5624242,70.8215420
899,-86.2108238,71.1348468
900,-82.5621440,71.3356622
901,-78.7500000,71.4049314
902,-74.9378560,71.3356622
903,-71.2891762,71.1348468
904,-67.9375758,70.8215420
936,-132.1401179,57.8248054
937,-130.4508590,58.8253640
938,-128.7278931,59.8094870
939,-126.9063212,60.7678671
940,-124.9789540,61.6984062
941,-122.9384314,62.5987651
942,-120.7773631,63.4663477
943,-118.4885228,64.2982894
944,-116.0651038,65.0914502
945,-113.5010463,65.8424172
946,-110.7914369,66.5475178
947,-107.9329753,67.2028483
948,-104.9244845,67.8043212
949,-101.7674146,68.3477328
950,-98.4662348,68.8288502
951,-95.0284717,69.2435034
952,-91.4636543,69.5876198
953,-87.7777097,69.8567918
954,-83.9313645,70.0400118
955,-80.5522837,70.2252491
956,-76.9477163,70.2252491
957,-73.5686355,70.0400118
958,-69.7222903,69.8567918
959,-66.0363457,69.5876198
990,-131.6294984,56.5358168
991,-129.9806361,57.5292896
992,-128.2450921,58.4975318
993,-126.4750328,59.4490571
994,-124.6082075,60.3732247
995,-122.6383484,61.2678902
996,-120.5592073,62.1306871
997,-118.3647166,62.9590185
998,-116.0491984,63.7500527
999,-113.6076269,64.5007262
1000,-111.0359476,65.2077558
1001,-108.3314512,65.8676621
1002,-105.4931929,66.4768087
1003,-102.5224369,67.0314574
1004,-99.4230975,67.5278429
1005,-96.2021295,67.9622661
1006,-92.8698166,68.3312051
1007,-89.4398967,68.6314380
1008,-85.9294712,68.8601719
1009,-82.3586607,69.0151666
1010,-78.7500000,69.0948426
1011,-75.1413393,69.0151666
1012,-71.5705288,68.8601719
1013,-68.0601033,68.6314380
1014,-64.6301834,68.3312051
1043,-132.6876434,54.2342174
1044,-131.1549332,55.2474272
1045,-129.5444350,56.2344683
1046,-127.8534477,57.1959405
1047,-126.0783289,58.1318605
1048,-124.2670037,59.0505560
1049,-122.3613223,59.9404043
1050,-120.3559201,60.7992425
1051,-118.2456073,61.6247083
1052,-116.0255348,62.4142375
1053,-113.6914020,63.1650672
1054,-111.2397028,63.8742465
1055,-108.6680108,64.5386564
1056,-105.9752942,65.1550416
1057,-103.1622434,65.7200558
1058,-100.2315847,66.2303224
1059,-97.1883337,66.6825139
1060,-94.0399120,67.0734514
1061,-90.7959695,67.4002423
1062,-87.4674655,67.6605262
1063,-84.0630895,67.8533228
1064,-80.5694055,67.9870382
1065,-76.9305945,67.9870382
1066,-73.4369105,67.8533228
1067,-70.0325345,67.6605262
1068,-66.7040305,67.4002423
1069,-63.4600880,67.0734514
1070,-60.3116663,66.6825139
1097,-132.2132550,52.9513581
1098,-130.7124111,53.9596597
1099,-129.1383439,54.9409038
1100,-127.4892762,55.8961351
1101,-125.7624015,56.8257255
1102,-123.9541763,57.7295056
1103,-122.1073395,58.6152957
1104,-120.1690364,59.4708868
1105,-118.1347682,60.2941247
1106,-116.0003297,61.0826805
1107,-113.7619713,61.8340545
1108,-111.4165897,62.5455862
1109,-108.9619440,63.2144715
1110,-106.3968902,63.8377907
1111,-103.7216176,64.4125483
1112,-100.9378642,64.9357278
1113,-98.0490651,65.4043678
1114,-95.0603609,65.8156701
1115,-91.9783091,66.1671791
1116,-88.8099229,66.4571614
1117,-85.5598883,66.6857824
1118,-82.2216309,66.8608546
1119,-78.7500000,67.0548401
1120,-75.2783691,66.8608546
1121,-71.9401117,66.6857824
1122,-68.6900771,66.4571614
1123,-65.5216909,66.1671791
1124,-62.4396391,65.8156701
1151,-131.7686590,51.6682621
1152,-130.2984775,52.6724968
1153,-128.7590181,53.6485719
1154,-127.1494199,54.5980589
1155,-125.4676484,55.5217279
1156,-123.7108663,56.4197317
1157,-121.8756847,57.2917267
1158,-119.9989345,58.1446889
1159,-118.0339964,58.9662484
1160,-115.9771834,59.7542850
1161,-113.8251880,60.5065315
1162,-111.5752310,61.2205828
1163,-109.2252268,61.8939121
1164,-106.7739603,62.5238966
1165,-104.2212615,63.1078535
1166,-101.5681574,63.6430920
1167,-98.8169678,64.1269878
1168,-95.9712839,64.5570958
1169,-93.0357222,64.9313442
1170,-90.0152203,65.2484340
1171,-86.9133192,65.5088874
1172,-83.7279497,65.7186821
1174,-77.0584357,65.9073322
1175,-73.7720503,65.7186821
1176,-70.5866808,65.5088874
1177,-67.4847797,65.2484340
1178,-64.4642778,64.9313442
1207,-128.4035807,52.3574251
1208,-126.8311786,53.3016389
1209,-125.1916361,54.2197547
1210,-123.4827505,55.1122765
1211,-121.7017191,55.9791488
1212,-119.8453503,56.8198673
1213,-117.9440600,57.6402268
1214,-115.9581577,58.4281356
1215,-113.8847027,59.1815323
1216,-111.7211898,59.8982375
1217,-109.4656780,60.5759692
1218,-107.1169263,61.2123660
1219,-104.6745263,61.8050214
1220,-102.1390150,62.3515321
1221,-99.5119435,62.8495695
1222,-96.7958585,63.2969896
1223,-93.9941252,63.6920191
1224,-91.1104567,64.0336166
1225,-88.1478788,64.3223036
1226,-85.1065521,64.5624822
1227,-81.9794900,64.7705798
1228,-78.7500000,65.0141908
1229,-75.5205100,64.7705798
1230,-72.3934479,64.5624822
1231,-69.3521212,64.3223036
1232,-66.3895433,64.0336166
1233,-63.5058748,63.6920191
1261,-128.0695430,51.0673950
1262,-126.5322293,52.0067892
1263,-124.9322819,52.9196825
1264,-123.2680828,53.8069739
1265,-121.5373417,54.6689134
1266,-119.7373454,55.5052510
1267,-117.8651317,56.3153365
1268,-115.9443940,57.1034585
1269,-113.9428317,57.8582433
1270,-111.8581771,58.5777116
1271,-109.6886273,59.2597971
1272,-107.4329500,59.9023687
1273,-105.0905869,60.5032620
1274,-102.6617414,61.0603242
1275,-100.1474326,61.5714812
1276,-97.5494867,62.0348386
1277,-94.8704193,62.4488499
1278,-92.1131292,62.8126228
1279,-89.2802635,63.1265568
1280,-86.3730014,63.3938679
1281,-83.3889003,63.6248989
1282,-80.3194318,63.8520344
1283,-77.1805682,63.8520344
1284,-74.1110997,63.6248989
1285,-71.1269986,63.3938679
1286,-68.2197365,63.1265568
1287,-65.3868708,62.8126228
1315,-127.7547408,49.7783947
1316,-126.2505629,50.7134130
1317,-124.6877925,51.6213788
1318,-123.0653676,52.5036487
1319,-121.3814522,53.3608046
1320,-119.6337397,54.1928577
1321,-117.8196508,54.9993799
1322,-115.9364766,55.7795907
1323,-114.0010623,56.5359714
1324,-111.9887427,57.2582940
1325,-109.8978459,57.9446832
1326,-107.7271716,58.5932104
1327,-105.4760727,59.2019230
1328,-103.1445262,59.7688859
1329,-100.7331786,60.2922419
1330,-98.2433459,60.7703035
1331,-95.6769396,61.2016984
1332,-93.0362682,61.5856238
1335,-84.6869226,62.4680937
1336,-81.7586821,62.7027508
1337,-78.7500000,62.9722458
1338,-75.7413179,62.7027508
1339,-72.8130774,62.4680937
1340,-69.9593633,62.2141685
1341,-67.1763610,61.9223318
1342,-64.4637318,61.5856238
1370,-125.9844322,49.4214053
1371,-124.4566151,50.3247031
1372,-122.8733171,51.2021150
1373,-121.2331104,52.0545942
1374,-119.5340345,52.8824252
1375,-117.7738282,53.6853994
1376,-115.9500827,54.4629281
1377,-114.0603565,55.2141170
1378,-112.1146859,55.9393738
1379,-110.0960905,56.6300195
1380,-108.0034157,57.2843041
1381,-105.8359674,57.9004605
1382,-103.5935694,58.4767424
1383,-101.2766034,59.0114787
1384,-98.8860158,59.5031539
1385,-96.4232726,59.9505335
1386,-93.8902314,60.3528720
1390,-83.0857118,61.5497362
1391,-80.2134191,61.8021107
1392,-77.2865809,61.8021107
1393,-74.4142882,61.5497362
1394,-71.6130236,61.3003382
1395,-68.8790826,61.0244805
1397,-63.6097686,60.3528720
1425,-124.2373982,49.0295059
1426,-122.6908170,49.9021739
1427,-121.0915110,50.7500370
1428,-119.4378130,51.5736718
1429,-117.7277221,52.3730896
1430,-115.9590741,53.1478836
1431,-114.1296579,53.8973236
1432,-112.2373075,54.6204184
1433,-110.2854338,55.3152796
1434,-108.2646154,55.9751457
1435,-106.1741383,56.5984126
1436,-104.0137237,57.1834984
1437,-101.7835631,57.7288921
1438,-99.4843295,58.2332234
1439,-97.1171517,58.6953699
1440,-94.6835317,59.1146263
1446,-78.7500000,60.9283528
1447,-75.9347263,60.6432538
1448,-73.1853244,60.3887890
1449,-70.4997606,60.1222868
1450,-67.8762829,59.8257091
1451,-65.3148220,59.4909942
1452,-62.8164683,59.1146263
1479,-124.0289600,47.7356278
1480,-122.5168998,48.6036081
1481,-120.9559656,49.4468632
1482,-119.3447330,50.2662880
1483,-117.6814086,51.0621157
1484,-115.9640226,51.8341122
1485,-114.1905498,52.5816961
1486,-112.3589970,53.3040157
1487,-110.4674744,54.0000000
1488,-108.5130776,54.6652943
1489,-106.4936637,55.2953787
1490,-104.4088862,55.8888152
1491,-102.2587986,56.4442314
1492,-100.0438686,56.9603811
1493,-97.7649644,57.4362353
1494,-95.4233026,57.8711211
1495,-93.0203374,58.2649484
1500,-80.1214324,59.7527369
1501,-77.3785676,59.7527369
1502,-74.6808124,59.4830404
1503,-72.0430387,59.2188289
1504,-69.4637507,58.9346583
1505,-66.9424304,58.6186010
1506,-64.4796626,58.2649484
1507,-62.0766974,57.8711211
1536,-119.2545250,48.9599244
1537,-117.6349920,49.7521013
1538,-115.9654691,50.5212273
1539,-114.2440769,51.2668538
1540,-112.4689620,51.9882497
1541,-110.6383608,52.6844623
1542,-108.7506564,53.3543579
1543,-106.7970457,53.9910044
1544,-104.7822504,54.5923947
1545,-102.7062236,55.1572772
1546,-100.5692765,55.6845134
1547,-98.3720735,56.1731540
1548,-96.1155991,56.6225544
1549,-93.8010839,57.0325538
1550,-91.4298757,57.4037715
1554,-81.3960763,58.5863748
1555,-78.7500000,58.8818536
1556,-76.1039237,58.5863748
1557,-73.5134282,58.3170262
1558,-70.9779293,58.0397713
1559,-68.4967613,57.7381223
