id,longitude,latitude
22383,11.8603299,-5.8475458
22384,12.4666133,-4.6821990
22437,12.4692180,-5.4597631
22438,13.0729139,-4.2939360
22491,12.4719937,-6.2366356
22492,13.0766749,-5.0720670
22546,13.0806885,-5.8495123
22547,13.6827242,-4.6843374
22555,18.5321608,4.7071283
22600,13.6878699,-5.4624256
22601,14.2874005,-4.2964678
22608,18.5194710,3.9234136
22609,19.1426003,5.1039337
22654,13.6933470,-6.2398907
22655,14.2935701,-5.0752567
22661,17.8895226,1.9617126
22662,18.5075492,3.1395201
22663,19.1288499,4.3192359
22664,19.7530009,5.5023054
22709,14.3001449,-5.8534445
22710,14.8978315,-4.6879007
22712,16.0856938,-2.3493983
22713,16.6770544,-1.1761255
22715,17.8803017,1.1774870
22716,18.4964315,2.3553314
22717,19.1158568,3.5345360
22718,19.7383038,4.7163774
22763,14.9053909,-5.4668619
22764,15.5007049,-4.3002648
22765,16.0936638,-3.1311284
22766,16.6848601,-1.9593109
22767,17.2748818,-0.7846908
22768,17.8718951,0.3926617
22769,18.4861467,1.5707434
22770,19.1036736,2.7496961
22771,19.7243226,3.9306546
22772,20.3476211,5.1150711
22817,14.9134212,-6.2453142
22818,15.5091354,-5.0800400
22819,16.1022476,-3.9122672
22820,16.6933526,-2.7418565
22821,17.2830396,-1.5686895
22822,17.8718951,-0.3926617
22823,18.4767183,0.7856618
22824,19.0923423,1.9645941
22825,19.7111327,3.1449723
22826,20.3327721,4.3280811
22872,15.5181002,-5.8593409
22873,16.1114364,-4.6928880
22874,16.7025224,-3.5238353
22875,17.2919488,-2.3520685
22876,17.8803017,-1.1774870
22877,18.4681657,-0.0000000
22878,19.0818965,1.1791207
22879,19.6987937,2.3591866
22880,20.3186648,3.5413418
22881,20.9409933,4.7270425
22926,16.1212192,-5.4730706
22927,16.7123577,-4.3053261
22928,17.3015968,-3.1349052
22929,17.8895226,-1.9617126
22930,18.4767183,-0.7856618
22931,19.0723638,0.3931769
22932,19.6873530,1.5731703
22933,20.3053825,2.7546829
22934,20.9260946,3.9390053
22981,16.7228433,-5.0864153
22982,17.3119681,-3.9172841
22983,17.8995418,-2.7454205
22984,18.4861467,-1.5707434
22985,19.0723638,-0.3931769
22986,19.6768494,0.7868092
22987,20.2929911,1.9679552
22988,20.9119636,3.1512609
22989,21.5332102,4.3381837
23035,16.7339595,-5.8671991
23036,17.3230432,-4.6992977
23037,17.9103400,-3.5287002
23038,18.4964315,-2.3553314
23039,19.0818965,-1.1791207
23040,19.6673147,-0.0000000
23041,20.2815439,1.1810263
23042,20.8986910,2.3636338
23043,21.5183614,3.5491162
23088,16.7456802,-6.6477856
23089,17.3347971,-5.4810494
23090,17.9218932,-4.3116503
23091,18.5075492,-3.1395201
23092,19.0923423,-1.9645941
23093,19.6768494,-0.7868092
23094,20.2710845,0.3937779
23095,20.8863491,1.5759701
23096,21.5043068,2.7603802
23097,22.1243647,3.9484640
23098,22.7454350,5.1420852
23142,16.7579704,-7.4282990
23143,17.3471972,-6.2626558
23144,17.9341708,-5.0943807
23145,18.5194710,-3.9234136
23146,19.1036736,-2.7496961
23147,19.6873530,-1.5731703
23148,20.2710845,-0.3937779
23149,20.8749968,0.7881330
23150,21.4911441,1.9717955
23151,22.1096630,3.1583850
23152,22.7297220,4.3495412
23197,17.3602006,-7.0442505
23198,17.9471336,-5.8770159
23199,18.5321608,-4.7071283
23200,19.1158568,-3.5345360
23201,19.6987937,-2.3591866
23202,20.2815439,-1.1810263
23203,20.8646827,-0.0000000
23204,21.4789520,1.1832039
23205,22.0957829,2.3686725
23206,22.7145497,3.5578578
23207,23.3341348,4.7526085
23250,17.3737493,-7.8259898
23251,17.9607303,-6.6596984
23252,18.5455727,-5.4907955
23253,19.1288499,-4.3192359
23254,19.7111327,-3.1449723
23255,20.2929911,-1.9679552
23256,20.8749968,-0.7881330
23257,21.4677948,0.3944648
23258,22.0828287,1.5791425
23259,22.7000902,2.7667871
23260,23.3187177,3.9590287
23261,23.9372509,5.1579533
23305,17.9748931,-7.4425946
23306,18.5596470,-6.2745661
23307,19.1426003,-5.1039336
23308,19.7243226,-3.9306545
23309,20.3053825,-2.7546829
23310,20.8863491,-1.5759701
23311,21.4677948,-0.3944648
23312,22.0708851,0.7896331
23313,22.6864807,1.9761147
23314,23.3038576,3.1663433
23315,23.9218733,4.3621509
23359,17.9895307,-8.2259014
23360,18.5743060,-7.0586153
23361,19.1570402,-5.8887874
23362,19.7383038,-4.7163774
23363,20.3186648,-3.5413418
23364,20.8986910,-2.3636338
23365,21.4789520,-1.1832039
23366,22.0600219,-0.0000000
23367,22.6738320,1.1856533
23368,23.2897336,2.3743019
23369,23.9068393,3.5675649
23370,24.5236709,4.7675023
23413,18.5894460,-7.8431506
23414,19.1720821,-6.6739806
23415,19.7530009,-5.5023054
23416,20.3327721,-4.3280811
23417,20.9119636,-3.1512609
23418,21.4911441,-1.9717955
23419,22.0708851,-0.7896331
23420,22.6622345,0.3952375
23421,23.2764894,1.5826874
23422,23.8923811,2.7739028
23423,24.5087459,3.9706972
23424,25.1237057,5.1753891
23468,19.1876106,-7.4597296
23469,19.7683167,-6.2886293
23470,20.3476211,-5.1150711
23471,20.9260946,-3.9390053
23472,21.5043068,-2.7603802
23473,22.0828287,-1.5791425
23474,22.6622345,-0.3952375
23475,23.2642419,0.7913095
23476,23.8786843,1.9809124
23477,24.4941804,3.1751347
23478,25.1092390,4.3760097
23479,25.7215045,5.5861482
23522,19.2034721,-8.2462931
23523,19.7841248,-7.0755730
23524,20.3631057,-5.9025089
23525,20.9409933,-4.7270425
23526,21.5183614,-3.5491162
23527,22.0957829,-2.3686725
23528,22.6738320,-1.1856533
23529,23.2530870,-0.0000000
23530,23.8658987,1.1883743
23531,24.4802123,2.3805216
23532,25.0948472,3.5782358
23533,25.7079234,4.7837980
23577,20.3790890,-6.6906252
23578,20.9565451,-5.5155750
23579,21.5332102,-4.3381837
23580,22.1096630,-3.1583850
23581,22.6864807,-1.9761147
23582,23.2642419,-0.7913095
23583,23.8541468,0.3960959
23584,24.4670331,1.5866044
23585,25.0808342,2.7817264
23586,25.6940501,3.9834670
23587,26.3043391,5.1943872
23631,20.3953917,-7.4796936
23632,20.9726031,-6.3048391
23633,21.5487306,-5.1277896
23634,22.1243647,-3.9484640
23635,22.7000902,-2.7667871
23636,23.2764894,-1.5826874
23637,23.8541468,-0.3960959
23638,24.4547982,0.7931621
23639,25.0674433,1.9861881
23640,25.6802710,3.1847577
23641,26.2914037,4.3911142
23686,20.9889770,-7.0951141
23687,21.5647666,-5.9181751
23688,22.1397578,-4.7391207
23689,22.7145497,-3.5578578
23690,23.2897336,-2.3743019
23691,23.8658987,-1.1883743
23692,24.4436355,-0.0000000
23693,25.0548709,1.1913668
23694,25.6668937,2.3873308
23695,26.2781983,3.5898685
23696,26.8864607,4.8014911
23740,21.5811174,-6.7096238
23741,22.1556779,-5.5305997
23742,22.7297220,-4.3495412
23743,23.3038576,-3.1663433
23744,23.8786843,-1.9809124
23745,24.4547982,-0.7931621
23746,25.0432780,0.3970401
23747,25.6541659,1.5908933
23748,26.2651106,2.7902567
23749,26.8742402,3.9973353
23750,27.4787036,5.2149416
23794,21.5975214,-7.5024742
23795,22.1719150,-6.3231884
23796,22.7454350,-5.1420852
23797,23.3187177,-3.9590287
23798,23.8923811,-2.7739028
23799,24.4670331,-1.5866044
23800,25.0432780,-0.3970401
23801,25.6422889,0.7951909
23802,26.2524514,1.9919413
23803,26.8617767,3.1952109
23804,27.4679623,4.4074609
23848,21.6136326,-8.2971353
23849,22.1881975,-7.1172278
23850,22.7614705,-5.9357796
23851,23.3341348,-4.7526085
23852,23.9068393,-3.5675649
23853,24.4802123,-2.3805216
23854,25.0548709,-1.1913668
23855,25.6314283,-0.0000000
23856,26.2404720,1.1946306
23857,26.8494588,2.3947286
23858,27.4565258,3.6024609
23859,28.0588632,4.8205767
23901,21.6289877,-9.0941085
23902,22.2041692,-7.9131279
23903,22.7775480,-6.7309671
23904,23.3498830,-5.5473742
23905,23.9218733,-4.3621509
23906,24.4941804,-3.1751347
23907,25.0674433,-1.9861881
23908,25.6422889,-0.7951909
23909,26.2293780,0.3980700
23910,26.8375993,1.5955537
23911,27.4448782,2.7994927
23912,28.0489356,4.0122993
23955,21.6429560,-9.8940176
23956,22.2193576,-8.7113882
23957,22.7933031,-7.5280574
23958,23.3656747,-6.3436691
23959,23.9372509,-5.1579533
23960,24.5087459,-3.9706972
23961,25.0808342,-2.7817264
23962,25.6541659,-1.5908933
23963,26.2293780,-0.3980700
23964,26.8264530,0.7973956
23965,27.4334079,1.9981716
23966,28.0383526,3.2064924
23967,28.6385208,4.4250457
24010,22.2331254,-9.5126259
24011,22.8082561,-8.3275472
24012,23.3811385,-7.1419020
24013,23.9526778,-5.9553156
24014,24.5236709,-4.7675023
24015,25.0948472,-3.5782358
24016,25.6668937,-2.3873308
24017,26.2404720,-1.1946306
24018,26.8162294,-0.0000000
24019,27.4224296,1.1981656
24020,28.0275948,2.4027144
24021,28.6294720,3.6160106
24022,29.2247239,4.8410498
24063,22.2445998,-10.3176147
24064,22.8217659,-9.1300458
24065,23.3957894,-7.9425654
24066,23.9677773,-6.7546445
24067,24.5386558,-5.5658925
24068,25.1092390,-4.3760097
24069,25.6802710,-3.1847577
24070,26.2524514,-1.9919413
24071,26.8264530,-0.7973956
24072,27.4122007,0.3991857
24073,28.0170500,1.6005853
24074,28.6198123,2.8094330
24075,29.2177663,4.0283557
24117,22.2525629,-11.1273402
24118,22.8329635,-9.9363115
24119,23.4089850,-8.7462600
24120,23.9820608,-7.5564277
24121,24.5533194,-6.3662721
24122,25.1237057,-5.1753891
24123,25.6940501,-3.9834670
24124,26.2651106,-2.7902567
24125,26.8375993,-1.5955537
24126,27.4122007,-0.3991857
24127,28.0070339,0.7997763
24128,28.6100183,2.0048782
24129,29.2096622,3.2186007
24130,29.8026972,4.4438645
24172,22.8406499,-10.7473020
24173,23.4198628,-9.5537282
24174,23.9948867,-8.3612566
24175,24.5671712,-7.1691232
24176,25.1378629,-5.9767754
24177,25.7079234,-4.7837980
24178,26.2781983,-3.5898685
24179,26.8494588,-2.3947286
24180,27.4224296,-1.1981656
24181,27.9978066,-0.0000000
24182,28.6004767,1.2019714
24183,29.2009960,2.4112871
24184,29.7966890,3.6305152
24226,23.4272450,-10.3658999
24227,24.0054011,-9.1698570
24228,24.5795723,-7.9750273
24229,25.1512195,-6.7806445
24230,25.7215045,-5.5861482
24231,26.2914037,-4.3911142
24232,26.8617767,-3.1952109
24233,27.4334079,-1.9981716
24234,28.0070339,-0.7997763
24235,28.5915041,0.4003869
24236,29.1922402,1.6059878
24237,29.7895962,2.8200764
24238,30.3803730,4.0455013
24280,23.4294953,-11.1839575
24281,24.0124494,-9.9831319
24282,24.5896787,-8.7846940
24283,25.1631403,-7.5875679
24284,25.7343025,-6.3909875
24285,26.3043391,-5.1943872
24286,26.8742402,-3.9973353
24287,27.4448782,-2.7994927
24288,28.0170500,-1.6005853
24289,28.5915041,-0.4003869
24290,29.1837798,0.8023328
24291,29.7819946,2.0120606
24292,30.3753778,3.2315336
24335,24.0144453,-10.8022192
24336,24.5963609,-9.5989992
24337,25.1727933,-8.3982383
24338,25.7456873,-7.1988766
24339,26.3165152,-6.0001505
24340,26.8864607,-4.8014911
24341,27.4565258,-3.6024609
24342,28.0275948,-2.4027144
24343,28.6004767,-1.2019714
24344,29.1759319,-0.0000000
24345,29.7743516,1.2060480
24346,30.3693641,2.4204458
24347,30.9578387,3.6459720
24389,24.5980820,-10.4190387
24390,25.1790744,-9.2135059
24391,25.7548400,-8.0104920
24392,26.3273078,-6.8089545
24393,26.8979514,-5.6081343
24394,27.4679623,-4.4074609
24395,28.0383526,-3.2064924
24396,28.6100183,-2.0048782
24397,29.1837798,-0.8023328
24398,29.7670508,0.4016738
24399,30.3628985,1.6117606
24400,30.9539214,2.8314213
24443,24.5927152,-11.2462019
24444,25.1804959,-10.0344262
24445,25.7606823,-8.8266585
24446,26.3359118,-7.6214592
24447,26.9080949,-6.4178046
24448,27.4787036,-5.2149416
24449,28.0489356,-4.0122993
24450,28.6198123,-2.8094330
24451,29.1922402,-1.6059878
24452,29.7670507,-0.4016738
24453,30.3564438,0.8050651
24454,30.9490554,2.0197181
24498,25.1750213,-10.8623263
24499,25.7617753,-9.6483932
24500,26.3412753,-8.4384651
24501,26.9161003,-7.2311462
24502,27.4881400,-6.0254320
24503,28.0588632,-4.8205767
24504,28.6294720,-3.6160106
24505,29.2009960,-2.4112871
24506,29.7743516,-1.2060480
24509,31.5324082,2.4301895
24551,25.1598113,-11.6988975
24552,25.7561681,-10.4769655
24553,26.3420066,-9.2609528
24554,26.9209423,-8.0489357
24555,27.4954954,-6.8395607
24556,28.0675337,-5.6318432
24557,28.6385208,-4.4250457
24558,29.2096622,-3.2186007
24606,25.7411720,-11.3139789
24607,26.3362366,-10.0901375
24608,26.9212750,-8.8721193
24609,27.4997707,-7.6580815
24610,28.0741860,-6.4467118
24611,28.6463654,-5.2370461
24612,29.2177663,-4.0283557
24660,25.7130110,-12.1614850
24661,26.3214167,-10.9275419
24662,26.9153074,-9.7018611
24663,27.4996647,-8.4819075
24664,28.0778471,-7.2659146
24665,28.6522599,-6.0526100
24666,29.2247239,-4.8410498
24714,26.2940092,-11.7750979
24715,26.9006206,-10.5396097
24716,27.4934600,-9.3121554
24717,28.0772587,-8.0903333
24718,28.6552568,-6.8724484
24719,29.2298042,-5.6572666
24769,26.8738946,-11.3871876
24770,27.4788590,-10.1502049
24771,28.0707736,-8.9210398
24772,28.6541395,-7.6974130
24773,29.2320848,-6.4776967
24823,27.1106553,-12.0590018
24824,27.4527404,-10.9977789
24825,28.0562072,-9.7593502
24826,28.6473271,-8.5285340
24827,29.2303891,-7.3031635
24877,27.6903345,-11.6684809
24878,28.0306198,-10.6068963
24879,28.6327403,-9.3670682
24880,29.2231992,-8.1346577
24881,29.8060891,-6.9076020
24931,27.9148153,-12.3482826
24932,28.2689604,-11.2764975
24933,28.6076065,-10.2145637
24935,29.7984684,-7.7394308
24986,28.4947631,-11.9549110
24987,28.8466098,-10.8830749
24989,29.7836640,-8.5783112
24990,30.3732132,-7.3428732
25039,28.7096356,-12.6405337
25043,30.3582061,-8.1818804
25093,28.9150049,-13.3320188
25094,29.2901327,-12.2442037
25148,29.4975143,-12.9340383
25149,29.8694770,-11.8465064
25201,29.6969631,-13.6285513
25202,30.0787152,-12.5347163
