id,longitude,latitude
1915,13.3139031,6.5784900
1932,15.3911340,7.9019968
1947,15.3594015,5.2741836
1948,17.4757262,9.2452202
1963,15.3335401,2.6410479
1964,17.4287434,6.6053367
1980,17.3881850,3.9665259
1981,19.5000658,7.9564906
1982,21.5916694,12.0613627
1996,19.4478203,5.3029078
1997,21.5587387,9.3415032
2012,19.4028414,2.6527046
2013,21.5051215,6.6588794
2014,23.5757673,10.7810128
2029,21.4517210,3.9923146
2030,23.5459145,8.0468251
2045,23.4948521,5.3506598
2046,25.5441391,9.4845507
2062,25.5188133,6.7388198
2078,25.4730648,4.0309178
2094,27.4812121,5.4172594
