id,longitude,latitude
87972,13.0631374,1.9549869
88080,13.0617267,1.5644409
88081,13.3660950,2.1503969
88188,13.0603782,1.1736745
88189,13.3644171,1.7599143
88190,13.6692726,2.3458374
88290,11.5523427,-2.1495925
88296,13.3628117,1.3692165
88297,13.6673196,1.9554074
88398,11.5525952,-2.5396909
88405,13.6654491,1.5647677
88406,13.9704333,2.1509331
88505,11.2500000,-3.5139793
88506,11.5528582,-2.9295749
88507,11.8549297,-2.3447244
88513,13.6636610,1.1739128
88514,13.9682900,1.7603406
88515,14.2737563,2.3465051
88612,11.2500000,-3.9033443
88613,11.5531318,-3.3192494
88614,11.8554449,-2.7347262
88621,13.9662390,1.3695387
88622,14.2713331,1.9559479
88720,11.2500000,-4.2925116
88721,11.5534160,-3.7087194
88722,11.8559812,-3.1245168
88723,12.1577626,-2.5398540
88724,12.4588286,-1.9546866
88730,14.2690119,1.5651880
88731,14.5745765,2.1516034
88829,11.5537108,-4.0979895
88830,11.8565386,-3.5141010
88831,12.1585505,-2.9297688
88832,12.4598147,-2.3449470
88833,12.7604006,-1.7595946
88837,13.9624140,0.5872838
88838,14.2667927,1.1742192
88839,14.5719782,1.7608734
88936,11.5540162,-4.4870647
88937,11.8571172,-3.9034837
88938,12.1593698,-3.3194759
88939,12.4608426,-2.7349937
88940,12.7616049,-2.1499947
88944,13.9606399,0.1958191
88945,14.2646756,0.7830356
88946,14.5694915,1.3699416
88947,14.8751358,1.9566086
89045,11.8577169,-4.2926699
89046,12.1602209,-3.7089803
89047,12.4619125,-3.1248317
89048,12.7628613,-2.5401803
89052,13.9606399,-0.1958191
89053,14.2626606,0.3916311
89054,14.5671165,0.9788015
89055,14.8723751,1.5657016
89056,15.1784815,2.1524077
89153,11.8583380,-4.6816643
89154,12.1611036,-4.0982870
89155,12.4630244,-3.5144661
89156,12.7641699,-2.9301566
89157,13.0646105,-2.3453180
89161,14.2607479,-0.0000000
89162,14.5648532,0.5874470
89163,14.8697355,1.1745937
89164,15.1754410,1.7615128
89260,11.8589805,-5.0704719
89261,12.1620182,-4.4874009
89262,12.4641784,-3.9039021
89263,12.7655309,-3.3199288
89264,13.0661460,-2.7354394
89268,14.2626606,-0.3916311
89269,14.5627018,0.1958721
89270,14.8672170,0.7832783
89271,15.1725306,1.3704249
89272,15.4786857,1.9573893
89369,12.1629647,-4.8763270
89370,12.4653747,-4.2931447
89371,12.7669442,-3.7095021
89372,13.0677440,-3.1253565
89373,13.3678453,-2.5406697
89374,13.6673196,-1.9554074
89376,14.2646756,-0.7830356
89377,14.5627018,-0.1958721
89378,14.8648198,0.3917492
89379,15.1697505,0.9791372
89380,15.4754991,1.5663086
89383,16.3980140,3.3273994
89478,12.4666133,-4.6821990
89479,12.7684101,-4.0988819
89480,13.0694046,-3.5150747
89481,13.3696681,-2.9307382
89482,13.6692726,-2.3458374
89484,14.2667927,-1.1742192
89485,14.5648532,-0.5874470
89486,14.8625442,-0.0000000
89487,15.1671010,0.5876429
89488,15.4724517,1.1750362
89489,15.7786375,1.7622587
89490,16.0856938,2.3493983
89491,16.3936490,2.9365535
89492,16.7025224,3.5238353
89586,12.7699286,-4.4880732
89587,13.0711278,-3.9045994
89588,13.3715636,-3.3206081
89589,13.6713080,-2.7360634
89590,13.9704332,-2.1509331
89591,14.2690119,-1.5651880
89592,14.5671165,-0.9788015
89593,14.8648198,-0.3917492
89594,15.1645824,0.1959356
89595,15.4695438,0.7835653
89596,15.7753175,1.3709888
89597,16.0819411,1.9582901
89598,16.3894455,2.5455628
89599,16.6978535,3.1329120
