id,longitude,latitude
72128,5.8640787,46.3907962
72129,6.3129312,46.8769522
72130,6.7694415,47.3595307
72236,5.8949485,46.0409990
72237,6.3416523,46.5270524
72238,6.7959037,47.0095028
72239,7.2578588,47.4882602
72345,6.3698604,46.1773461
72346,6.8218870,46.6596820
72347,7.2815038,47.1382984
72348,7.7488617,47.6131045
72453,6.8474035,46.3100635
72454,7.3047184,46.7885519
72455,7.7696579,47.2632027
72456,8.2423672,47.7339241
72561,6.8724651,45.9606429
72562,7.3275139,46.4390165
72563,7.7900737,46.9135242
72564,8.2602835,47.3840743
72565,8.7382826,47.8505746
72670,7.3499007,46.0896877
72671,7.8101190,46.5640649
72672,8.2778707,47.0344552
72673,8.7532884,47.5007663
72777,7.3718891,45.7405609
72778,7.8298030,46.2148203
72779,8.2951370,46.6850627
72780,8.7680173,47.1511955
72781,9.2485697,47.6131260
72886,7.8491349,45.8657862
72887,8.3120907,46.3358926
72888,8.7824763,46.8018581
72889,9.2604110,47.2635897
72995,8.3287395,45.9869406
72996,8.7966722,46.4527500
72997,9.2720344,46.9142930
72998,9.7549382,47.3714766
73103,8.8106117,46.1038672
73104,9.2834455,46.5652317
73105,9.7636980,47.0222030
73211,8.8243011,45.7552054
73212,9.2946496,46.2164019
73213,9.7722971,46.6731701
73214,10.2573412,47.1254170
73320,9.3056517,45.8677996
73321,9.7807396,46.3243741
73322,10.2631013,46.7763908
73429,10.2687562,46.4276057
73430,10.7557197,46.8747120
73537,10.2743084,46.0790580
73538,10.7585606,46.5259113
