id,longitude,latitude
18593,-8.3044094,10.3674841
18646,-8.4081128,8.6312039
18647,-8.0744658,9.6943990
18648,-7.7283555,10.7663898
18699,-8.4322367,7.7841104
18700,-7.8339527,9.0291021
18701,-7.4992857,10.0920030
18753,-8.4475122,6.9450048
18754,-7.8582061,8.1818804
18755,-7.2591984,9.4256434
18756,-6.9233593,10.4882358
18807,-8.4561653,6.1126132
18808,-7.8732132,7.3428732
18809,-7.2836640,8.5783112
18810,-6.6837746,9.8208050
18811,-6.3466098,10.8830749
18861,-7.8813207,6.5107459
18862,-7.2984684,7.7394308
18863,-6.7085340,8.9733812
18864,-6.1076065,10.2145637
18915,-7.8843322,5.6843959
18916,-7.3060891,6.9076020
18917,-6.7231992,8.1346577
18918,-6.1327403,9.3670682
18919,-5.5306198,10.6068963
18969,-7.8836492,4.8629047
18970,-7.3084153,6.0816741
18971,-6.7303891,7.3031635
18972,-6.1473271,8.5285340
18973,-5.5562072,9.7593502
19023,-7.3069053,5.2606938
19024,-6.7320848,6.4776967
19025,-6.1541395,7.6974130
19026,-5.5707736,8.9210398
19027,-4.9788590,10.1502049
19077,-7.3026972,4.4438645
19078,-6.7298042,5.6572666
19079,-6.1552568,6.8724484
19080,-5.5772587,8.0903333
19081,-4.9934600,9.3121554
19132,-6.7247239,4.8410498
19133,-6.1522599,6.0526100
19134,-5.5778471,7.2659146
19135,-4.9996647,8.4819075
19136,-4.4153074,9.7018611
19186,-6.1463654,5.2370461
19187,-5.5741860,6.4467118
19188,-4.9997707,7.6580815
19189,-4.4212750,8.8721193
19190,-3.8362366,10.0901375
19241,-5.5675337,5.6318432
19242,-4.9954954,6.8395607
19243,-4.4209423,8.0489357
19244,-3.8420066,9.2609528
19295,-5.5588632,4.8205767
19296,-4.9881400,6.0254320
19297,-4.4161003,7.2311462
19298,-3.8412753,8.4384651
19299,-3.2617753,9.6483932
19349,-4.9787036,5.2149416
19350,-4.4080949,6.4178046
19351,-3.8359118,7.6214592
19352,-3.2606823,8.8266585
19404,-4.3979514,5.6081343
19405,-3.8273078,6.8089545
19406,-3.2548400,8.0104920
19407,-2.6790744,9.2135059
19458,-4.3864607,4.8014911
19459,-3.8165152,6.0001505
19460,-3.2456873,7.1988766
19461,-2.6727933,8.3982383
19512,-3.8043391,5.1943872
19513,-3.2343025,6.3909875
19514,-2.6631403,7.5875679
19567,-3.2215045,5.5861482
19621,-3.2079234,4.7837980
19622,-2.6378629,5.9767754
19675,-2.6237057,5.1753891
