id,longitude,latitude
1411,-71.5486090,-18.0634140
1428,-68.5810757,-17.8828266
1444,-69.8866967,-19.8673785
1459,-71.2310244,-21.8504291
1460,-67.4262182,-20.4925864
1476,-68.7541463,-22.4928992
1492,-70.1239854,-24.4915874
1493,-66.2030702,-23.0107397
1507,-71.5419394,-26.4882431
1508,-67.5534175,-25.0339052
1524,-68.9491758,-27.0549552
4346,-108.5100580,-26.8529082
4363,-105.8301196,-26.7636411
4545,-80.3006223,-25.9533328
4609,-81.4706258,-32.4346437
4612,-70.3972393,-29.0736641
4627,-71.8511601,-31.0813728
4642,-78.7500000,-34.1316685
4644,-69.1336645,-31.6273254
4658,-81.4716648,-34.7671367
4660,-70.5190950,-33.6775458
4675,-73.2131236,-35.4335549
4692,-70.3706018,-36.0331525
4708,-73.0508254,-37.7992514
4724,-70.1146833,-38.4075754
4740,-72.8237836,-40.1817919
4756,-75.6940528,-41.9155117
4772,-72.5738656,-42.5528177
4788,-75.5592475,-44.2741326
4805,-72.2976804,-44.9138304
4820,-75.4097253,-46.6228980
4837,-71.9911257,-47.2663939
4853,-75.2430638,-48.9631769
4869,-71.6492067,-49.6121899
4885,-75.0562788,-51.2964199
4902,-71.2658067,-51.9531014
4917,-74.8456652,-53.6242385
4918,-67.3829410,-52.5663487
4934,-70.8334122,-54.2913427
4951,-66.7186077,-54.9082606
4966,-70.3428231,-56.6296732
