id,longitude,latitude
47528,-74.9244735,11.1453088
47529,-74.3120221,11.4462119
47635,-75.7399273,10.5427911
47636,-75.1319212,10.8457736
47637,-74.5213046,11.1474768
47638,-73.9077596,11.4476075
47641,-72.0458108,12.3347258
47743,-75.3384510,10.5458263
47744,-74.7295725,10.8482399
47745,-74.1179466,11.1492521
47746,-73.5032378,11.4485446
47747,-72.8850721,11.7457377
47748,-72.2630304,12.0403756
47749,-71.6366410,12.3319071
47851,-75.5441102,10.2455100
47852,-74.9368766,10.5485505
47853,-74.3270688,10.8503477
47854,-73.7143683,11.1506103
47855,-73.0984200,11.4489919
47856,-72.4788269,11.7450773
47857,-71.8551428,12.0383658
47858,-71.2268636,12.3282491
47959,-75.7489447,9.9448650
47960,-75.1432658,10.2484547
47961,-74.5351791,10.5509470
47962,-73.9243814,10.8520755
47963,-73.3105359,11.1515238
47964,-72.6932665,11.4489138
47965,-72.0721508,11.7437902
47966,-71.4467126,12.0356013
48067,-75.3487879,9.9479957
48068,-74.7423284,10.2510998
48069,-74.1333320,10.5529974
48070,-73.5214791,10.8533995
48071,-72.9064131,11.1519618
48072,-72.2877343,11.4482701
48073,-71.6649925,11.7418241
48074,-71.0376783,12.0320137
48172,-77.3566567,8.7320030
48174,-76.1563162,9.3427373
48175,-75.5534890,9.6472139
48176,-74.9485661,9.9508522
48177,-74.3412732,10.2534291
48178,-73.7313067,10.5546807
48179,-73.1183285,10.8542929
48180,-72.5019601,11.1518892
48181,-71.8817762,11.4470155
48182,-71.2572959,11.7391195
48280,-77.5570693,8.4301807
48281,-76.9587514,8.7359512
48282,-76.3589385,9.0413234
48283,-75.7574138,9.3461471
48284,-75.1539401,9.6502477
48285,-74.5482564,9.9534206
48286,-73.9400740,10.2554247
48287,-73.3290723,10.5559737
48288,-72.7148930,10.8547252
48289,-72.0971339,11.1512667
48388,-77.1596256,8.4341496
48389,-76.5609066,8.7397183
48390,-75.9606058,9.0448308
48391,-75.3584969,9.3493265
48392,-74.7543313,9.6530182
48393,-74.1478346,9.9556852
48394,-73.5387024,10.2570664
48395,-72.9265954,10.5568501
48496,-77.3599564,8.1322337
48497,-76.7622602,8.4379512
48498,-76.1631073,8.7432981
48499,-75.5622816,9.0481267
48500,-74.9595462,9.3522653
48501,-74.3546402,9.6555120
48502,-73.7472745,9.9576285
48503,-73.1371277,10.2583312
48604,-77.5597803,7.8302277
48605,-76.9630379,8.1360496
48606,-76.3649593,8.4415802
48607,-75.7653379,8.7466838
48608,-75.1639479,9.0512025
48609,-74.5605410,9.3549517
48610,-73.9548426,9.6577140
48611,-73.3465480,9.9592309
48612,-72.7353167,10.2591937
48711,-77.7591326,7.5281544
48712,-77.1632772,7.8340392
