id,longitude,latitude
2513,-78.7500000,22.5995009
2540,-76.9831629,22.5854000
2567,-77.8786643,21.4363117
2594,-78.7500000,20.2709349
2595,-76.1282932,21.4194389
2621,-77.0252511,20.2703202
2649,-75.2906295,20.2512232
2677,-73.5425008,20.2083178
11178,-83.2537328,23.6466115
11205,-84.0936849,22.4767951
11206,-81.4402061,23.7135399
11231,-84.9166661,21.3057295
11232,-82.2966531,22.5469035
11259,-83.1353166,21.3784514
11260,-80.5168371,22.5854000
11287,-81.3717068,21.4194389
11314,-79.6213357,21.4363117
