id,longitude,latitude
58954,-25.1337605,17.2752785
59062,-25.4393195,17.0717191
59170,-25.0194038,16.9476328
59278,-25.3244171,16.7444155
59279,-24.6014683,16.8254791
59388,-24.1853934,16.7049084
59390,-22.7572916,16.8956789
59495,-24.4882536,16.4970241
59497,-23.0577020,16.6806533
59714,-22.9472877,16.3498562
59822,-22.5376539,16.2329535
59930,-22.8371307,16.0188793
60253,-23.7373740,15.3873880
60362,-23.3260801,15.2656274
60468,-24.3395120,14.9771019
60469,-23.6260196,15.0574795
60470,-22.9163496,15.1448468
60576,-24.6413153,14.7757630
