id,longitude,latitude
18250,12.2997161,50.2781424
18304,12.2861666,49.5756764
18305,13.3688157,50.7703947
18359,13.3409240,50.0669237
18360,14.4569743,51.2460409
18412,13.3141110,49.3645403
18413,14.4139236,50.5415360
18466,13.2883193,48.6632118
18467,14.3725519,49.8381055
18468,15.5049618,51.0006871
18521,14.3327682,49.1357157
18522,15.4482390,50.2962349
18574,14.2944881,48.4343331
18575,15.3937100,49.5928005
18576,16.5410645,50.7399163
18629,15.3412563,48.8903497
18630,16.4710263,50.0355075
18684,16.4036722,49.3320516
18685,17.5646833,50.4646625
18737,16.3388574,48.6295136
18738,17.4816962,49.7603079
18792,17.4018580,49.0568348
18793,18.5753510,50.1758042
18846,17.3249995,48.3542079
18847,18.4797895,49.4715316
18900,18.3878164,48.7680640
