id,longitude,latitude
35533,9.9965429,57.7125579
35857,9.4035388,57.2510319
35965,8.7833865,57.1291314
36073,8.1679828,57.0043001
36181,8.8236940,56.7855745
36289,8.2140659,56.6606555
36505,8.2566067,56.3162962
70089,8.2958476,55.9712696
70090,8.8605921,56.4413273
70091,9.4379785,56.9075941
70092,10.0284027,57.3699592
70093,10.6322710,57.8283089
70196,8.3199290,55.6148472
70197,8.8804390,56.0844642
70198,9.4533169,56.5502796
70199,10.0389421,57.0121842
70200,10.6377036,57.4700658
70304,8.3434704,55.2587592
70305,8.8998346,55.7279455
70306,9.4683017,56.1933186
70307,10.0492352,56.6547709
70308,10.6430076,57.1121918
70412,8.3664891,54.9030014
70413,8.9187938,55.3717666
70414,9.4829447,55.8367065
70415,10.0592903,56.2977148
70416,10.6481873,56.7546822
70417,11.2500000,57.2074967
70520,8.9373305,55.0159232
70521,9.4972571,55.4804389
70522,10.0691154,55.9410113
70523,10.6532468,56.3975326
70629,9.5112494,55.1245112
70630,10.0787178,55.5846559
70631,10.6581902,56.0407384
70632,11.2500000,56.4926497
70737,9.5249318,54.7689192
70738,10.0881048,55.2286442
70739,10.6630213,55.6842950
70740,11.2500000,56.1357641
70741,11.8518127,56.7546822
70845,10.0972833,54.8729717
70846,10.6677436,55.3281980
70847,11.2500000,55.7792310
70954,10.6723608,54.9724430
70955,11.2500000,55.4230461
70956,11.8418098,56.0407384
71062,10.6768760,54.6170255
71063,11.2500000,55.0672048
71064,11.8369787,55.6842950
71065,12.4407097,56.2977148
71170,11.2500000,54.7117027
71171,11.8322564,55.3281980
71172,12.4308846,55.9410113
71279,11.8276392,54.9724430
71280,12.4212822,55.5846559
71387,11.8231240,54.6170255
71388,12.4118952,55.2286442
71495,12.4027167,54.8729717
72145,14.7285828,55.1415344
105079,15.2972466,55.0202073
