id,longitude,latitude
43429,-71.5765727,19.8403450
43430,-70.8840604,20.0805361
43536,-71.8198471,19.5695738
43537,-71.1322629,19.8152022
43645,-71.3779635,19.5470790
43646,-70.6862761,19.7870388
43753,-71.6212481,19.2763495
43754,-70.9345096,19.5218096
43755,-70.2384778,19.7555573
43860,-71.8622006,19.0031852
43861,-71.1802269,19.2537536
43862,-70.4893583,19.4934968
43863,-69.7887216,19.7204201
43968,-72.1009035,18.7277475
43969,-71.4235150,18.9830582
43970,-70.7376175,19.2283661
43971,-70.0423716,19.4618357
44077,-71.6644593,18.7098991
44078,-70.9833454,18.9603702
44079,-70.2932897,19.1999118
44080,-69.5933993,19.4264795
44184,-71.9031432,18.4344413
44185,-71.2266305,18.6897012
44186,-70.5415692,18.9348731
44187,-69.8471019,19.1680781
44188,-69.2357471,19.5285259
44293,-71.4675593,18.4165391
44294,-70.7873017,18.6669300
44295,-70.0980531,18.9062853
44296,-69.3989000,19.1325086
44401,-71.7062165,18.1410527
44402,-71.0305771,18.3962795
44403,-70.3463478,18.6413320
44404,-69.6526520,18.8742859
44405,-69.0415998,19.2343045
44509,-71.2714832,18.1231062
44510,-70.5920789,18.3734343
44511,-69.9036319,18.6126185
44512,-69.2052072,18.8385087
44617,-71.5101060,17.8475826
44619,-70.1519364,18.3477440
44620,-69.4590050,18.5804606
44621,-68.8482526,18.9400575
44725,-71.7465293,17.5698707
44726,-71.0762140,17.8296012
44727,-70.3976601,18.0798843
44728,-69.7100093,18.3189131
44729,-69.0123041,18.5444814
44730,-68.4887682,19.0377986
44833,-71.3147945,17.5540316
44836,-69.2661445,18.2866036
44837,-68.6556889,18.6457862
44945,-68.8201745,18.2504280
44946,-68.2965234,18.7432291
45054,-68.4638923,18.3514920
45161,-68.6288023,17.9563499
