id,longitude,latitude
12962,-78.7500000,1.2045240
13016,-77.9672545,1.2060084
13070,-78.3586049,0.6026538
13124,-78.7500000,-0.0000000
13125,-77.5765328,0.6033833
13178,-77.9675162,-0.0000000
13179,-76.7953849,0.6040838
13232,-78.3586049,-0.6026538
13233,-77.1859794,-0.0000000
13234,-76.0151213,0.6047554
13286,-78.7500000,-1.2045241
13287,-77.5765328,-0.6033833
13288,-76.4053498,-0.0000000
13340,-77.9672545,-1.2060084
13341,-76.7953849,-0.6040838
13342,-75.6255882,-0.0000000
13394,-78.3583457,-1.8078255
13395,-77.1854451,-1.2074342
13396,-76.0151213,-0.6047554
13448,-78.7500000,-2.4087910
13449,-77.5757396,-1.8099982
13450,-76.4045307,-1.2088015
13451,-75.2357026,-0.6053981
13502,-77.9664690,-2.4117301
13503,-76.7940345,-1.8120817
13504,-75.6244706,-1.2101103
13556,-78.3578269,-3.0125902
13557,-77.1838414,-2.4145479
13558,-76.0131879,-1.8140759
13610,-78.7500000,-3.6125442
13611,-77.5741517,-3.0161586
13612,-76.4020722,-2.4172439
13664,-77.9651583,-3.6168785
13718,-78.3570475,-4.2166770
13772,-78.7500000,-4.8155276
46970,-92.3548936,1.8318327
47078,-91.9576869,1.2216570
47240,-91.9495771,0.0000000
47241,-90.7932535,0.6105722
47295,-91.1776746,0.0000000
47349,-91.5655714,-0.6108678
47350,-90.4053865,0.0000000
47403,-90.7932535,-0.6105722
47457,-91.1848004,-1.2211612
47458,-90.0205633,-0.6102465
47512,-90.4116706,-1.2205889
47513,-89.2474582,-0.6098913
47566,-89.6382291,-1.2199462
47953,-79.5327455,1.2060084
48007,-79.9234672,0.6033833
48060,-80.3140206,0.0000000
48061,-79.1413951,0.6026538
48114,-80.7046151,-0.6040838
48115,-79.5324838,0.0000000
48168,-81.0954693,-1.2088015
48169,-79.9234672,-0.6033833
48222,-80.3145549,-1.2074342
48223,-79.1413951,-0.6026538
48276,-80.7059655,-1.8120817
48277,-79.5327455,-1.2060084
48330,-81.0979278,-2.4172439
48331,-79.9242604,-1.8099982
48384,-80.3161586,-2.4145479
48385,-79.1416543,-1.8078255
48439,-79.5335310,-2.4117301
48493,-79.9258483,-3.0161586
48546,-80.3188344,-3.6210209
48547,-79.1421731,-3.0125902
48600,-80.7127283,-4.2262138
48601,-79.5348417,-3.6168785
48655,-79.9282334,-4.2215621
48708,-80.3225867,-4.8265342
48709,-79.1429525,-4.2166770
48763,-79.5366799,-4.8211682
