id,longitude,latitude
1856,24.6336491,31.7306854
1872,24.2571711,29.3358235
1888,23.8920628,26.9291329
1889,27.0241382,30.4004723
1903,23.5267098,24.5094224
1904,26.5839727,28.0042362
1905,29.8581171,31.4115905
1920,26.1559752,25.5970437
1921,29.3375015,29.0290054
1936,25.7278436,23.1792329
1937,28.8405002,26.6365092
1952,28.3567066,24.2342391
1953,31.5832075,27.6247986
1968,27.8735772,21.8237541
1969,31.0362690,25.2400822
1985,30.5037439,22.8468016
2001,33.1798091,23.8200957
2017,32.6053103,21.4388001
2312,35.2787535,22.3802313
2313,33.7700128,26.1939154
2314,32.1551574,30.0000000
2327,37.3506395,20.8909086
2328,35.9123583,24.7175288
2329,34.3868992,28.5496642
2330,32.7551572,32.3726078
2346,35.0267085,30.9098403
