id,longitude,latitude
54325,-11.1861379,26.9664671
54433,-11.5087405,26.7501094
54649,-11.4180237,26.4013749
54757,-11.7387237,26.1844692
54865,-12.0583248,25.9667380
54973,-11.6476014,25.8361249
55081,-11.9664623,25.6187119
55189,-12.2842671,25.4005067
55297,-11.8749361,25.2707606
55405,-12.1920201,25.0528814
55513,-12.5080901,24.8342441
55620,-12.8231721,24.6148745
55621,-12.1000911,24.7053254
55728,-13.1372926,24.3947993
55729,-12.4154588,24.4870215
55837,-12.7298541,24.2679945
55943,-13.7627568,23.9526435
55944,-13.0433032,24.0482713
55945,-12.3231281,24.1398621
56051,-14.0741556,23.7306215
56052,-13.3558326,23.8278793
56053,-12.6368387,23.9211755
56160,-13.6674692,23.6068476
56161,-12.9496181,23.7018018
56267,-13.9782405,23.3852058
56268,-13.2614925,23.4817686
56269,-12.5441070,23.5744131
56375,-14.2881743,23.1629851
56376,-13.5724884,23.2611048
56377,-12.8562185,23.3553864
56484,-13.8826329,23.0398403
56485,-13.1674394,23.1357093
56591,-14.1919535,22.8180062
56592,-13.4777958,22.9154106
56593,-12.7630863,23.0090205
56700,-13.7873146,22.6945203
56701,-13.0736553,22.7896966
56808,-14.0960227,22.4730694
56809,-13.3833737,22.5697601
56915,-14.4039479,22.2510904
56916,-13.6922678,22.3492407
56917,-12.9801227,22.4437259
57023,-14.7111183,22.0286170
57024,-14.0003644,22.1281697
57025,-13.2892046,22.2241484
57128,-17.1462498,21.4839005
57129,-16.4367120,21.5941426
57132,-14.3076907,21.9065795
57133,-13.5974754,22.0039968
57236,-16.7410120,21.3685884
57237,-16.0321785,21.4769572
57238,-15.3233091,21.5823299
57239,-14.6142744,21.6845037
57240,-13.9049614,21.7833022
57241,-13.1952717,21.8785707
57344,-17.0447491,21.1428068
57345,-16.3365441,21.2521282
57346,-15.6283883,21.3585914
57347,-14.9201438,21.4619776
57348,-14.2116897,21.5620970
57349,-13.5029206,21.6587835
57455,-15.2253274,21.2390380
57456,-14.5176874,21.3404149
57457,-13.8097973,21.4384617
57560,-16.9435509,20.8017204
57564,-14.1159285,21.2176378
57565,-13.4085873,21.3135958
70025,-13.1015588,21.5330222
70026,-12.8868247,22.0977924
70028,-12.4516407,23.2277027
70029,-12.2310790,23.7927616
70030,-12.0084605,24.3578347
70031,-11.7837255,24.9228805
70033,-11.3276589,26.0527217
70034,-11.0961995,26.6174318
70035,-10.8623678,27.1819442
70132,-13.0097934,21.1829734
70136,-12.1407842,23.4420371
70137,-11.9185143,24.0069880
70141,-11.0075901,26.2662585
70142,-10.7740819,26.8307256
70245,-11.8290175,23.6559669
70249,-10.9195484,25.9148841
70250,-10.6863919,26.4793017
70251,-10.4507887,27.0435046
70358,-10.5992655,26.1276754
70359,-10.3640391,26.6918385
70466,-10.2778491,26.3399685
70467,-10.0405062,26.9038554
70574,-10.1921856,25.9878974
70575,-9.9552735,26.5517503
70576,-9.7157673,27.1153383
70683,-9.8705634,26.1994425
70684,-9.6315133,26.7630073
70790,-9.7863425,25.8469348
70791,-9.5477776,26.4104716
70792,-9.3065422,26.9737249
70899,-9.4645271,26.0577340
70900,-9.2238025,26.6209708
70901,-8.9803338,27.1838882
70902,-8.7340499,27.7464328
71008,-9.1415437,26.2680126
71009,-8.8986116,26.8309254
71010,-8.6528612,27.3934815
71115,-9.0597321,25.9148533
71116,-8.8173661,26.4777564
71117,-8.5721782,27.0403202
71224,-8.7365637,26.1243838
71225,-8.4919678,26.6869505
