id,longitude,latitude
7993,36.4877479,15.4991017
8047,36.8823682,14.3805948
8763,38.2441089,14.2211469
8764,37.8535461,15.3407538
8765,37.4576910,16.4627260
8766,37.0562115,17.5867763
8817,39.6164238,14.0292831
8818,39.2306170,15.1463334
8819,38.8401977,16.2666798
8820,38.4448607,17.3900074
8870,41.3710566,12.7267324
8871,40.9928737,13.8345556
8872,40.6110220,14.9470827
8873,40.2252382,16.0639753
8874,39.8352461,17.1848864
8924,42.7508824,12.5412519
8925,42.3751202,13.6408560
8926,41.9963314,14.7464397
