id,longitude,latitude
11122,-8.3095452,43.7889548
11123,-6.4850095,43.8760272
11176,-9.1037092,43.3828320
11177,-7.2949488,43.4824629
11178,-5.4777915,43.5549484
11179,-3.6534261,43.6000204
11231,-8.0936265,43.0827970
11232,-6.2916403,43.1679877
11233,-4.4818465,43.2261492
11284,-8.8812639,42.6771778
11285,-7.0944166,42.7748227
11286,-5.2992050,42.8458215
11287,-3.4967886,42.8898939
11339,-7.8863268,42.3756032
11340,-6.1056830,42.4591925
11341,-4.3172753,42.5162208
11393,-8.6675860,41.9704744
11394,-6.9014718,42.0664131
11395,-5.1270760,42.1361546
11447,-7.6867719,41.6676300
11448,-5.9263672,41.7498469
11449,-4.1582830,41.8059292
11502,-6.7153350,41.3574456
11503,-4.9607181,41.4261169
11556,-7.4941747,40.9590949
11557,-5.7529979,41.0401252
11610,-6.5353037,40.6480996
11611,-4.7995117,40.7158521
11664,-7.3078257,40.2501817
11665,-5.5849479,40.3301753
11719,-6.3607438,39.9385262
11772,-7.1270846,39.5410448
11773,-5.4216501,39.6201213
11827,-6.1910819,39.2288525
11881,-6.9513727,38.8318137
11934,-7.7027112,38.4291408
11935,-6.0257993,38.5191847
11989,-6.7801663,38.1225958
12043,-7.5258766,37.7204361
12097,-6.6129909,37.4134797
12151,-7.3531817,37.0118434
13226,-17.7911021,28.5710422
13227,-16.3078423,28.8087486
13229,-13.3264190,29.2299912
13281,-16.9431003,28.3468925
13283,-13.9744648,28.7836467
13335,-17.5744830,27.8824789
13336,-16.0983193,28.1169370
13337,-14.6178197,28.3339825
13388,-18.2023124,27.4158126
13389,-16.7313950,27.6568785
13390,-15.2567390,27.8812116
13391,-13.7776609,28.0879238
17531,-6.4494154,36.7045378
17532,-5.8644255,37.8096103
17533,-5.2625913,38.9100677
17534,-4.6428968,40.0054818
17535,-4.0042585,41.0954138
17536,-3.3455208,42.1794135
17537,-2.6654495,43.2570179
17584,-6.2856263,36.0028853
17585,-5.7024756,37.1081665
17586,-5.1026588,38.2088013
17587,-4.4851955,39.3043477
17588,-3.8490422,40.3943534
17589,-3.1930875,41.4783552
17590,-2.5161472,42.5558779
17591,-1.8169594,43.6264334
17639,-5.5445531,36.4061756
17640,-4.9468860,37.5070716
17641,-4.3317729,38.6028415
17642,-3.6982084,39.6930189
17643,-3.0451240,40.7771266
17644,-2.3713834,41.8546761
17645,-1.6757780,42.9251669
17693,-5.3904301,35.7036025
17694,-4.7950453,36.8048414
17695,-4.1824006,37.9009249
17696,-3.5515278,38.9913711
17697,-2.9013997,40.0756880
17698,-2.2309259,41.1533732
17699,-1.5389492,42.2239123
17700,-0.8242410,43.2867791
17748,-4.0368571,37.1985575
17749,-3.4087792,38.2893688
17750,-2.7616932,39.3739982
17751,-2.0945529,40.4519278
17752,-1.4062502,41.5226288
17753,-0.6956114,42.5855612
17801,-4.5022755,35.3987236
17802,-3.8949266,36.4956976
17803,-3.2697481,37.5869692
17804,-2.6257908,38.6720136
17805,-1.9620513,39.7502964
17806,-1.2774686,40.8212733
17807,-0.5709215,41.8843892
17808,0.1587745,42.9390775
17857,-3.1342256,36.8841273
17858,-2.4934857,37.9696885
17859,-1.8332159,39.0484334
17860,-1.1524007,40.1198005
17861,-0.4499692,41.1832187
17862,0.2752072,42.2381062
17909,-3.6210623,35.0883253
17911,-2.3645769,37.2669756
17912,-1.7078484,38.3462910
17913,-1.0308506,39.4181632
17914,-0.3325609,40.4820032
17915,0.3880957,41.5372129
17916,1.1322489,42.5831840
17964,-2.8728922,35.4769289
17965,-2.2388675,36.5638252
17966,-1.5857562,37.6438193
17967,-0.9126291,38.7163115
17968,-0.2185107,39.7806939
17969,0.4976225,40.8363502
17970,1.2368434,41.8826551
18020,-1.4667509,36.9409659
18021,-0.7975526,38.0141934
18022,-0.1076393,39.0792396
18023,0.6039629,40.1354683
18024,1.3382719,41.1822355
18025,2.0963510,42.2188896
18072,-1.9962765,35.1560040
18074,-0.6854422,37.3117546
18075,0.0002270,38.3775866
18078,2.1894703,41.5189961
18079,2.9666470,42.5452004
18130,0.8077530,38.7334353
18133,3.0512530,41.8459058
18185,1.6251667,39.0811180
18186,2.3674390,40.1195792
18238,1.7155085,38.3806082
18239,2.4525736,39.4199480
18294,3.2900337,39.7491658
18348,3.3650401,39.0504523
18349,4.1375522,40.0679306
