id,longitude,latitude
11713,26.4653387,59.8773140
11714,24.1842866,59.7585569
11715,21.9316557,59.6013513
11766,29.8443280,61.2004560
11767,27.4527909,61.1444347
11768,25.0838007,61.0477413
11769,22.7434894,60.9113954
11770,20.4375102,60.7365907
11820,31.0006647,62.4358518
11821,28.5162848,62.4050462
11822,26.0535507,62.3322792
11823,23.6194623,62.2186041
11824,21.2205003,62.0652735
11874,32.2508995,63.6623475
11875,29.6682396,63.6589518
11876,27.1057885,63.6122694
11877,24.5715509,63.5233819
11878,22.0729738,63.3936006
11929,30.9240020,64.9058600
11930,28.2558918,64.8877733
11931,25.6150200,64.8261621
11932,23.0099607,64.7223938
11984,29.5235063,66.1587932
11985,26.7697120,66.1274012
11986,23.4468964,65.8223158
12038,30.9342517,67.4252298
12039,27.3889970,67.2142236
12040,23.9354497,66.9287974
12093,28.0847824,68.3066497
12094,24.4836906,68.0411776
12147,28.8695707,69.4036206
12148,25.1014515,69.1587037
12149,21.4391242,68.8325113
12202,25.8008251,70.2805099
