id,longitude,latitude
82092,177.3691726,-12.5463237
82522,176.7638292,-17.1081104
82577,177.5326681,-16.7875347
82631,177.3664107,-17.4998100
82632,178.3048445,-16.4654365
82681,174.4642791,-21.3143894
82684,177.2077749,-18.2146169
82685,178.1336349,-17.1760050
82686,179.0824215,-16.1428846
82735,174.3180715,-22.0291176
82739,177.9717738,-17.8900350
82740,178.9040776,-16.8505577
82741,179.8682901,-15.8215234
82790,175.0910864,-21.7185524
82793,177.8177523,-18.6064612
82794,178.7372671,-17.5629902
82795,179.6798750,-16.5245368
82846,177.6702775,-19.3244515
82847,178.5801050,-18.2787581
82848,179.5058301,-17.2341696
82849,-179.5359316,-16.1996238
82901,178.4309950,-18.9967617
82902,179.3437458,-17.9484696
82903,-179.7203298,-16.9046348
83010,179.9532702,-18.3324204
83011,-179.1180397,-17.2831673
83064,179.8065059,-19.0515713
83065,-179.2824055,-17.9968056
83120,-178.5130849,-17.6601249
83173,-178.6719931,-18.3757991
83227,-178.8176338,-19.0956287
83228,-177.9052734,-18.0355000
83334,-179.0785910,-20.5415048
83335,-178.1975339,-19.4748180
83389,-178.3258001,-20.1985554
83443,-178.4451954,-20.9232140
