id,longitude,latitude
223707,-60.8593926,-51.0711312
223816,-60.2905559,-51.1290287
223924,-60.7197100,-51.4156459
223925,-59.7205835,-51.1844152
224031,-61.1544611,-51.7005002
224032,-60.1463101,-51.4730932
224033,-59.1495290,-51.2372475
224140,-60.5776224,-51.7600209
224141,-59.5717692,-51.5279957
224142,-58.5774474,-51.2874846
224248,-61.0146229,-52.0451749
224249,-59.9995824,-51.8170081
224250,-58.9961426,-51.5803101
224251,-58.0043955,-51.3350876
224356,-60.4330720,-52.1042604
224357,-59.4203966,-51.8714160
224358,-58.4194873,-51.6299954
224465,-59.8503135,-52.1607773
224466,-58.8401218,-51.9232012
224467,-57.8418617,-51.6770125
224574,-59.2664044,-52.2146795
224575,-58.2588169,-51.9723224
224681,-59.6984422,-52.5044044
224682,-58.6814036,-52.2659235
