id,longitude,latitude
897,0.5260945,50.7804079
913,-2.7254344,49.6283545
929,-5.8054562,48.3898493
945,-2.1143231,47.2518290
1062,-62.3649640,16.9261852
1078,-59.8206352,17.2554510
1094,-61.1391692,14.8902221
1240,-53.9256504,6.7515237
1256,-55.2399145,4.5010315
1272,-52.8115784,4.5638278
1288,-54.1372462,2.3002674
1305,-51.7738710,2.3157300
1550,-1.6024351,44.8603872
1551,1.0016354,48.4026186
1552,3.9542690,51.8371080
1565,-1.1350231,42.4933728
1566,1.4125787,46.0316563
1567,4.2798421,49.4569733
1582,1.7781081,43.6654696
1583,4.5659028,47.0861724
1584,7.7027939,50.3634335
1598,2.1055861,41.3024558
1599,4.8190563,44.7232988
1600,7.8515505,47.9938098
1614,5.0445957,42.3668147
1615,7.9825977,45.6348398
1631,8.0987558,43.2851960
1647,8.2022910,40.9435006
1663,11.2500000,41.6725867
3930,-108.7261648,11.3154373
5455,44.6978859,-12.6875787
5599,55.0101803,-20.0613324
5615,55.9304298,-22.2542020
