id,longitude,latitude
325,-0.2434894,60.9113954
2966,-1.6842866,59.7585569
3018,-7.5085959,58.7620397
3019,-5.2875955,58.7000663
3020,-3.0873443,58.5998080
3070,-12.9803235,57.5346712
3072,-8.6593713,57.5554590
3073,-6.5178075,57.5085862
3074,-4.3954871,57.4244848
3075,-2.2970664,57.3040596
3127,-7.6663852,56.3036528
3128,-5.6194132,56.2334410
3129,-3.5952296,56.1278617
3130,-1.5978943,55.9879470
3181,-8.7429147,55.0856512
3182,-6.7691252,55.0270918
3183,-4.8176916,54.9340449
3184,-2.8924346,54.8075546
3185,-0.4795141,54.8085949
3236,-7.8541939,53.8053723
3237,-5.9745490,53.7225210
3238,-3.6313312,53.7793126
3239,-1.2959638,53.7906285
3240,1.0303205,53.7582736
3292,-4.3454720,52.7400084
3293,-2.0825465,52.7614908
3294,0.1747187,52.7418821
3295,2.4247169,52.6822285
3346,-5.0364440,51.6901340
3347,-2.8411811,51.7217165
3348,-0.6486263,51.7145576
3349,1.5396724,51.6694203
3400,-5.7057188,50.6301843
3401,-3.5736491,50.6718326
3402,-1.4417543,50.6768705
3403,0.6884675,50.6458185
3454,-6.3546630,49.5606575
3455,-4.2816051,49.6123596
