id,longitude,latitude
110566,39.9498106,43.2917143
110673,40.3058256,43.0610617
110674,40.1257747,43.6325106
110782,40.4825482,43.4016896
110887,41.3591722,41.4429161
110890,40.8365655,43.1697156
110995,41.5289747,41.7855446
110996,41.3578486,42.3621864
110997,41.1878690,42.9366010
110998,41.0190762,43.5086407
111103,41.8714652,41.5493282
111104,41.7033255,42.1269606
111105,41.5365016,42.7023575
111106,41.3710389,43.2753638
111211,42.2115320,41.3119985
111212,42.0462765,41.8906192
111213,41.8825065,42.4669965
111214,41.7202725,43.0409678
111319,42.3867464,41.6531719
111320,42.2259276,42.2305287
111321,42.0668199,42.8054643
111322,41.9094798,43.3778125
111427,42.7247807,41.4146282
111428,42.5668092,41.9929643
111429,42.4107247,42.5688645
111430,42.2565888,43.1421541
111535,43.0604255,41.1749967
111536,42.9051963,41.7543127
111537,42.7520309,42.3311789
111538,42.6009960,42.9054111
111642,43.3937279,40.9342859
111643,43.2411346,41.5145830
111644,43.0907830,42.0924172
111645,42.9427449,42.6675945
111646,42.7970932,43.2399264
111751,43.5746706,41.2737834
111752,43.4270261,41.8525888
111753,43.2818797,42.4287147
111754,43.1393092,43.0019624
111859,43.9058518,41.0319216
111860,43.7608061,41.6117021
111861,43.6184448,42.1887813
111862,43.4788507,42.7629493
111967,44.0921697,41.3697651
111968,43.9524853,41.9478034
111969,43.8157617,42.5228975
112075,44.4211644,41.1267851
112076,44.2840471,41.7057893
112077,44.1500864,42.2818166
112078,44.0193761,42.8546396
112184,44.6131767,41.4627465
112185,44.4818698,42.0397156
112186,44.3540172,42.6134346
112291,44.9399215,41.2186818
112292,44.8111574,41.7966026
112293,44.6860546,42.3712273
112400,45.1379954,41.5524850
112401,45.0155329,42.1280265
112402,44.8970514,42.6999635
112508,45.4624308,41.3073695
112509,45.3424968,41.8838406
112510,45.2267641,42.4566447
112615,45.7845117,41.0612616
112616,45.6669920,41.6386770
112617,45.5538988,42.2123618
112618,45.4453497,42.7820301
112724,45.9890649,41.3925422
112725,45.8784997,41.9671233
112726,45.7727140,42.5376047
112832,46.3087628,41.1454420
112833,46.2006113,41.7209369
112940,46.5202789,41.4738095
112941,46.4196945,42.0459656
113048,46.8375487,41.2257472
