id,longitude,latitude
76937,-2.9595920,11.0870410
77045,-2.9657345,10.6698305
77153,-2.9695042,10.2547514
77154,-2.6750213,10.8623263
77261,-2.6787755,10.4474079
77262,-2.3840183,11.0544509
77369,-2.6804959,10.0344262
77370,-2.3877602,10.6397010
77477,-2.6805046,9.6231838
77478,-2.3894363,10.2269107
77479,-2.0964474,10.8316290
77584,-2.6790744,9.2135059
77585,-2.3893770,9.8158775
77586,-2.0980820,10.4190387
77587,-1.8048266,11.0231899
77692,-2.6764377,8.8052370
77693,-2.3878616,9.4064223
77694,-2.0979580,10.0082232
77695,-1.8064221,10.6108086
77696,-1.5128868,11.2143820
77799,-2.9595822,7.7984358
77800,-2.6727933,8.3982383
77801,-2.3851270,8.9983861
77802,-2.0963609,9.5989992
77803,-1.8062361,10.2002199
77804,-1.5144453,10.8022192
77905,-3.2402176,6.7945116
77906,-2.9545355,7.3933762
77907,-2.6683118,7.9923858
77908,-2.3813754,8.5916277
77909,-2.0935326,9.1912042
77910,-1.8045608,9.7912359
77911,-1.5141998,10.3918666
77912,-1.2221402,10.9932691
78013,-3.2343025,6.3909875
78014,-2.9489301,6.9892486
78015,-2.6631403,7.5875679
78016,-2.3767801,8.1860205
78017,-2.0896787,8.7846940
78018,-1.8016428,9.3836907
78019,-1.5124494,9.9831319
78020,-1.2218375,10.5831625
78021,-0.9294953,11.1839575
78121,-3.2280370,5.9882241
78122,-2.9428757,6.5859635
78123,-2.6574060,7.1836843
78124,-2.3714899,7.7814516
78125,-2.0849750,8.3793400
78126,-1.7976913,8.9774371
78127,-1.5094456,9.5758454
78128,-1.2200149,10.1746866
78129,-0.9291372,10.7741069
78229,-2.9364679,6.1834397
78230,-2.6512195,6.7806445
78231,-2.3656334,7.3778189
78232,-2.0795723,7.9750273
78233,-1.7928846,8.5723443
78234,-1.5054011,9.1698570
78235,-1.2169288,9.7676681
78236,-0.9272450,10.3658999
78237,-0.6360870,10.9646995
78336,-3.2147784,5.1846932
78337,-2.9297905,5.7816034
78338,-2.6446771,6.3783664
78339,-2.3593221,6.9750310
78340,-2.0736002,7.5716527
78341,-1.7873753,8.1682955
78342,-1.5004967,8.7650337
78343,-1.2127957,9.3619539
78344,-0.9240802,9.9591590
78345,-0.6341275,10.5567717
78346,-0.3426745,11.1549398
78445,-2.9229171,5.3803873
78446,-2.6378629,5.9767754
78447,-2.3526527,6.5730046
78448,-2.0671712,7.1691232
78449,-1.7812943,7.7651860
78450,-1.4948867,8.3612566
78451,-1.2077988,8.9574084
78452,-0.9198628,9.5537282
78453,-0.6308872,10.1503184
78454,-0.3406499,10.7473020
78552,-2.9159126,4.9797299
78553,-2.6308508,5.5758036
78554,-2.3457099,6.1716647
78555,-2.0603827,6.7673550
78556,-1.7747549,7.3629218
78557,-1.4887035,7.9584196
78558,-1.2020941,8.5539111
78559,-0.9147785,9.1494693
78560,-0.6265896,9.7451804
78561,-0.3373372,10.3411467
78562,-0.0467993,10.9374913
78661,-2.6237057,5.1753891
78662,-2.3385676,5.7709428
78663,-2.0533194,6.3662721
78664,-1.7678548,6.9614181
78665,-1.4820608,7.5564277
78666,-1.1958152,8.1513543
78667,-0.9089850,8.7462600
78668,-0.6214230,9.3412172
78669,-0.3329635,9.9363115
78670,-0.0434172,10.5316448
78769,-2.6164849,4.7754752
78770,-2.3312907,5.3707764
78771,-2.0460554,5.9658055
78772,-1.7606792,6.5605983
78773,-1.4750569,7.1551951
78774,-1.1890764,7.7496418
78775,-0.9026169,8.3439912
78776,-0.6155466,8.9383045
78777,-0.3277195,9.5326533
78778,-0.0389713,10.1271224
78877,-2.3239365,4.9711085
78878,-2.0386558,5.5658925
78879,-1.7533023,6.1603928
78880,-1.4677773,6.7546445
78881,-1.1819766,7.3486870
78882,-0.8957894,7.9425654
78883,-0.6090959,8.5363316
78884,-0.3217659,9.1300458
78885,-0.0336548,9.7237788
78886,0.2554002,10.3176147
78986,-2.0311775,5.1664756
78987,-1.7457888,5.7607385
78988,-1.4602960,6.3547059
78989,-1.1746012,6.9484119
78990,-0.8886014,7.5418952
78991,-0.6021869,8.1351999
78992,-0.3152394,8.7283770
78993,-0.0276300,9.3214856
78994,0.2607843,9.9145956
79094,-2.0236709,4.7675023
79095,-1.7381958,5.3615776
79096,-1.4526778,5.9553156
79097,-1.1670243,6.5487460
79098,-0.8811385,7.1419020
79099,-0.5949186,7.7348213
79100,-0.3082561,8.3275472
79101,-0.0210342,8.9201293
79102,0.2668746,9.5126259
79103,0.5556115,10.1051056
79202,-1.7305733,4.9628574
79203,-1.4449795,5.5564157
79204,-1.1593105,6.1496253
79205,-0.8734748,6.7425147
79206,-0.5873767,7.3351165
79207,-0.3009155,7.9274673
79208,-0.0139841,8.5196092
79209,0.2735329,9.1115907
79311,-1.4372509,5.1579533
79312,-1.1515164,5.7509915
79313,-0.8656747,6.3436691
79314,-0.5796351,6.9360139
79315,-0.2933031,7.5280574
79316,-0.0065792,8.1198352
79317,0.2806424,8.7113882
79318,0.5684754,9.3027638
79420,-1.1436915,5.3527917
79421,-0.8577944,5.9453066
79422,-0.5717580,6.5374490
