id,longitude,latitude
1799,-10.6224944,81.5391899
1907,-12.6469933,81.7386994
2015,-14.7682342,81.9277190
2016,-13.0415121,81.3810648
2123,-15.0802270,81.5681198
2124,-13.4072311,81.0229862
2228,-24.4857413,83.2872698
2229,-21.7103621,82.7864535
2230,-19.3049884,82.2711905
2231,-17.2080995,81.7443552
2232,-15.3693492,81.2082016
2233,-13.7476747,80.6645124
2336,-27.3795509,83.4096516
2337,-24.3498265,82.9253504
2338,-21.7197491,82.4240390
2339,-19.4252371,81.9090487
2340,-17.4128749,81.3830065
2341,-15.6385319,80.8479973
2443,-30.3755264,83.5149020
2444,-27.0892454,83.0489589
2445,-24.2293344,82.5632115
2446,-21.7307129,82.0614641
2447,-19.5378193,81.5467410
2448,-17.6039752,81.0214538
2449,-15.8902818,80.4875370
2551,-33.4624724,83.6021419
2552,-29.9216594,83.1564218
2553,-26.8296876,82.6879029
2554,-24.1224051,82.2008618
2555,-21.7433218,81.6987336
2556,-19.6439464,81.1842774
2557,-17.7832462,80.6597159
2558,-16.1267575,80.1268495
2659,-36.6264166,83.6705899
2660,-32.8378361,83.2469368
2661,-29.5149822,82.7973344
2662,-26.5968519,82.3265098
2663,-24.0275222,81.8383100
2664,-21.7576482,81.3358535
2665,-19.7446544,80.8216686
2666,-17.9522754,80.2978113
2767,-35.8262748,83.3197806
2768,-32.2775340,82.8907717
2769,-29.1491347,82.4376977
2770,-26.3874455,81.9648023
2771,-23.9434416,81.4755653
2772,-21.7737684,80.9728311
2773,-19.8408382,80.4589260
2774,-18.1124389,79.9357586
2875,-38.8733403,83.3743330
2876,-35.1077918,82.9675449
2877,-31.7728038,82.5337518
2878,-28.8189078,82.0775604
2879,-26.1987534,81.6028012
2880,-23.8691371,81.1126372
2881,-21.7917629,80.6096747
2882,-19.9332780,80.0960624
2883,-18.2649388,79.5735772
2884,-16.7621182,79.0436952
2983,-41.9635383,83.4100994
2984,-37.9944219,83.0270684
2985,-34.4598620,82.6140514
2986,-31.3164537,82.1759647
2987,-28.5199997,81.7169646
2988,-26.0285216,81.2405255
2989,-23.8037593,80.7495362
2990,-21.8117171,80.2463943
2991,-20.0226613,79.7330915
2992,-18.4108335,79.2112872
3091,-40.9244968,83.0688597
3092,-37.2008173,82.6780449
3093,-33.8733370,82.2594394
3094,-30.9025335,81.8174843
3095,-28.2488322,81.3559469
3096,-25.8748680,80.8779935
3097,-23.7466033,80.3862737
3098,-21.8337209,79.8830013
3099,-20.1095986,79.3700287
3100,-18.5510615,78.8489098
3199,-43.8837873,83.0925560
3200,-39.9848129,82.7252660
3201,-36.4815522,82.3274658
3202,-33.3406244,81.9038255
3203,-30.5260845,81.4583736
3204,-28.0024096,80.9945402
