id,longitude,latitude
61993,-16.6221245,13.5676481
62100,-16.9142643,13.3501151
62101,-16.2296919,13.4448386
62209,-16.5216090,13.2274924
62317,-16.8132831,13.0103338
70010,-16.1296964,13.1041859
70011,-15.9375053,13.6623183
70118,-15.8392032,13.3175807
70227,-15.5484379,13.5307150
70335,-15.4502858,13.1857611
70336,-15.2573863,13.7435864
70443,-15.1596181,13.3982314
70444,-14.9660338,13.9561919
70552,-14.8686654,13.6104362
70660,-14.7710007,13.2648922
70661,-14.5774131,13.8223730
70768,-14.4801546,13.4764272
70876,-14.3825370,13.1307239
70877,-14.1890106,13.6876917
70985,-14.0918051,13.3415857
71093,-13.8007773,13.5521744
71201,-13.7035644,13.2059404
