id,longitude,latitude
4968,20.1325610,40.1195792
4994,19.9646763,38.7202919
4995,22.0023775,40.8363502
5022,21.7927147,39.4345149
5023,23.9062502,41.5226288
5049,21.5944756,38.0321722
5050,23.6524007,40.1198005
5075,21.4064032,36.6288515
5076,23.4126291,38.7163115
5077,25.5451240,40.7771266
5103,23.1854422,37.3117546
5104,25.2616932,39.3739982
5130,22.9694192,35.9056848
5131,24.9934857,37.9696886
5157,24.7388675,36.5638252
5158,26.8317729,38.6028415
5184,24.4962765,35.1560040
5185,26.5368571,37.1985575
5212,26.2563977,35.7923018
5238,25.9887143,34.3837220
5239,28.0445531,36.4061756
5266,27.7398834,35.0004106
6581,27.1428968,40.0054818
6582,25.8455208,42.1794135
6608,27.4607181,41.4261169
