id,longitude,latitude
229241,-38.1946338,-53.8918379
229350,-37.5887668,-53.8375153
229458,-37.8662603,-54.1928577
229566,-37.2565443,-54.1366781
229675,-36.6482919,-54.0772666
229783,-36.9198129,-54.4348929
229891,-36.3077854,-54.3735787
229999,-36.5784772,-54.7321505
230108,-35.9626583,-54.6689134
230215,-36.2324386,-55.0284404
232815,-28.1623415,-56.6123772
232816,-27.3372462,-56.1236755
232924,-27.5375468,-56.5028552
233140,-27.1138474,-56.7699427
233357,-26.6843509,-57.0357071
233681,-26.4434010,-57.6818320
234005,-26.1931215,-58.3281866
234219,-27.4325889,-59.5920258
234220,-26.5836775,-59.0935362
234328,-26.7695803,-59.4778973
