id,longitude,latitude
62749,-16.6114668,12.3303533
70008,-16.5106116,11.9901448
70009,-16.3207196,12.5467835
70115,-16.4105450,11.6472591
70116,-16.2212577,12.2032494
70223,-16.3101370,11.3046524
70224,-16.1214958,11.8599618
70225,-15.9316896,12.4160986
70331,-16.2093348,10.9623591
70332,-16.0213824,11.5169535
70333,-15.8322472,12.0724088
70334,-15.6418937,12.6286899
70439,-15.9208640,11.1742591
70440,-15.7324429,11.7289984
70441,-15.5427856,12.2845978
70548,-15.6322229,11.3859023
70549,-15.4433053,11.9407848
70550,-15.2530975,12.4965262
70657,-15.3433984,11.5972864
70658,-15.1539563,12.1523104
70659,-14.9631692,12.7081917
70764,-15.2430084,11.2541399
70765,-15.0543773,11.8084090
70766,-14.8643822,12.3635726
70872,-15.1420772,10.9113850
70873,-14.9543037,11.4648600
70874,-14.7651465,12.0192679
70875,-14.5745698,12.5745692
70981,-14.8536764,11.1217036
70982,-14.6654042,11.6753158
70983,-14.4756925,12.2298606
70984,-14.2845051,12.7852976
71089,-14.5650957,11.3317568
71090,-14.3762969,11.8855047
71091,-14.1860020,12.4401849
71198,-14.2763224,11.5415424
71199,-14.0869685,12.0954246
71200,-13.8960615,12.6502382
71307,-13.9873434,11.7510582
71308,-13.7974058,12.3050730
71415,-13.6981456,11.9603017
71416,-13.5075954,12.5144475
71523,-13.5982167,11.6159692
