id,longitude,latitude
53277,-59.9567028,8.4582179
53384,-60.7016300,7.6839798
53385,-60.1482424,8.1041043
53386,-59.5896759,8.5089840
53493,-60.3387727,7.7472057
53494,-59.7822520,8.1580592
53600,-60.5279881,7.3868699
53601,-59.9740727,7.8048873
53602,-59.4151638,8.2076042
53707,-61.2545200,6.5697682
53708,-60.7154420,7.0222367
53709,-60.1649302,7.4489567
53710,-59.6079675,7.8576083
53815,-61.4309108,6.1830834
53816,-60.9004712,6.6521510
53817,-60.3545185,7.0895973
53818,-59.8000617,7.5054072
53819,-59.2408159,7.9058808
53923,-61.0820735,6.2750298
53924,-60.5423835,6.7259167
53925,-59.9912424,7.1504811
53926,-59.4338357,7.5568365
53927,-58.8729124,7.9501550
54031,-61.2586997,5.8886541
54032,-60.7278400,6.3567024
54033,-60.1812046,6.7921426
54034,-59.6261944,7.2056363
54035,-59.0666207,7.6037814
54140,-60.9098335,5.9802705
54141,-60.3694879,6.4294662
54142,-59.8176931,6.8517531
54143,-59.2598434,7.2557116
54144,-58.6987164,7.6467116
54247,-61.0867015,5.5942240
54248,-60.5553854,6.0611789
54249,-60.0080295,6.4944831
54250,-59.4524559,6.9055431
54251,-58.8925673,7.3012701
54356,-60.7377874,5.6854869
54357,-60.1967385,6.1328674
54358,-59.6442660,6.5527431
54359,-59.0859779,6.9541971
54360,-58.5246708,7.3428017
54464,-60.9149051,5.2997932
54465,-60.3830919,5.7655692
54466,-59.8349758,6.1965926
54467,-59.2788315,6.6050916
54468,-58.7186463,6.9983062
54572,-60.5659220,5.3906749
54573,-60.0241176,5.8360995
54574,-59.4709445,6.2534170
54575,-58.9122275,6.6522519
54576,-58.3507698,7.0383815
54680,-60.7432998,5.0053619
54681,-60.2109432,5.4698600
54682,-59.6620255,5.8984406
54683,-59.1053073,6.3042409
54684,-58.5448496,6.6948442
54789,-60.3942241,5.0958296
54790,-59.8516068,5.5391377
54791,-59.2977122,5.9537353
54792,-58.7385817,6.3498290
54793,-58.1770097,6.7334022
54897,-60.0389223,5.1740347
54898,-59.4891601,5.5999910
54899,-58.9318699,6.0029437
