id,longitude,latitude
15167,-90.0569498,14.7918373
15168,-88.8186147,15.4356357
15169,-87.5793937,16.0670945
15170,-86.3372611,16.6887436
15172,-83.8381796,17.9084243
15222,-88.7100895,14.3020975
15223,-87.4853128,14.9240773
15224,-86.2570112,15.5383377
15225,-85.0238302,16.1459707
15277,-87.3986511,13.7705371
15278,-86.1829717,14.3789487
15279,-84.9621083,14.9820352
15280,-83.7351046,15.5801910
15331,-87.3193669,12.6071778
15332,-86.1150825,13.2111658
15333,-84.9053919,13.8108698
15334,-83.6894876,14.4064680
15335,-82.4666457,14.9980169
