id,longitude,latitude
74944,13.6622535,45.4067606
75051,13.6490462,45.0585286
75052,14.1549090,45.6382026
75159,13.6360710,44.7105054
75160,14.1388474,45.2896741
75268,14.1230687,44.9413511
75269,14.6318766,45.5169580
75375,14.1075660,44.5932291
75376,14.6132231,45.1683315
75377,15.1281109,45.7405609
75378,15.6525965,46.3100635
75484,14.5948963,44.8199021
75485,15.1065109,45.3916317
75486,15.6275349,45.9606429
75487,16.1583477,46.5270524
75592,14.5768882,44.4716655
75593,15.0852898,45.0428955
75594,15.6029168,45.6114156
75595,16.1301396,46.1773461
75699,14.5591911,44.1236172
75700,15.0644381,44.6943477
75701,15.5787310,45.2623769
75702,16.1024315,45.8278285
75703,16.6359213,46.3907962
75808,15.0439468,44.3459838
75809,15.5549668,44.9135222
75810,16.0752108,45.4784950
75811,16.6050515,46.0409990
75916,15.0238073,43.9977991
75917,15.5316138,44.5648467
75918,16.0484653,45.1293408
75919,16.5747256,45.6913812
75920,17.1107775,46.2510411
76024,15.5086619,44.2163456
76025,16.0221830,44.7803610
76026,16.5449300,45.3419378
76027,17.0772764,45.9011518
76132,15.4861013,43.8680141
76133,15.9963527,44.4315509
76134,16.5156511,44.9926641
76135,17.0443620,45.5514322
76136,17.5828677,46.1079100
76240,15.4639225,43.5198474
76241,15.9709629,44.0829054
76243,17.0120193,45.2018772
76244,17.5467660,45.7579290
76348,15.9460031,43.7344196
76349,16.4585927,44.2946056
76351,17.5112926,45.4081076
76352,18.0521501,45.9615211
76456,15.9214626,43.3860883
76457,16.4307883,43.9458108
76459,17.4764314,45.0584409
76460,18.0134791,45.6114500
76564,15.8973312,43.0379066
76565,16.4034514,43.5971655
76568,17.9754767,45.2615285
76569,18.5185895,45.8119881
76672,16.3765702,43.2486643
76673,16.8880848,43.8052033
76675,17.9381260,44.9117514
76676,18.4773809,45.4618299
76677,19.0266364,46.0097955
76780,16.3501338,42.9003021
76781,16.8583933,43.4563954
76784,18.4368801,45.1118111
76785,18.9821568,45.6594202
76889,16.8291931,43.1077211
76890,17.3428068,43.6612177
76893,18.9384427,45.3091791
76996,16.8004721,42.7591750
76997,17.3107837,43.3122463
77000,18.8954745,44.9590671
77105,17.2792864,42.9633977
77109,19.3966416,45.1536038
77213,17.2483018,42.6146664
77214,17.7605847,43.1648491
77321,17.7268127,42.8158270
77538,18.1717411,42.6651357
77754,18.6140466,42.5114448
