id,longitude,latitude
42994,-73.3393839,19.9155346
42995,-72.6619312,20.1755683
43102,-73.5738862,19.6361734
43103,-72.9006335,19.9001296
43210,-73.1372008,19.6226545
43211,-72.4606480,19.8825893
43319,-72.6993618,19.6071627
43320,-72.0193296,19.8627299
43425,-74.2657880,18.7879431
43427,-72.9359327,19.3296786
43428,-72.2602772,19.5895315
43532,-74.4927839,18.5021767
43533,-73.8348327,18.7792826
43534,-73.1704364,19.0502705
43535,-72.4989950,19.3141093
43536,-71.8198471,19.5695738
43641,-74.0635916,18.4948978
43642,-73.4029468,18.7690644
43643,-72.7355615,19.0366082
43644,-72.0608007,19.2963964
43749,-74.2905727,18.2090599
43750,-73.6335363,18.4861786
43751,-72.9700534,18.7571646
43752,-72.2995148,19.0209705
43753,-71.6212481,19.2763495
43857,-73.8622752,18.2017246
43858,-73.2025454,18.4759068
43859,-72.5360690,18.7434442
43860,-71.8622006,19.0031852
43966,-73.4331107,18.1929555
43967,-72.7705406,18.4639568
43968,-72.1009035,18.7277475
44074,-73.6618204,17.9084243
44075,-73.0030055,18.1826391
44076,-72.3374371,18.4501877
44077,-71.6644593,18.7098991
44183,-72.5718801,18.1706480
44184,-71.9031432,18.4344413
44292,-72.1396483,18.1568395
44401,-71.7062165,18.1410527
