id,longitude,latitude
10185,67.8682467,23.9282735
10238,69.2065878,21.9456355
10239,69.0992055,23.2615282
10240,68.9913566,24.5787500
10292,70.4153537,21.2651828
10293,70.3177150,22.5833127
10294,70.2202590,23.9026601
10295,70.1220284,25.2239324
10296,70.0216686,26.5479675
10297,69.9171993,27.8757702
10338,72.3086426,10.0614170
10339,72.2300566,11.3762894
10346,71.6128681,20.5736769
10347,71.5243670,21.8937502
10348,71.4366989,23.2149088
10349,71.3489902,24.5378164
10350,71.2600256,25.8632472
10351,71.1680673,27.1921140
10352,71.0705554,28.5254997
10391,73.5100914,8.0626602
10393,73.3673337,10.6909398
10394,73.2944007,12.0022333
10397,73.0615875,15.9335992
10398,72.9779490,17.2449267
10399,72.8907506,18.5573616
10400,72.7996997,19.8712371
10401,72.7197322,21.1929925
10402,72.6412430,22.5156855
10403,72.5634382,23.8399409
10404,72.4852303,25.1664781
10405,72.4050926,26.4961337
10406,72.3208261,27.8298865
10407,72.2291770,29.1688815
10449,74.3666979,12.6191473
10450,74.2967453,13.9272186
10451,74.2243114,15.2356905
10452,74.1491092,16.5449821
10453,74.0708805,17.8554558
10454,73.9893805,19.1674337
10455,73.9043672,20.4812084
10456,73.8344449,21.8051915
10457,73.7659180,23.1305426
10458,73.6978148,24.4579337
10459,73.6287926,25.7881372
10460,73.5569542,27.1220461
10461,73.4795558,28.4606951
10462,73.3925270,29.8052733
10502,75.5708507,10.6152549
10503,75.5095700,11.9207882
10504,75.4464899,13.2263851
10505,75.3813326,14.5325246
10506,75.3138664,15.8396036
10507,75.2438831,17.1479635
10508,75.1711845,18.4579072
10509,75.0955743,19.7697112
10510,75.0168513,21.0836326
10511,74.9569710,22.4098577
10512,74.8983123,23.7378813
10513,74.8396932,25.0684209
10514,74.7794712,26.4022978
10515,74.7153156,27.7404553
10516,74.6438473,29.0839724
10517,74.5600491,30.4340632
10518,74.4562707,31.7920339
10519,74.3204875,33.1591323
10520,74.1331307,34.5361284
10555,76.7584017,8.6112368
10556,76.7041938,9.9141075
10557,76.6487774,11.2167280
10558,76.5918796,12.5196531
10559,76.5332926,13.8233164
10560,76.4728418,15.1280747
10561,76.4103682,16.4342358
10562,76.3457181,17.7420748
10563,76.2787373,19.0518446
10564,76.2092664,20.3637832
10565,76.1371380,21.6781189
10566,76.0872597,23.0065803
10567,76.0383293,24.3372694
10568,75.9889201,25.6709465
10569,75.9370414,27.0084780
10570,75.8798616,28.3508504
10571,75.8132710,29.6991757
10572,75.7311684,31.0546727
10573,75.6242638,32.4185889
10574,75.4779966,33.7919766
10575,75.2687837,35.1751201
10609,77.8846292,7.9065324
10610,77.8353104,9.2059309
10611,77.7850053,10.5055013
10612,77.7335400,11.8056977
10613,77.6807773,13.1068750
10614,77.6265968,14.4093295
10615,77.5708843,15.7133217
10616,77.5135258,17.0190896
10617,77.4544045,18.3268571
10618,77.3933977,19.6368391
10619,77.3303754,20.9492449
10620,77.2651984,22.2642809
10621,77.2252437,23.5949550
10622,77.1858549,24.9282830
10623,77.1453232,26.2650659
10624,77.1012584,27.6062111
10625,77.0502568,28.9527412
10626,76.9873777,30.3057890
10627,76.9052933,31.6665584
10628,76.7928691,33.0362042
10629,76.6327157,34.4155249
10664,78.9648644,8.4879739
10665,78.9188129,9.7847153
10666,78.8719670,11.0824376
10667,78.8242466,12.3813871
10668,78.7755736,13.6817841
10669,78.7258685,14.9838343
10670,78.6750488,16.2877355
10671,78.6230277,17.5936811
10672,78.5697130,18.9018625
10673,78.5150065,20.2124709
10674,78.4588025,21.5256981
10675,78.4009874,22.8417376
10676,78.3708386,24.1745843
10677,78.3407566,25.5105079
10678,78.3087108,26.8503474
10679,78.2718573,28.1950472
10680,78.2261455,29.5456590
10681,78.1656990,30.9033250
10682,78.0818163,32.2692147
10683,77.9613107,33.6443571
10684,77.7836717,35.0292408
10719,80.0503778,9.0503268
10720,80.0073316,10.3465229
10721,79.9638836,11.6440434
10722,79.9199770,12.9430589
10723,79.8755529,14.2437413
10724,79.8305495,15.5462647
10725,79.7849017,16.8508054
10726,79.7385410,18.1575419
10727,79.6913948,19.4666553
10728,79.6433857,20.7783298
10729,79.5944313,22.0927524
10730,79.5444433,23.4101138
10731,79.5239423,24.7450791
10732,79.5028828,26.0835405
10733,79.4788711,27.4263731
10734,79.4485528,28.7745543
10735,79.4071519,30.1291585
10736,79.3477484,31.4913266
10737,79.2601165,32.8621748
10738,79.1288083,34.2425753
10777,81.0197853,13.4900196
10779,80.9400585,16.0960811
10780,80.8999873,17.4020414
10781,80.8597120,18.7102203
10782,80.8191805,20.0208135
10783,80.7783381,21.3340167
10784,80.7371271,22.6500265
10785,80.6954866,23.9690412
10786,80.6844336,25.3060591
10787,80.6720624,26.6469891
10788,80.6555722,27.9927403
10789,80.6310387,29.3443199
10790,80.5928801,30.7028195
10834,82.0537923,16.6327724
10835,82.0198283,17.9409766
10836,81.9861658,19.2512831
10837,81.9527808,20.5639298
10838,81.9196469,21.8791444
10839,81.8867361,23.1971482
10840,81.8540195,24.5181593
10841,81.8521722,25.8571541
10842,81.8481038,27.2004744
10843,81.8385610,28.5490624
10889,83.1711269,17.1558588
10890,83.1439264,18.4671686
10891,83.1175069,19.7803169
10892,83.0918856,21.0956133
10893,83.0670750,22.4133388
10894,83.0430850,23.7337562
10895,83.0199252,25.0571157
10896,83.0269975,26.3980043
10897,83.0307947,27.7436311
10944,84.2914193,17.6648932
10945,84.2717633,18.9802014
10946,84.2533189,20.2969297
10947,84.2361644,21.6154900
10948,84.2203651,22.9362399
10949,84.2059802,24.2595005
10950,84.1930673,25.5855675
10951,84.2087287,26.9282621
11000,85.4028015,19.4796865
11001,85.3931659,20.8007517
11002,85.3852663,22.1232045
11003,85.3792394,23.4475028
11004,85.3752080,24.7740436
11005,85.3732889,26.1031817
11006,85.3971635,27.4475920
11055,86.5364857,19.9652647
11056,86.5365923,21.2914368
11057,86.5388200,22.6184208
11058,86.5433995,23.9467984
11059,86.5505337,25.2770610
11060,86.5604123,26.6096362
11110,87.6722437,20.4366067
11111,87.6831239,21.7686640
11112,87.6964347,23.1008234
11113,87.7125262,24.4338150
11114,87.7317015,25.7682426
11115,87.7542387,27.1046203
11116,87.7932282,28.4521951
11165,88.8094885,20.8934144
11166,88.8322690,22.2321374
11167,88.8577001,23.5701180
11168,88.8862802,24.9082584
11169,88.9184347,26.2472928
11170,88.9545474,27.5878361
11223,90.0643020,25.3698531
11224,90.1104353,26.7139321
11276,91.1363505,23.1167738
11277,91.1894491,24.4683180
11278,91.2462123,25.8183430
11279,91.3073843,27.1678970
11280,91.3736200,28.5178367
11318,92.9247307,7.8707146
11319,92.8745959,9.0656964
11320,92.8172219,10.2539770
11321,92.7525787,11.4347356
11322,92.6806331,12.6071778
11323,92.6013489,13.7705371
11330,92.2240798,22.1741345
11331,92.2902254,23.5374808
11332,92.3590221,24.8967486
11333,92.4316128,26.2534921
11334,92.5089421,27.6089416
11335,92.5918329,28.9640941
11372,94.1339087,7.2684938
11373,94.0960230,8.4686542
11376,93.9467126,12.0356013
11377,93.8849175,13.2111658
11385,93.3611575,22.5704721
11386,93.4445935,23.9435230
11387,93.5304263,25.3111229
11388,93.6200865,26.6750851
11389,93.7147484,28.0368374
11390,93.8154261,29.3975297
11441,94.5988938,24.3347429
11442,94.7031673,25.7112639
11443,94.8111991,27.0829278
11444,94.9244232,28.4513747
11445,95.0440692,29.8179184
11497,95.8767371,26.0970196
11498,96.0044994,27.4768479
11499,96.1375671,28.8523625
11552,97.0506159,26.4682628
11553,97.1995205,27.8566951
