id,longitude,latitude
6984,45.2376596,33.5125270
6985,44.5398445,35.8835386
6986,43.8652637,38.2484479
7009,47.1959532,30.1529822
7010,46.4845032,32.5097751
7011,45.7993962,34.8846758
7012,45.1455429,37.2604842
7013,44.5281096,39.6202373
7037,47.7227868,31.5002749
7038,47.0423867,33.8728937
7039,46.4012257,36.2565536
7040,45.8061985,38.6302125
7064,48.9597302,30.4910166
7065,48.2749811,32.8514660
7066,47.6372998,35.2378220
7067,47.0558168,37.6237065
7090,50.2046431,29.4944968
7091,49.5052337,31.8264634
7092,48.8601939,34.2064473
7093,48.2817495,36.6011410
7094,47.7818150,38.9768304
7117,51.4696637,28.5339977
7118,50.7440561,30.8098534
7119,50.0786808,33.1669737
7120,49.4903066,35.5633731
7121,48.9950797,37.9544074
7122,48.6073955,40.2967316
7144,52.7702992,27.6545606
7145,52.0065795,29.8264988
7146,51.3054204,32.1297677
7147,50.6905245,34.5127684
7148,50.1848977,36.9157095
7170,53.8457645,26.2863746
7171,53.3135084,28.9307172
7172,52.5595113,31.1200754
7173,51.8965347,33.4564528
7174,51.3594361,35.8606967
7198,54.3987990,27.5678087
7199,53.8698509,30.2037398
7200,53.1323436,32.4171235
7201,52.5327483,34.7914531
7202,52.1223437,37.1948947
7225,55.4759371,26.2737303
7226,54.9657270,28.8487124
7227,54.4404344,31.4736357
7228,53.7332022,33.7221023
7229,53.2501082,36.1280626
7252,56.0514552,27.5655040
7253,55.5479034,30.1307604
7254,55.0264487,32.7403962
7255,54.3861634,35.0421155
7256,54.1536123,37.3969248
7279,57.1120608,26.3020287
7280,56.6416519,28.8605861
7281,56.1467038,31.4171587
7282,55.6291758,34.0039957
7283,55.2162284,36.3351579
7306,58.1473223,25.0425430
7307,57.7073353,27.6050026
7308,57.2469930,30.1620854
7309,56.7626365,32.7148722
7310,56.2500000,35.2643897
7311,55.9129553,37.8348671
7333,58.7462251,26.3499807
7334,58.3165672,28.9139604
7335,57.8664372,31.4751032
7336,57.3880240,34.0415588
7337,56.9767516,36.6876785
7360,59.7606512,25.0907209
7361,59.3583855,27.6623829
7362,58.9386489,30.2323571
7363,58.4937591,32.8083182
7364,57.9039492,35.4368006
7365,57.7310102,38.1066403
7388,60.3751430,26.4043884
7389,59.9829779,28.9821798
7390,59.5694948,31.5651756
7391,59.1023695,34.1759118
7392,58.7395860,36.8869416
7414,61.3690749,25.1389460
7415,61.0019675,27.7237134
7416,60.6173887,30.3125804
7417,60.1972109,32.9193886
7418,59.5647634,35.5865846
7419,59.5399416,38.3044322
7442,61.9977104,26.4568363
7443,61.6394768,29.0509295
7444,61.2551881,31.6577343
7445,60.7873657,34.3029827
7446,60.4798557,37.0385552
7470,62.6376824,27.7805713
7471,62.2838962,30.3887927
7473,61.2317967,35.7135377
7496,63.6138253,26.5018099
