id,longitude,latitude
5609,-13.2093714,65.4454491
5715,-14.7368124,66.2164717
5716,-13.9284557,65.6271917
5717,-13.1561967,65.0346344
5823,-15.4869952,66.3904572
5824,-14.6572703,65.8053363
5825,-13.8647186,65.2167452
5931,-16.2472342,66.5606442
5932,-15.3958308,65.9798132
5933,-14.5826787,65.3953114
5934,-13.8049010,64.8073340
6039,-16.1441423,66.1505522
6040,-15.3100935,65.5702656
6041,-14.5124319,64.9863114
6147,-16.9021981,66.3174824
6148,-16.0469691,65.7415398
6149,-15.2291403,65.1617303
6150,-14.4460022,64.5782571
6255,-17.6699793,66.4805328
6256,-16.7933008,65.9090655
6257,-15.9550332,65.3335246
6258,-15.1524108,64.7541291
6363,-17.5490728,66.0727737
6364,-16.6901079,65.5016282
6365,-15.8677407,64.9264299
6366,-15.0794155,64.3473895
6471,-18.3142569,66.2325952
6472,-17.4343510,65.6659740
6473,-16.5919906,65.0950952
6474,-15.7845720,64.5201843
6579,-19.0888129,66.3884604
6580,-18.1877378,65.8264951
6581,-17.3251493,65.2600603
6582,-16.4983984,64.6893968
6583,-15.7050714,64.1147213
6687,-18.9502320,65.9831240
6688,-18.0671951,65.4212600
6689,-17.2208855,64.8549642
6690,-16.4088483,64.2844677
6795,-19.7217852,66.1357934
6796,-18.8180956,65.5786291
6797,-17.9520142,65.0168233
6798,-17.1210484,64.4506219
6799,-16.3229153,63.8802469
6903,-20.5023362,66.2844355
6904,-19.5778068,65.7321021
6905,-18.6917556,65.1749109
6906,-17.8416551,64.6131227
6907,-17.0251879,64.0469737
7011,-20.3462729,65.8816134
7012,-19.4400696,65.3291632
7013,-18.5706422,64.7719087
7014,-17.7356416,64.2101000
7015,-16.9329062,63.6439641
7118,-22.0901205,66.5693688
7119,-21.1234259,66.0270976
7120,-20.1969055,65.4795169
7121,-19.3079736,64.9269182
7122,-18.4542529,64.3695660
7123,-17.6335528,63.8077007
7227,-21.9091849,66.1684895
7228,-20.9622007,65.6259083
7229,-20.0536028,65.0780895
7230,-19.1809891,64.5253120
7231,-18.3421431,63.9678297
7334,-22.7034560,66.3057239
7335,-21.7358809,65.7682740
7336,-20.8074724,65.2253608
7337,-19.9158076,64.6772780
7338,-19.0586472,64.1242931
7339,-18.2339184,63.5666502
7442,-23.5061319,66.4387364
7443,-22.5178596,65.9065509
7444,-21.5695140,65.3686706
7445,-20.6586557,64.8254039
7446,-19.7830263,64.2770324
7447,-18.9405318,63.7238130
7551,-23.3080376,66.0406761
7552,-22.3396478,65.5079573
7553,-21.4094704,64.9696300
7554,-20.5152318,64.4259895
7555,-19.6548203,63.8773060
7556,-18.8262721,63.3238266
7658,-24.1063026,66.1705873
7659,-23.1177818,65.6431600
7660,-22.1681777,65.1098965
7661,-21.2552055,64.5711062
7662,-20.3767394,64.0270724
7663,-19.5307988,63.4780547
7767,-23.9038122,65.7742180
7768,-22.9346926,65.2461441
7769,-22.0028791,64.7123244
7770,-21.1062351,64.1730556
7771,-20.2427670,63.6286099
7876,-23.7089189,65.3783136
7877,-22.7581737,64.8495863
7878,-21.8432443,64.3151993
7879,-20.9621270,63.7754373
7880,-20.1129469,63.2305621
7983,-24.4907485,65.5063465
7984,-23.5209998,64.9828344
7985,-22.5876936,64.4534471
7986,-21.6888199,63.9184819
8093,-23.3395000,64.5877430
8094,-22.4227778,64.0576889
8201,-24.0985698,64.7180317
8203,-22.2630006,63.6622765
8310,-22.9938244,63.7985836
